,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
18,Tompkins County PUMA,24787,12808,11979,66766.61959898334,74983.90849469081,57980.6578178479,14446,6788,7658,71724.26277170151,72623.94225103123,70926.79289631758,9568,5358,4210,62231.417224080265,83406.7151922359,35281.952494061756,773,662,111,30252.652005174645,31011.17824773414,25728.828828828828
19,Dutchess County (Southwest) PUMA,35902,20870,15032,75868.27781182107,81914.00862482032,67474.55761043107,15514,7347,8167,96755.39125950754,115722.03076085477,79693.07946614423,19667,13016,6651,60296.79005440586,63538.99815611555,53951.79221169749,721,507,214,51182.801664355065,63731.755424063114,21452.33644859813
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,5588,2575,3013,80412.00787401575,85471.76699029126,76087.78625954199,3059,1575,1484,89895.71755475645,92826.28571428571,86785.44474393531,2430,949,1481,69671.72839506173,75978.29293993677,65630.5874409183,99,51,48,51000.0,35000.0,68000.0
21,Westchester County (Northwest) PUMA,29283,15783,13500,125230.29436874637,146074.93695748592,100860.5911111111,19689,9783,9906,151943.8696734217,188322.90810589798,116016.53947102766,9050,5741,3309,69642.85745856354,76268.8939209197,58146.914475672405,544,259,285,83139.70588235294,97598.45559845559,70000.0
22,Albany County (Outside Albany City) PUMA,57394,30134,27260,73578.49357075653,83030.55286387469,63129.911225238444,29001,13264,15737,87035.57187683183,99686.23341375151,76372.90589057635,27159,15877,11282,60513.713317868845,71032.16476664357,45711.24446020209,1234,993,241,44856.969205834685,52393.554884189325,13803.734439834025
23,Monroe County (South) PUMA,45407,24556,20851,81258.05624683418,89317.73823098224,71766.25485588222,30377,15291,15086,94661.75955492642,110018.85357399778,79095.98170489195,14244,8775,5469,55817.42417860152,57224.21538461538,53560.23038946791,786,490,296,24275.954198473282,18052.244897959183,34578.71621621621
24,Jefferson & Lewis Counties PUMA,38592,23556,15036,52449.96190920398,57176.50916963831,45045.16360734238,10434,5286,5148,69917.31454859114,74255.56564510026,65462.77000777001,26516,17042,9474,46518.5687886559,53166.238117591834,34560.62275701921,1642,1228,414,37238.30694275274,39312.62214983713,31085.507246376812
25,"Chenango, Delaware & Broome (East) Counties PUMA",31805,18057,13748,48975.17245716082,54286.25685329789,41999.44864707594,6569,3360,3209,71095.92632059674,81821.90773809524,59865.23215955126,22681,13129,9552,44499.119086460036,48904.816056059106,38443.591917922946,2555,1568,987,31836.28180039139,40340.56122448979,18325.93718338399
26,Erie County (Central) PUMA,47890,26425,21465,55109.367717686364,58207.49820245979,51295.34032145353,17774,8519,9255,68079.64892539664,74497.72860664397,62171.964343598054,28638,16477,12161,47940.09497869963,51554.31753353159,43043.16668037168,1478,1429,49,38045.6698240866,37807.207837648704,45000.0
27,St. Lawrence County PUMA,31582,17715,13867,53963.06377050219,57481.664690939884,49468.07456551525,8971,3971,5000,76930.44253706388,85701.04255854948,69964.832,21450,13001,8449,46017.03403263403,50720.77917083301,38779.08983311635,1161,743,418,23301.5503875969,24963.660834454913,20347.12918660287
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",11030,6391,4639,87645.91296464189,98505.9708965733,72684.36300926923,8775,4779,3996,89339.27293447293,99511.81418706842,77173.46346346346,2116,1612,504,85395.69943289224,95524.00744416873,53001.19047619047,139,0,139,15000.0,0.0,15000.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,27010,15122,11888,96361.73084042947,110455.40867610104,78434.0225437416,12625,5549,7076,114853.17623762376,145655.43160929898,90698.04409270774,14067,9255,4812,80271.77081111821,90603.85737439222,60399.89609310058,318,318,0,73981.1320754717,73981.1320754717,0.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,37816,22848,14968,115285.79595938227,118303.1674544818,110679.90980758953,31415,17954,13461,123509.5132898297,131664.27369945415,112632.86457172573,4967,3653,1314,80427.56190859673,73185.90199835751,100559.81735159818,1434,1241,193,55866.52719665272,57810.07252215955,43369.43005181347
31,Cayuga & Onondaga (South) Counties PUMA,32952,18120,14832,65782.61046370478,77820.45198675497,51076.185949298815,11792,5678,6114,91316.65196743555,118416.98485382176,66148.89106967616,20090,12123,7967,51981.41363862618,59847.36698836921,40012.1714572612,1070,319,751,43510.299065420564,38261.19122257053,45739.94673768309
