,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,7839,3994,3845,7056,3681,3375,783,313,470,3977,1499,2478,3194,1186,2008,783,313,470,3408,2173,1235,3408,2173,1235,0,0,0,454,322,132,454,322,132,0,0,0
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",1778,1258,520,1778,1258,520,0,0,0,437,278,159,437,278,159,0,0,0,1045,783,262,1045,783,262,0,0,0,296,197,99,296,197,99,0,0,0
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",6368,4060,2308,5993,3685,2308,375,375,0,6242,4060,2182,5867,3685,2182,375,375,0,126,0,126,126,0,126,0,0,0,0,0,0,0,0,0,0,0,0
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",194,194,0,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,0,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,12061,6403,5658,11334,6072,5262,727,331,396,5613,2502,3111,5042,2214,2828,571,288,283,5743,3419,2324,5587,3376,2211,156,43,113,705,482,223,705,482,223,0,0,0
32,Erie County (West Central)--Buffalo City (West) PUMA,626,296,330,551,221,330,75,75,0,405,75,330,330,0,330,75,75,0,221,221,0,221,221,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Schenectady County--Schenectady City PUMA,1207,832,375,1097,832,265,110,0,110,620,409,211,620,409,211,0,0,0,587,423,164,477,423,54,110,0,110,0,0,0,0,0,0,0,0,0
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,1805,1304,501,1727,1226,501,78,78,0,1605,1104,501,1605,1104,501,0,0,0,200,200,0,122,122,0,78,78,0,0,0,0,0,0,0,0,0,0
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",31,0,31,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,5865,3332,2533,4974,3176,1798,891,156,735,3095,1367,1728,2428,1290,1138,667,77,590,2116,1352,764,1933,1273,660,183,79,104,654,613,41,613,613,0,41,0,41
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,644,266,378,644,266,378,0,0,0,644,266,378,644,266,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Erie County (Northeast) PUMA,338,214,124,338,214,124,0,0,0,63,63,0,63,63,0,0,0,0,275,151,124,275,151,124,0,0,0,0,0,0,0,0,0,0,0,0
39,Monroe County (North & West) PUMA,297,68,229,297,68,229,0,0,0,102,0,102,102,0,102,0,0,0,195,68,127,195,68,127,0,0,0,0,0,0,0,0,0,0,0,0
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,2510,1149,1361,2351,1067,1284,159,82,77,813,279,534,813,279,534,0,0,0,1417,710,707,1258,628,630,159,82,77,280,160,120,280,160,120,0,0,0
