,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1221.0,473.0,748.0,1221.0,473.0,748.0,0.0,0.0,0.0,877.0,254.0,623.0,877.0,254.0,623.0,0.0,0.0,0.0,279.0,219.0,60.0,279.0,219.0,60.0,0.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,65.0,0.0,0.0,0.0
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,118.0,0.0,118.0,118.0,0.0,118.0,0.0,0.0,0.0,118.0,0.0,118.0,118.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,1563.0,848.0,715.0,1493.0,848.0,645.0,70.0,0.0,70.0,440.0,296.0,144.0,440.0,296.0,144.0,0.0,0.0,0.0,991.0,490.0,501.0,991.0,490.0,501.0,0.0,0.0,0.0,132.0,62.0,70.0,62.0,62.0,0.0,70.0,0.0,70.0
18,Niagara County (North & East) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",1153.0,862.0,291.0,964.0,731.0,233.0,189.0,131.0,58.0,426.0,353.0,73.0,426.0,353.0,73.0,0.0,0.0,0.0,450.0,333.0,117.0,383.0,266.0,117.0,67.0,67.0,0.0,277.0,176.0,101.0,155.0,112.0,43.0,122.0,64.0,58.0
20,"Chenango, Delaware & Broome (East) Counties PUMA",178.0,80.0,98.0,151.0,80.0,71.0,27.0,0.0,27.0,58.0,26.0,32.0,58.0,26.0,32.0,0.0,0.0,0.0,120.0,54.0,66.0,93.0,54.0,39.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Oswego County PUMA,551.0,63.0,488.0,430.0,63.0,367.0,121.0,0.0,121.0,467.0,0.0,467.0,346.0,0.0,346.0,121.0,0.0,121.0,84.0,63.0,21.0,84.0,63.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1344.0,508.0,836.0,419.0,221.0,198.0,925.0,287.0,638.0,478.0,197.0,281.0,185.0,128.0,57.0,293.0,69.0,224.0,866.0,311.0,555.0,234.0,93.0,141.0,632.0,218.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,3261.0,1971.0,1290.0,2712.0,1677.0,1035.0,549.0,294.0,255.0,2055.0,1232.0,823.0,1860.0,1195.0,665.0,195.0,37.0,158.0,1008.0,577.0,431.0,654.0,320.0,334.0,354.0,257.0,97.0,198.0,162.0,36.0,198.0,162.0,36.0,0.0,0.0,0.0
24,Ontario & Yates Counties PUMA,265.0,177.0,88.0,265.0,177.0,88.0,0.0,0.0,0.0,177.0,177.0,0.0,177.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,88.0,88.0,0.0,88.0,0.0,0.0,0.0
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",1500.0,1028.0,472.0,755.0,556.0,199.0,745.0,472.0,273.0,1088.0,741.0,347.0,661.0,556.0,105.0,427.0,185.0,242.0,412.0,287.0,125.0,94.0,0.0,94.0,318.0,287.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Erie County (Northwest) PUMA,690.0,476.0,214.0,690.0,476.0,214.0,0.0,0.0,0.0,171.0,171.0,0.0,171.0,171.0,0.0,0.0,0.0,0.0,382.0,305.0,77.0,382.0,305.0,77.0,0.0,0.0,0.0,137.0,0.0,137.0,137.0,0.0,137.0,0.0,0.0,0.0
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,9847.0,4120.0,5727.0,2442.0,1335.0,1107.0,7405.0,2785.0,4620.0,4924.0,1570.0,3354.0,1301.0,598.0,703.0,3623.0,972.0,2651.0,4275.0,2228.0,2047.0,916.0,592.0,324.0,3359.0,1636.0,1723.0,648.0,322.0,326.0,225.0,145.0,80.0,423.0,177.0,246.0
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",2181.0,1293.0,888.0,1084.0,628.0,456.0,1097.0,665.0,432.0,510.0,278.0,232.0,380.0,148.0,232.0,130.0,130.0,0.0,1253.0,783.0,470.0,508.0,383.0,125.0,745.0,400.0,345.0,418.0,232.0,186.0,196.0,97.0,99.0,222.0,135.0,87.0
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",7483.0,4222.0,3261.0,2123.0,1342.0,781.0,5360.0,2880.0,2480.0,6944.0,4222.0,2722.0,2003.0,1342.0,661.0,4941.0,2880.0,2061.0,539.0,0.0,539.0,120.0,0.0,120.0,419.0,0.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",311.0,194.0,117.0,59.0,0.0,59.0,252.0,194.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,194.0,58.0,0.0,0.0,0.0,252.0,194.0,58.0,59.0,0.0,59.0,59.0,0.0,59.0,0.0,0.0,0.0
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,14087.0,7033.0,7054.0,4671.0,2510.0,2161.0,9416.0,4523.0,4893.0,6293.0,2632.0,3661.0,1748.0,1029.0,719.0,4545.0,1603.0,2942.0,6465.0,3698.0,2767.0,2255.0,1193.0,1062.0,4210.0,2505.0,1705.0,1329.0,703.0,626.0,668.0,288.0,380.0,661.0,415.0,246.0
32,Erie County (West Central)--Buffalo City (West) PUMA,910.0,296.0,614.0,163.0,77.0,86.0,747.0,219.0,528.0,529.0,75.0,454.0,86.0,0.0,86.0,443.0,75.0,368.0,381.0,221.0,160.0,77.0,77.0,0.0,304.0,144.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Schenectady County--Schenectady City PUMA,1379.0,832.0,547.0,1162.0,707.0,455.0,217.0,125.0,92.0,792.0,409.0,383.0,575.0,284.0,291.0,217.0,125.0,92.0,587.0,423.0,164.0,587.0,423.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,2155.0,1493.0,662.0,1017.0,639.0,378.0,1138.0,854.0,284.0,1955.0,1293.0,662.0,939.0,561.0,378.0,1016.0,732.0,284.0,200.0,200.0,0.0,78.0,78.0,0.0,122.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",168.0,65.0,103.0,31.0,0.0,31.0,137.0,65.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,65.0,103.0,31.0,0.0,31.0,137.0,65.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,7961.0,4253.0,3708.0,2479.0,1742.0,737.0,5482.0,2511.0,2971.0,3880.0,1822.0,2058.0,919.0,597.0,322.0,2961.0,1225.0,1736.0,3131.0,1818.0,1313.0,737.0,574.0,163.0,2394.0,1244.0,1150.0,950.0,613.0,337.0,823.0,571.0,252.0,127.0,42.0,85.0
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,938.0,493.0,445.0,637.0,259.0,378.0,301.0,234.0,67.0,728.0,350.0,378.0,556.0,178.0,378.0,172.0,172.0,0.0,210.0,143.0,67.0,81.0,81.0,0.0,129.0,62.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Erie County (Northeast) PUMA,396.0,214.0,182.0,396.0,214.0,182.0,0.0,0.0,0.0,121.0,63.0,58.0,121.0,63.0,58.0,0.0,0.0,0.0,275.0,151.0,124.0,275.0,151.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Monroe County (North & West) PUMA,485.0,188.0,297.0,383.0,188.0,195.0,102.0,0.0,102.0,102.0,0.0,102.0,0.0,0.0,0.0,102.0,0.0,102.0,383.0,188.0,195.0,383.0,188.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,2936.0,1264.0,1672.0,2338.0,938.0,1400.0,598.0,326.0,272.0,813.0,279.0,534.0,529.0,156.0,373.0,284.0,123.0,161.0,1843.0,825.0,1018.0,1529.0,622.0,907.0,314.0,203.0,111.0,280.0,160.0,120.0,280.0,160.0,120.0,0.0,0.0,0.0
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",7102.0,3333.0,3769.0,2644.0,1176.0,1468.0,4458.0,2157.0,2301.0,2581.0,1239.0,1342.0,1092.0,623.0,469.0,1489.0,616.0,873.0,3885.0,1633.0,2252.0,1339.0,410.0,929.0,2546.0,1223.0,1323.0,636.0,461.0,175.0,213.0,143.0,70.0,423.0,318.0,105.0
42,Erie County (West Central)--Buffalo City (East) PUMA,468.0,468.0,0.0,209.0,209.0,0.0,259.0,259.0,0.0,53.0,53.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0,369.0,369.0,0.0,209.0,209.0,0.0,160.0,160.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0
43,Suffolk County (Northwest)--Smithtown Town PUMA,609.0,359.0,250.0,518.0,268.0,250.0,91.0,91.0,0.0,185.0,50.0,135.0,185.0,50.0,135.0,0.0,0.0,0.0,424.0,309.0,115.0,333.0,218.0,115.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,3446.0,1484.0,1962.0,2654.0,1259.0,1395.0,792.0,225.0,567.0,2134.0,737.0,1397.0,1465.0,635.0,830.0,669.0,102.0,567.0,691.0,372.0,319.0,691.0,372.0,319.0,0.0,0.0,0.0,621.0,375.0,246.0,498.0,252.0,246.0,123.0,123.0,0.0
45,NYC-Manhattan Community District 8--Upper East Side PUMA,12689.0,4939.0,7750.0,2364.0,958.0,1406.0,10325.0,3981.0,6344.0,11701.0,4848.0,6853.0,1793.0,958.0,835.0,9908.0,3890.0,6018.0,988.0,91.0,897.0,571.0,0.0,571.0,417.0,91.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
