,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,9852,4125,5727,6744,2571,4173,3108,1554,1554,4924,1570,3354,3943,1171,2772,981,399,582,4275,2228,2047,2354,1165,1189,1921,1063,858,653,327,326,447,235,212,206,92,114
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",2181,1293,888,1225,779,446,956,514,442,510,278,232,333,174,159,177,104,73,1253,783,470,547,446,101,706,337,369,418,232,186,345,159,186,73,73,0
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",7558,4297,3261,7459,4198,3261,99,99,0,7019,4297,2722,6920,4198,2722,99,99,0,539,0,539,539,0,539,0,0,0,0,0,0,0,0,0,0,0,0
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",311,194,117,117,0,117,194,194,0,0,0,0,0,0,0,0,0,0,252,194,58,58,0,58,194,194,0,59,0,59,59,0,59,0,0,0
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,14087,7033,7054,11346,5618,5728,2741,1415,1326,6293,2632,3661,5408,2323,3085,885,309,576,6465,3698,2767,5316,3007,2309,1149,691,458,1329,703,626,622,288,334,707,415,292
32,Erie County (West Central)--Buffalo City (West) PUMA,921,296,625,711,221,490,210,75,135,529,75,454,330,0,330,199,75,124,392,221,171,381,221,160,11,0,11,0,0,0,0,0,0,0,0,0
33,Schenectady County--Schenectady City PUMA,1379,832,547,1287,832,455,92,0,92,792,409,383,700,409,291,92,0,92,587,423,164,587,423,164,0,0,0,0,0,0,0,0,0,0,0,0
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,2313,1544,769,1899,1350,549,414,194,220,2006,1344,662,1699,1150,549,307,194,113,307,200,107,200,200,0,107,0,107,0,0,0,0,0,0,0,0,0
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",168,65,103,31,0,31,137,65,72,0,0,0,0,0,0,0,0,0,168,65,103,31,0,31,137,65,72,0,0,0,0,0,0,0,0,0
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,7985,4277,3708,5776,2837,2939,2209,1440,769,3904,1846,2058,2934,1307,1627,970,539,431,3131,1818,1313,2019,959,1060,1112,859,253,950,613,337,823,571,252,127,42,85
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,938,493,445,773,328,445,165,165,0,728,350,378,644,266,378,84,84,0,210,143,67,129,62,67,81,81,0,0,0,0,0,0,0,0,0,0
38,Erie County (Northeast) PUMA,438,214,224,396,214,182,42,0,42,163,63,100,121,63,58,42,0,42,275,151,124,275,151,124,0,0,0,0,0,0,0,0,0,0,0,0
39,Monroe County (North & West) PUMA,485,188,297,485,188,297,0,0,0,102,0,102,102,0,102,0,0,0,383,188,195,383,188,195,0,0,0,0,0,0,0,0,0,0,0,0
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,2936,1264,1672,2315,1074,1241,621,190,431,813,279,534,738,279,459,75,0,75,1843,825,1018,1338,676,662,505,149,356,280,160,120,239,119,120,41,41,0
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",7113,3344,3769,4094,1975,2119,3019,1369,1650,2581,1239,1342,1856,1180,676,725,59,666,3885,1633,2252,1816,417,1399,2069,1216,853,647,472,175,422,378,44,225,94,131
42,Erie County (West Central)--Buffalo City (East) PUMA,468,468,0,308,308,0,160,160,0,53,53,0,53,53,0,0,0,0,369,369,0,209,209,0,160,160,0,46,46,0,46,46,0,0,0,0
43,Suffolk County (Northwest)--Smithtown Town PUMA,609,359,250,545,295,250,64,64,0,185,50,135,185,50,135,0,0,0,424,309,115,360,245,115,64,64,0,0,0,0,0,0,0,0,0,0
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,3446,1484,1962,3446,1484,1962,0,0,0,2134,737,1397,2134,737,1397,0,0,0,691,372,319,691,372,319,0,0,0,621,375,246,621,375,246,0,0,0
