,puma,Unemployment_HSINC_score,FT_Work_HSINC_score,Poverty_HSINC_score,Working_Poor_HSINC_score,Rent_Burden_HSINC_score,Home_Ownership_HSINC_score,Income_level_HSINC_score,Overall_HSINC_score,Unemployment_HSINC_grade,FT_Work_HSINC_grade,Poverty_HSINC_grade,Working_Poor_HSINC_grade,Rent_Burden_HSINC_grade,Home_Ownership_HSINC_grade,Income_level_HSINC_grade,Overall_HSINC_grade
131,Broome (Outer West) & Tioga Counties PUMA,0.2568176272056589,0.8657690317581209,1.2467939566918054,0.82210829335088,1.0234500485379172,-0.05300514410911633,-1.3662117204326083,0.3993888704289511,B-,B,B,B,B,C,D-,B-
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,-0.14493013412899863,0.32509379992500814,0.43773339948644735,0.15885754942692595,0.60042281441518,-0.2568743810218124,0.1220104387738507,0.1774733552680859,C,B-,B-,C,B-,C-,C,C
133,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",-0.394523560116357,-0.1474233264162341,-0.27853840640895233,0.0165085660041933,0.3577602885008786,-0.02856352516597624,#DIV/0!,#DIV/0!,C-,C,C-,C,B-,C,#DIV!0,#DIV!0
134,NYC-Manhattan Community District 10--Central Harlem PUMA,0.2568176272056589,-0.4035275606040961,-0.4495097385861467,0.1305322078597003,-0.021753907515949977,-1.316228670059294,-0.11172408796231832,-0.27362773280892083,B-,C-,C-,C,C,D-,C,C-
135,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",0.2568176272056589,0.6222792040889378,0.21245290255588817,-0.30073444620971845,0.3198372614484298,0.49568040744565334,-0.3552555818393683,0.17872533924221162,B-,B-,C,C-,B-,B-,C-,C
136,Erie County (Northwest) PUMA,0.2568176272056589,0.8657690317581209,-0.508112898731596,0.82210829335088,1.0234500485379172,0.12623339480724394,-0.7617382958841501,0.26064674300629637,B-,B,C-,B,B,C,D,B-
137,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,-0.012078344451963534,0.42124285822786334,0.8180352765577164,0.4355613660050239,0.5348828337402063,-0.6467303020563178,0.5428823291063885,0.29911371673270243,C,B-,B,B-,B-,C-,B-,B-
138,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,0.2568176272056589,0.5554396444869857,0.1209388975239099,0.491514972403583,1.0234500485379172,1.3135594920672524,#DIV/0!,#DIV/0!,B-,B-,C,B-,B,A-,#DIV!0,#DIV!0
139,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",0.2568176272056589,-0.0761359081574872,-0.973018790312647,-1.2060321967003789,1.0234500485379172,0.12850223707200792,1.3416779130699679,0.07075156153071983,B-,C,D,D,B,C,A-,C
140,Nassau County (West Central)--Hempstead Town (West Central) PUMA,0.2568176272056589,0.8657690317581209,-0.30486525946907594,0.82210829335088,-2.366684289256885,0.29419118651907794,1.3142512731931206,0.12594112332869964,B-,B,C-,B,E,B-,A-,C
