,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
27,St. Lawrence County PUMA,62,62,0,62,62,0,0,0,0,62,62,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",9302,5495,3807,8716,5495,3221,586,0,586,2291,1386,905,1937,1386,551,354,0,354,3859,2205,1654,3786,2205,1581,73,0,73,3152,1904,1248,2993,1904,1089,159,0,159
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,961,517,444,767,517,250,194,0,194,486,178,308,385,178,207,101,0,101,287,151,136,194,151,43,93,0,93,188,188,0,188,188,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,5726,3201,2525,3920,2438,1482,1806,763,1043,1280,634,646,730,213,517,550,421,129,2965,1701,1264,1709,1359,350,1256,342,914,1481,866,615,1481,866,615,0,0,0
31,Cayuga & Onondaga (South) Counties PUMA,526,437,89,526,437,89,0,0,0,382,293,89,382,293,89,0,0,0,144,144,0,144,144,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1598,864,734,1033,500,533,565,364,201,181,181,0,181,181,0,0,0,0,1417,683,734,852,319,533,565,364,201,0,0,0,0,0,0,0,0,0
33,Fulton & Montgomery Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,485,317,168,242,150,92,243,167,76,134,42,92,134,42,92,0,0,0,142,66,76,66,66,0,76,0,76,209,209,0,42,42,0,167,167,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1291,964,327,1048,896,152,243,68,175,125,78,47,78,78,0,47,0,47,1091,811,280,895,743,152,196,68,128,75,75,0,75,75,0,0,0,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,358,358,0,358,358,0,0,0,0,0,0,0,0,0,0,0,0,0,358,358,0,358,358,0,0,0,0,0,0,0,0,0,0,0,0,0
