,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
27,St. Lawrence County PUMA,149,62,87,124,62,62,25,0,25,62,62,0,62,62,0,0,0,0,62,0,62,62,0,62,0,0,0,25,0,25,0,0,0,25,0,25
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",10256,5564,4692,7513,4458,3055,2743,1106,1637,2622,1445,1177,1836,1207,629,786,238,548,4128,2205,1923,3657,2049,1608,471,156,315,3506,1914,1592,2020,1202,818,1486,712,774
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,987,410,577,894,410,484,93,0,93,486,178,308,486,178,308,0,0,0,313,44,269,220,44,176,93,0,93,188,188,0,188,188,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,6814,3292,3522,5097,2633,2464,1717,659,1058,1487,634,853,1211,623,588,276,11,265,3472,1792,1680,2031,1144,887,1441,648,793,1855,866,989,1855,866,989,0,0,0
31,Cayuga & Onondaga (South) Counties PUMA,678,437,241,678,437,241,0,0,0,382,293,89,382,293,89,0,0,0,144,144,0,144,144,0,0,0,0,152,0,152,152,0,152,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,2240,864,1376,2240,864,1376,0,0,0,181,181,0,181,181,0,0,0,0,2059,683,1376,2059,683,1376,0,0,0,0,0,0,0,0,0,0,0,0
33,Fulton & Montgomery Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,553,317,236,386,150,236,167,167,0,202,42,160,202,42,160,0,0,0,142,66,76,142,66,76,0,0,0,209,209,0,42,42,0,167,167,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1834,1262,572,685,486,199,1149,776,373,125,78,47,125,78,47,0,0,0,1634,1109,525,485,333,152,1149,776,373,75,75,0,75,75,0,0,0,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,358,358,0,106,106,0,252,252,0,0,0,0,0,0,0,0,0,0,358,358,0,106,106,0,252,252,0,0,0,0,0,0,0,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,5225,2792,2433,4554,2792,1762,671,0,671,333,128,205,333,128,205,0,0,0,3008,1496,1512,2337,1496,841,671,0,671,1884,1168,716,1884,1168,716,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",9977,5365,4612,6533,4192,2341,3444,1173,2271,1990,1055,935,1744,809,935,246,246,0,5509,3181,2328,3807,2690,1117,1702,491,1211,2478,1129,1349,982,693,289,1496,436,1060
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,14325,9235,5090,9149,6736,2413,5176,2499,2677,1802,960,842,1574,960,614,228,0,228,8949,5648,3301,6100,4656,1444,2849,992,1857,3574,2627,947,1475,1120,355,2099,1507,592
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",2385,886,1499,2285,886,1399,100,0,100,1806,570,1236,1766,570,1196,40,0,40,0,0,0,0,0,0,0,0,0,579,316,263,519,316,203,60,0,60
41,Suffolk County (Central)--Islip Town (East) PUMA,341,153,188,271,83,188,70,70,0,0,0,0,0,0,0,0,0,0,271,83,188,271,83,188,0,0,0,70,70,0,0,0,0,70,70,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1679,499,1180,1107,180,927,572,319,253,187,105,82,187,105,82,0,0,0,1294,252,1042,920,75,845,374,177,197,198,142,56,0,0,0,198,142,56
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",11045,5184,5861,8347,4163,4184,2698,1021,1677,2405,789,1616,2317,789,1528,88,0,88,6096,2469,3627,4714,2058,2656,1382,411,971,2544,1926,618,1316,1316,0,1228,610,618
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,28549,16230,12319,18907,10987,7920,9642,5243,4399,2365,618,1747,1888,618,1270,477,0,477,20094,11141,8953,13103,7519,5584,6991,3622,3369,6090,4471,1619,3916,2850,1066,2174,1621,553
45,Saratoga County (Outer) PUMA,784,294,490,658,294,364,126,0,126,784,294,490,658,294,364,126,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",5451,2863,2588,3420,2008,1412,2031,855,1176,644,249,395,583,188,395,61,61,0,4099,1906,2193,2238,1221,1017,1861,685,1176,708,708,0,599,599,0,109,109,0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",2632,1317,1315,2380,1065,1315,252,252,0,262,146,116,262,146,116,0,0,0,2028,829,1199,1822,623,1199,206,206,0,342,342,0,296,296,0,46,46,0
48,Wayne & Seneca Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Schenectady County--Schenectady City PUMA,1109,322,787,874,288,586,235,34,201,527,0,527,432,0,432,95,0,95,548,288,260,442,288,154,106,0,106,34,34,0,0,0,0,34,34,0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,3551,1260,2291,1734,903,831,1817,357,1460,737,272,465,464,272,192,273,0,273,2225,988,1237,1270,631,639,955,357,598,589,0,589,0,0,0,589,0,589
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1284,487,797,1200,487,713,84,0,84,173,0,173,89,0,89,84,0,84,811,487,324,811,487,324,0,0,0,300,0,300,300,0,300,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,6618,4175,2443,6169,4031,2138,449,144,305,535,98,437,535,98,437,0,0,0,4091,2864,1227,3801,2720,1081,290,144,146,1992,1213,779,1833,1213,620,159,0,159
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",2977,1949,1028,2645,1767,878,332,182,150,1415,1280,135,1415,1280,135,0,0,0,1380,487,893,1230,487,743,150,0,150,182,182,0,0,0,0,182,182,0
54,Columbia & Greene Counties PUMA,293,156,137,256,119,137,37,37,0,36,0,36,36,0,36,0,0,0,108,108,0,71,71,0,37,37,0,149,48,101,149,48,101,0,0,0
55,Rensselaer County--Troy City PUMA,266,210,56,36,36,0,230,174,56,79,23,56,0,0,0,79,23,56,151,151,0,0,0,0,151,151,0,36,36,0,36,36,0,0,0,0
56,Erie County (West Central)--Buffalo City (West) PUMA,1090,597,493,827,498,329,263,99,164,532,341,191,532,341,191,0,0,0,121,0,121,70,0,70,51,0,51,437,256,181,225,157,68,212,99,113
57,Erie County (South) PUMA,344,0,344,344,0,344,0,0,0,344,0,344,344,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,362,131,231,238,131,107,124,0,124,100,0,100,39,0,39,61,0,61,262,131,131,199,131,68,63,0,63,0,0,0,0,0,0,0,0,0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",29794,16626,13168,20330,11796,8534,9464,4830,4634,4439,2261,2178,2988,1484,1504,1451,777,674,17349,9118,8231,13537,7402,6135,3812,1716,2096,8006,5247,2759,3805,2910,895,4201,2337,1864
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,1551,769,782,913,437,476,638,332,306,0,0,0,0,0,0,0,0,0,604,0,604,298,0,298,306,0,306,947,769,178,615,437,178,332,332,0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,3448,1240,2208,1423,898,525,2025,342,1683,700,175,525,606,81,525,94,94,0,1461,248,1213,0,0,0,1461,248,1213,1287,817,470,817,817,0,470,0,470
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,4078,2737,1341,3497,2354,1143,581,383,198,766,391,375,766,391,375,0,0,0,2557,1777,780,2201,1619,582,356,158,198,755,569,186,530,344,186,225,225,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,3407,1126,2281,990,328,662,2417,798,1619,841,524,317,183,99,84,658,425,233,1642,289,1353,442,86,356,1200,203,997,924,313,611,365,143,222,559,170,389
64,Albany County (East Central)--Albany City PUMA,895,287,608,895,287,608,0,0,0,0,0,0,0,0,0,0,0,0,608,0,608,608,0,608,0,0,0,287,287,0,287,287,0,0,0,0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,4121,2594,1527,3913,2519,1394,208,75,133,396,300,96,396,300,96,0,0,0,2977,1603,1374,2769,1528,1241,208,75,133,748,691,57,748,691,57,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,104,104,0,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,104,104,0,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",10824,4894,5930,6316,2662,3654,4508,2232,2276,2471,558,1913,2039,558,1481,432,0,432,6469,3342,3127,3340,1591,1749,3129,1751,1378,1884,994,890,937,513,424,947,481,466
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",11772,5830,5942,7077,3564,3513,4695,2266,2429,2713,1048,1665,1837,814,1023,876,234,642,6154,3354,2800,3883,2031,1852,2271,1323,948,2905,1428,1477,1357,719,638,1548,709,839
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",7348,2992,4356,5660,2212,3448,1688,780,908,1654,579,1075,1523,579,944,131,0,131,3989,1720,2269,3221,1490,1731,768,230,538,1705,693,1012,916,143,773,789,550,239
70,Erie County (Northeast) PUMA,13,13,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,4863,2225,2638,2944,992,1952,1919,1233,686,1263,159,1104,1096,159,937,167,0,167,2649,1477,1172,1204,325,879,1445,1152,293,951,589,362,644,508,136,307,81,226
72,Orange County (Southeast) PUMA,1525,837,688,891,550,341,634,287,347,397,50,347,50,50,0,347,0,347,978,637,341,691,350,341,287,287,0,150,150,0,150,150,0,0,0,0
73,Westchester County (Southeast) PUMA,9164,5717,3447,7796,4663,3133,1368,1054,314,2221,943,1278,1980,702,1278,241,241,0,3360,1830,1530,2962,1541,1421,398,289,109,3583,2944,639,2854,2420,434,729,524,205
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,10458,6066,4392,8106,4826,3280,2352,1240,1112,2941,1539,1402,2471,1405,1066,470,134,336,5017,2743,2274,3881,1940,1941,1136,803,333,2500,1784,716,1754,1481,273,746,303,443
75,Livingston & Wyoming Counties PUMA,466,420,46,234,188,46,232,232,0,0,0,0,0,0,0,0,0,0,67,31,36,67,31,36,0,0,0,399,389,10,167,157,10,232,232,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,2718,1612,1106,2102,1468,634,616,144,472,68,0,68,68,0,68,0,0,0,1988,1221,767,1440,1077,363,548,144,404,662,391,271,594,391,203,68,0,68
77,Westchester County (Southwest)--Yonkers City PUMA,16860,9161,7699,10838,5958,4880,6022,3203,2819,1520,469,1051,1520,469,1051,0,0,0,11745,7021,4724,6573,3818,2755,5172,3203,1969,3595,1671,1924,2745,1671,1074,850,0,850
78,Erie County (North Central) PUMA,669,140,529,610,81,529,59,59,0,489,81,408,489,81,408,0,0,0,180,59,121,121,0,121,59,59,0,0,0,0,0,0,0,0,0,0
79,Saratoga County (South & Central) PUMA,88,0,88,88,0,88,0,0,0,88,0,88,88,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,4511,2732,1779,4168,2732,1436,343,0,343,380,89,291,380,89,291,0,0,0,2807,1683,1124,2464,1683,781,343,0,343,1324,960,364,1324,960,364,0,0,0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",599,303,296,429,303,126,170,0,170,212,86,126,212,86,126,0,0,0,217,217,0,217,217,0,0,0,0,170,0,170,0,0,0,170,0,170
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,107,107,0,0,0,0,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,0,0,0,0,107,107,0
83,Niagara County (North & East) PUMA,156,71,85,156,71,85,0,0,0,85,0,85,85,0,85,0,0,0,71,71,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Monroe County (Central)--Rochester City (East) PUMA,1048,430,618,527,430,97,521,0,521,0,0,0,0,0,0,0,0,0,770,430,340,527,430,97,243,0,243,278,0,278,0,0,0,278,0,278
85,Warren & Washington Counties PUMA,55,0,55,55,0,55,0,0,0,55,0,55,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,2625,1775,850,2232,1465,767,393,310,83,632,278,354,630,278,352,2,0,2,1494,1187,307,1413,1187,226,81,0,81,499,310,189,189,0,189,310,310,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,1815,304,1511,1263,208,1055,552,96,456,1268,208,1060,890,208,682,378,0,378,531,80,451,373,0,373,158,80,78,16,16,0,0,0,0,16,16,0
88,Onondaga County (Central)--Syracuse City PUMA,1075,593,482,860,593,267,215,0,215,0,0,0,0,0,0,0,0,0,1005,561,444,790,561,229,215,0,215,70,32,38,70,32,38,0,0,0
89,Westchester County (Central)--White Plains City PUMA,7560,3426,4134,6468,2692,3776,1092,734,358,2677,522,2155,2677,522,2155,0,0,0,3327,1701,1626,3131,1701,1430,196,0,196,1556,1203,353,660,469,191,896,734,162
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,4101,1383,2718,1872,650,1222,2229,733,1496,884,56,828,599,56,543,285,0,285,2358,941,1417,994,469,525,1364,472,892,859,386,473,279,125,154,580,261,319
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",10665,5596,5069,5834,3401,2433,4831,2195,2636,2552,1051,1501,1404,491,913,1148,560,588,5888,3254,2634,3296,2166,1130,2592,1088,1504,2225,1291,934,1134,744,390,1091,547,544
92,Cattaraugus & Allegany Counties PUMA,49,49,0,0,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,0,0,0,0,49,49,0
93,Oswego County PUMA,80,80,0,0,0,0,80,80,0,80,80,0,0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",11172,6028,5144,7482,4345,3137,3690,1683,2007,2628,863,1765,1884,863,1021,744,0,744,6123,3141,2982,4470,2557,1913,1653,584,1069,2421,2024,397,1128,925,203,1293,1099,194
95,Monroe County (East) PUMA,889,275,614,452,163,289,437,112,325,83,0,83,83,0,83,0,0,0,806,275,531,369,163,206,437,112,325,0,0,0,0,0,0,0,0,0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,5553,3168,2385,3683,1833,1850,1870,1335,535,970,491,479,970,491,479,0,0,0,3325,1629,1696,2080,709,1371,1245,920,325,1258,1048,210,633,633,0,625,415,210
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",3865,1955,1910,2404,1317,1087,1461,638,823,495,0,495,495,0,495,0,0,0,261,261,0,139,139,0,122,122,0,3109,1694,1415,1770,1178,592,1339,516,823
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",3091,1774,1317,1781,1125,656,1310,649,661,514,213,301,308,169,139,206,44,162,1262,380,882,730,257,473,532,123,409,1315,1181,134,743,699,44,572,482,90
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",3503,1442,2061,3092,1031,2061,411,411,0,1303,0,1303,1303,0,1303,0,0,0,1666,908,758,1374,616,758,292,292,0,534,534,0,415,415,0,119,119,0
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",2824,1234,1590,2459,1167,1292,365,67,298,607,252,355,546,252,294,61,0,61,1927,838,1089,1836,838,998,91,0,91,290,144,146,77,77,0,213,67,146
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",2797,1991,806,2718,1991,727,79,0,79,2718,1991,727,2718,1991,727,0,0,0,0,0,0,0,0,0,0,0,0,79,0,79,0,0,0,79,0,79
102,Chautauqua County PUMA,267,38,229,31,0,31,236,38,198,31,0,31,31,0,31,0,0,0,236,38,198,0,0,0,236,38,198,0,0,0,0,0,0,0,0,0
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,3387,1663,1724,1954,842,1112,1433,821,612,1685,330,1355,1245,330,915,440,0,440,1702,1333,369,709,512,197,993,821,172,0,0,0,0,0,0,0,0,0
104,Erie County (West Central)--Buffalo City (East) PUMA,791,367,424,616,308,308,175,59,116,67,0,67,67,0,67,0,0,0,594,308,286,478,308,170,116,0,116,130,59,71,71,0,71,59,59,0
105,Genesee & Orleans Counties PUMA,305,305,0,305,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,305,0,305,305,0,0,0,0
106,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",4502,1818,2684,2492,978,1514,2010,840,1170,670,232,438,670,232,438,0,0,0,3299,1390,1909,1580,550,1030,1719,840,879,533,196,337,242,196,46,291,0,291
107,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",79,79,0,0,0,0,79,79,0,0,0,0,0,0,0,0,0,0,79,79,0,0,0,0,79,79,0,0,0,0,0,0,0,0,0,0
108,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,3296,1963,1333,2247,1204,1043,1049,759,290,482,330,152,415,263,152,67,67,0,1472,807,665,1169,573,596,303,234,69,1342,826,516,663,368,295,679,458,221
109,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",10137,4180,5957,6272,3202,3070,3865,978,2887,652,328,324,561,237,324,91,91,0,6176,1904,4272,3435,1447,1988,2741,457,2284,3309,1948,1361,2276,1518,758,1033,430,603
110,Suffolk County (East) PUMA,9235,6240,2995,7494,5450,2044,1741,790,951,1828,1564,264,1777,1564,213,51,0,51,5848,3493,2355,4951,3199,1752,897,294,603,1559,1183,376,766,687,79,793,496,297
111,Orange County (Northwest) PUMA,2649,2078,571,1974,1554,420,675,524,151,0,0,0,0,0,0,0,0,0,2378,1864,514,1870,1450,420,508,414,94,271,214,57,104,104,0,167,110,57
112,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,137,0,137,137,0,137,0,0,0,0,0,0,0,0,0,0,0,0,137,0,137,137,0,137,0,0,0,0,0,0,0,0,0,0,0,0
113,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",5915,3708,2207,4788,2964,1824,1127,744,383,1069,335,734,1069,335,734,0,0,0,3317,2071,1246,2990,1995,995,327,76,251,1529,1302,227,729,634,95,800,668,132
