,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",109.0,18.0,91.0,109.0,18.0,91.0,0.0,0.0,0.0,84.0,0.0,84.0,84.0,0.0,84.0,0.0,0.0,0.0,7.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,18.0,18.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,7866.0,4632.0,3234.0,556.0,424.0,132.0,7310.0,4208.0,3102.0,1150.0,581.0,569.0,225.0,93.0,132.0,925.0,488.0,437.0,3775.0,1979.0,1796.0,217.0,217.0,0.0,3558.0,1762.0,1796.0,2941.0,2072.0,869.0,114.0,114.0,0.0,2827.0,1958.0,869.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,4775.0,2986.0,1789.0,657.0,207.0,450.0,4118.0,2779.0,1339.0,707.0,474.0,233.0,0.0,0.0,0.0,707.0,474.0,233.0,2744.0,1551.0,1193.0,234.0,0.0,234.0,2510.0,1551.0,959.0,1324.0,961.0,363.0,423.0,207.0,216.0,901.0,754.0,147.0
18,Tompkins County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Dutchess County (Southwest) PUMA,2434.0,1323.0,1111.0,1057.0,647.0,410.0,1377.0,676.0,701.0,88.0,88.0,0.0,33.0,33.0,0.0,55.0,55.0,0.0,1690.0,579.0,1111.0,520.0,110.0,410.0,1170.0,469.0,701.0,656.0,656.0,0.0,504.0,504.0,0.0,152.0,152.0,0.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,15059.0,7439.0,7620.0,7167.0,3542.0,3625.0,7892.0,3897.0,3995.0,3869.0,1337.0,2532.0,1591.0,526.0,1065.0,2278.0,811.0,1467.0,9450.0,4800.0,4650.0,4504.0,2274.0,2230.0,4946.0,2526.0,2420.0,1740.0,1302.0,438.0,1072.0,742.0,330.0,668.0,560.0,108.0
21,Westchester County (Northwest) PUMA,7851.0,5113.0,2738.0,2223.0,1722.0,501.0,5628.0,3391.0,2237.0,501.0,454.0,47.0,394.0,394.0,0.0,107.0,60.0,47.0,5040.0,2651.0,2389.0,951.0,450.0,501.0,4089.0,2201.0,1888.0,2310.0,2008.0,302.0,878.0,878.0,0.0,1432.0,1130.0,302.0
22,Albany County (Outside Albany City) PUMA,623.0,304.0,319.0,380.0,196.0,184.0,243.0,108.0,135.0,219.0,219.0,0.0,111.0,111.0,0.0,108.0,108.0,0.0,220.0,85.0,135.0,85.0,85.0,0.0,135.0,0.0,135.0,184.0,0.0,184.0,184.0,0.0,184.0,0.0,0.0,0.0
23,Monroe County (South) PUMA,1081.0,684.0,397.0,852.0,587.0,265.0,229.0,97.0,132.0,94.0,0.0,94.0,94.0,0.0,94.0,0.0,0.0,0.0,498.0,327.0,171.0,498.0,327.0,171.0,0.0,0.0,0.0,489.0,357.0,132.0,260.0,260.0,0.0,229.0,97.0,132.0
24,Jefferson & Lewis Counties PUMA,1234.0,687.0,547.0,437.0,184.0,253.0,797.0,503.0,294.0,525.0,503.0,22.0,22.0,0.0,22.0,503.0,503.0,0.0,709.0,184.0,525.0,415.0,184.0,231.0,294.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",192.0,41.0,151.0,151.0,0.0,151.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,151.0,151.0,0.0,151.0,0.0,0.0,0.0,41.0,41.0,0.0,0.0,0.0,0.0,41.0,41.0,0.0
