,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,1017976,559255,458721,857651,500744,356907,160325,58511,101814,407444,197829,209615,358100,181138,176962,49344,16691,32653,459915,258812,201103,376323,229011,147312,83592,29801,53791,150617,102614,48003,123228,90595,32633,27389,12019,15370
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,5419,3315,2104,4584,2625,1959,835,690,145,4351,2537,1814,4003,2334,1669,348,203,145,778,778,0,291,291,0,487,487,0,290,0,290,290,0,290,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,10254,4603,5651,8936,4358,4578,1318,245,1073,3676,1710,1966,3193,1710,1483,483,0,483,6234,2570,3664,5399,2325,3074,835,245,590,344,323,21,344,323,21,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4348,2203,2145,4092,2090,2002,256,113,143,3329,1881,1448,3142,1837,1305,187,44,143,1019,322,697,950,253,697,69,69,0,0,0,0,0,0,0,0,0,0
4,Madison & Cortland Counties PUMA,45,45,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,45,45,0,0,0,0
5,Ontario & Yates Counties PUMA,651,245,406,304,245,59,347,0,347,475,153,322,212,153,59,263,0,263,84,0,84,0,0,0,84,0,84,92,92,0,92,92,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,1317,925,392,1153,925,228,164,0,164,521,357,164,357,357,0,164,0,164,593,365,228,593,365,228,0,0,0,203,203,0,203,203,0,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,9275,3870,5405,8176,3870,4306,1099,0,1099,5907,2463,3444,5143,2463,2680,764,0,764,2979,1211,1768,2644,1211,1433,335,0,335,389,196,193,389,196,193,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",608,288,320,199,199,0,409,89,320,0,0,0,0,0,0,0,0,0,403,288,115,199,199,0,204,89,115,205,0,205,0,0,0,205,0,205
9,NYC-Manhattan Community District 8--Upper East Side PUMA,11588,4759,6829,10146,4759,5387,1442,0,1442,10192,4288,5904,9136,4288,4848,1056,0,1056,1132,207,925,746,207,539,386,0,386,264,264,0,264,264,0,0,0,0
