,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,1243416,479004,217567,261437,567282,293618,273664,197130,116975,80155
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,7966,5128,2537,2591,2163,1612,551,675,188,487
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,11458,4357,1901,2456,6757,2982,3775,344,323,21
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,6141,3831,1881,1950,1702,509,1193,608,127,481
4,Madison & Cortland Counties PUMA,152,0,0,0,107,0,107,45,45,0
5,Ontario & Yates Counties PUMA,651,475,153,322,84,0,84,92,92,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,1551,712,357,355,593,365,228,246,203,43
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,10102,6475,2463,4012,3238,1211,2027,389,196,193
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1191,89,0,89,760,620,140,342,137,205
9,NYC-Manhattan Community District 8--Upper East Side PUMA,13146,11020,4678,6342,1461,207,1254,665,665,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,4520,2914,1203,1711,580,389,191,1026,13,1013
11,Erie County (Northwest) PUMA,1511,893,250,643,501,302,199,117,117,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",27658,14587,6356,8231,9978,5022,4956,3093,1980,1113
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,17412,3045,1777,1268,11049,5621,5428,3318,1089,2229
14,Rockland County (North)--New City & Congers PUMA,10021,2979,1228,1751,4999,3047,1952,2043,783,1260
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",487,326,109,217,113,106,7,48,48,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,14417,3820,2156,1664,6507,3658,2849,4090,2399,1691
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,22276,7807,3893,3914,10852,5459,5393,3617,2144,1473
18,Tompkins County PUMA,2447,2153,855,1298,235,0,235,59,11,48
19,Dutchess County (Southwest) PUMA,6236,3299,1588,1711,2072,683,1389,865,865,0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,25992,9900,4753,5147,13038,6950,6088,3054,2075,979
21,Westchester County (Northwest) PUMA,10454,2844,1031,1813,5233,2844,2389,2377,2008,369
22,Albany County (Outside Albany City) PUMA,5934,3714,2185,1529,1729,400,1329,491,0,491
23,Monroe County (South) PUMA,6162,3959,2045,1914,733,327,406,1470,841,629
24,Jefferson & Lewis Counties PUMA,2725,1808,1108,700,917,270,647,0,0,0
25,"Chenango, Delaware & Broome (East) Counties PUMA",444,132,0,132,271,43,228,41,41,0
26,Erie County (Central) PUMA,1701,540,313,227,977,780,197,184,0,184
27,St. Lawrence County PUMA,735,241,196,45,409,166,243,85,0,85
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",17223,8385,3543,4842,5332,2817,2515,3506,1914,1592
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,4581,2849,1656,1193,1382,424,958,350,350,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,10469,4118,1754,2364,4496,2242,2254,1855,866,989
31,Cayuga & Onondaga (South) Counties PUMA,974,456,293,163,366,366,0,152,0,152
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,3363,977,479,498,2386,683,1703,0,0,0
33,Fulton & Montgomery Counties PUMA,137,94,0,94,43,43,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,2322,1207,504,703,787,508,279,328,328,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,8700,4608,1804,2804,3527,2381,1146,565,233,332
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,730,158,158,0,511,358,153,61,0,61
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,6451,1326,583,743,3241,1729,1512,1884,1168,716
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",13303,2732,1500,1232,7835,4070,3765,2736,1129,1607
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,31680,10178,5589,4589,16323,8484,7839,5179,3334,1845
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",4454,3834,1043,2791,41,41,0,579,316,263
