,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,855914,499281,356633,731253,420670,310583,124661,78611,46050,357286,180598,176688,336188,170367,165821,21098,10231,10867,375795,228483,147312,307714,184889,122825,68081,43594,24487,122833,90200,32633,87351,65414,21937,35482,24786,10696
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,4584,2625,1959,4294,2625,1669,290,0,290,4003,2334,1669,4003,2334,1669,0,0,0,291,291,0,291,291,0,0,0,0,290,0,290,0,0,0,290,0,290
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,8936,4358,4578,8356,3856,4500,580,502,78,3193,1710,1483,3189,1710,1479,4,0,4,5399,2325,3074,4823,1823,3000,576,502,74,344,323,21,344,323,21,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4092,2090,2002,3744,2090,1654,348,0,348,3142,1837,1305,3004,1837,1167,138,0,138,950,253,697,740,253,487,210,0,210,0,0,0,0,0,0,0,0,0
4,Madison & Cortland Counties PUMA,45,45,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,45,45,0,0,0,0
5,Ontario & Yates Counties PUMA,212,153,59,212,153,59,0,0,0,212,153,59,212,153,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,1153,925,228,776,711,65,377,214,163,357,357,0,357,357,0,0,0,0,593,365,228,282,217,65,311,148,163,203,203,0,137,137,0,66,66,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,8176,3870,4306,8103,3797,4306,73,73,0,5143,2463,2680,5143,2463,2680,0,0,0,2644,1211,1433,2644,1211,1433,0,0,0,389,196,193,316,123,193,73,73,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",199,199,0,199,199,0,0,0,0,0,0,0,0,0,0,0,0,0,199,199,0,199,199,0,0,0,0,0,0,0,0,0,0,0,0,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,10146,4759,5387,9992,4759,5233,154,0,154,9136,4288,4848,8982,4288,4694,154,0,154,746,207,539,746,207,539,0,0,0,264,264,0,264,264,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,3422,906,2516,3396,880,2516,26,26,0,1948,504,1444,1948,504,1444,0,0,0,448,389,59,422,363,59,26,26,0,1026,13,1013,1026,13,1013,0,0,0
11,Erie County (Northwest) PUMA,1153,669,484,1034,552,482,119,117,2,734,250,484,732,250,482,2,0,2,302,302,0,302,302,0,0,0,0,117,117,0,0,0,0,117,117,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",20105,11279,8826,19244,10720,8524,861,559,302,11142,5377,5765,10626,5042,5584,516,335,181,6746,4393,2353,6401,4169,2232,345,224,121,2217,1509,708,2217,1509,708,0,0,0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,12069,6982,5087,9154,5579,3575,2915,1403,1512,2633,1721,912,2044,1322,722,589,399,190,7786,4620,3166,6347,3924,2423,1439,696,743,1650,641,1009,763,333,430,887,308,579
14,Rockland County (North)--New City & Congers PUMA,7287,4318,2969,7048,4240,2808,239,78,161,2404,1115,1289,2404,1115,1289,0,0,0,4258,2650,1608,4097,2650,1447,161,0,161,625,553,72,547,475,72,78,78,0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",407,252,155,122,68,54,285,184,101,257,109,148,115,61,54,142,48,94,113,106,7,0,0,0,113,106,7,37,37,0,7,7,0,30,30,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,9454,5933,3521,6643,3986,2657,2811,1947,864,2860,1647,1213,2466,1406,1060,394,241,153,3817,2342,1475,2679,1512,1167,1138,830,308,2777,1944,833,1498,1068,430,1279,876,403
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,16404,9536,6868,13734,7751,5983,2670,1785,885,6049,3313,2736,5752,3176,2576,297,137,160,7605,4362,3243,6105,3354,2751,1500,1008,492,2750,1861,889,1877,1221,656,873,640,233
18,Tompkins County PUMA,1662,630,1032,1587,603,984,75,27,48,1455,619,836,1428,592,836,27,27,0,148,0,148,148,0,148,0,0,0,59,11,48,11,11,0,48,0,48
19,Dutchess County (Southwest) PUMA,4903,2762,2141,3954,2263,1691,949,499,450,2879,1353,1526,2464,1190,1274,415,163,252,1298,683,615,872,455,417,426,228,198,726,726,0,618,618,0,108,108,0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,17542,11118,6424,15023,9507,5516,2519,1611,908,6982,3952,3030,6239,3591,2648,743,361,382,8590,5505,3085,7167,4560,2607,1423,945,478,1970,1661,309,1617,1356,261,353,305,48
