,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
65,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,853,628,225,785,628,157,68,0,68
66,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",372,150,222,372,150,222,0,0,0
67,Oswego County PUMA,48,48,0,48,48,0,0,0,0
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",1796,1126,670,1236,1126,110,560,0,560
69,Monroe County (Central)--Rochester City (East) PUMA,429,429,0,168,168,0,261,261,0
70,Westchester County (Northeast) PUMA,2578,1856,722,2180,1856,324,398,0,398
71,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",2654,1683,971,2654,1683,971,0,0,0
72,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",3596,1940,1656,3596,1940,1656,0,0,0
73,Onondaga County (North) PUMA,37,37,0,37,37,0,0,0,0
74,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,680,511,169,564,511,53,116,0,116
75,Monroe County (South) PUMA,451,350,101,451,350,101,0,0,0
76,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",2258,1143,1115,2019,1058,961,239,85,154
77,Rensselaer County--Troy City PUMA,172,172,0,172,172,0,0,0,0
78,Suffolk County (Central)--Islip Town (East) PUMA,0,0,0,0,0,0,0,0,0
79,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1035,977,58,1035,977,58,0,0,0
80,Ontario & Yates Counties PUMA,0,0,0,0,0,0,0,0,0
81,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,2027,1238,789,2027,1238,789,0,0,0
82,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,855,101,754,791,101,690,64,0,64
83,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",1370,1278,92,1370,1278,92,0,0,0
84,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",2705,1995,710,2359,1649,710,346,346,0
85,Chautauqua County PUMA,0,0,0,0,0,0,0,0,0
86,Orange County (Southeast) PUMA,584,306,278,584,306,278,0,0,0
87,Monroe County (East) PUMA,284,47,237,284,47,237,0,0,0
88,Broome (Outer West) & Tioga Counties PUMA,70,70,0,70,70,0,0,0,0
89,Suffolk County (East) PUMA,990,591,399,990,591,399,0,0,0
90,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",1093,669,424,998,669,329,95,0,95
91,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,4106,1757,2349,4106,1757,2349,0,0,0
92,Albany County (Outside Albany City) PUMA,1143,421,722,1143,421,722,0,0,0
93,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",2094,1211,883,1915,1123,792,179,88,91
94,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",878,878,0,878,878,0,0,0,0
95,Nassau County (West Central)--Hempstead Town (West Central) PUMA,178,178,0,178,178,0,0,0,0
96,Erie County (West Central)--Buffalo City (East) PUMA,173,106,67,173,106,67,0,0,0
97,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,1198,998,200,1039,998,41,159,0,159
98,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",1572,827,745,1530,827,703,42,0,42
99,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",2129,1767,362,2129,1767,362,0,0,0
100,Madison & Cortland Counties PUMA,0,0,0,0,0,0,0,0,0
101,Nassau County (Central)--Hempstead Town (East Central) PUMA,233,96,137,233,96,137,0,0,0
102,Nassau County (West Central)--North Hempstead Town (South) PUMA,625,470,155,625,470,155,0,0,0
103,Westchester County (Central)--White Plains City PUMA,1197,1013,184,1140,956,184,57,57,0
104,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",368,368,0,368,368,0,0,0,0
105,Suffolk County (Northwest)--Huntington Town (South) PUMA,0,0,0,0,0,0,0,0,0
106,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,1004,695,309,1004,695,309,0,0,0
107,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,1194,597,597,1194,597,597,0,0,0
108,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,4203,2559,1644,4203,2559,1644,0,0,0
109,Suffolk County (Northwest)--Huntington Town (North) PUMA,1855,1193,662,1855,1193,662,0,0,0
110,Suffolk County (Southwest)--Islip Town (South) PUMA,326,326,0,192,192,0,134,134,0
111,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",1426,978,448,1426,978,448,0,0,0
112,Ulster County (East) PUMA,149,149,0,149,149,0,0,0,0
113,NYC-Manhattan Community District 10--Central Harlem PUMA,478,478,0,478,478,0,0,0,0
114,NYC-Brooklyn Community District 4--Bushwick PUMA,3141,1870,1271,3062,1870,1192,79,0,79
115,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",169,83,86,169,83,86,0,0,0
116,Oneida County (Central)--Greater Utica & Rome Cities PUMA,884,477,407,884,477,407,0,0,0
117,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",2429,1518,911,2204,1457,747,225,61,164
118,Erie County (Central) PUMA,292,229,63,292,229,63,0,0,0
119,Livingston & Wyoming Counties PUMA,78,78,0,0,0,0,78,78,0
120,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,710,405,305,710,405,305,0,0,0
121,Niagara County (North & East) PUMA,0,0,0,0,0,0,0,0,0
122,Westchester County (Southwest)--Yonkers City PUMA,2773,2177,596,2690,2094,596,83,83,0
123,Sullivan & Ulster (West) Counties PUMA,0,0,0,0,0,0,0,0,0
124,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",1676,1260,416,1676,1260,416,0,0,0
125,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,3176,2492,684,3065,2440,625,111,52,59
126,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",3383,2087,1296,3297,2087,1210,86,0,86
127,NYC-Manhattan Community District 11--East Harlem PUMA,897,417,480,897,417,480,0,0,0
128,Westchester County (Southeast) PUMA,3702,2651,1051,3623,2651,972,79,0,79
129,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,185,128,57,128,128,0,57,0,57
130,Erie County (Northeast) PUMA,94,0,94,94,0,94,0,0,0
131,Monroe County (Central)--Greece & Gates Towns PUMA,213,0,213,213,0,213,0,0,0
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,1554,1000,554,1236,868,368,318,132,186
133,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",243,243,0,243,243,0,0,0,0
134,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",569,136,433,569,136,433,0,0,0
135,Albany County (East Central)--Albany City PUMA,685,148,537,685,148,537,0,0,0
136,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",916,230,686,916,230,686,0,0,0
137,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,4060,2473,1587,4060,2473,1587,0,0,0
138,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,2833,1942,891,2484,1942,542,349,0,349
139,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",296,40,256,99,40,59,197,0,197
140,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",2146,1533,613,2006,1533,473,140,0,140
141,NYC-Manhattan Community District 8--Upper East Side PUMA,0,0,0,0,0,0,0,0,0
142,Orange County (Northeast)--Greater Newburgh City PUMA,1152,1040,112,1152,1040,112,0,0,0
143,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",598,446,152,598,446,152,0,0,0
144,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,1519,1152,367,1519,1152,367,0,0,0
145,Suffolk County (Central)--Islip Town (Northwest) PUMA,4704,3268,1436,4272,3012,1260,432,256,176
146,Capital Region,2562,1303,1259,2562,1303,1259,0,0,0
147,Central NY,1719,1365,354,1593,1239,354,126,126,0
148,Finger Lakes,2044,1412,632,1705,1073,632,339,339,0
149,Long Island,24154,16608,7546,23008,16167,6841,1146,441,705
150,Mid-Hudson,23506,17100,6406,21826,16282,5544,1680,818,862
151,Mohawk Valley,1049,591,458,1049,591,458,0,0,0
152,New York City,93677,61304,32373,89855,60266,29589,3822,1038,2784
153,North Country,570,388,182,570,388,182,0,0,0
154,Southern Tier,628,364,264,628,364,264,0,0,0
155,Western NY,1624,1250,374,1567,1250,317,57,0,57
