,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
65,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1055,572,483,602,485,117,453,87,366
66,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",1030,794,236,746,746,0,284,48,236
67,Oswego County PUMA,0,0,0,0,0,0,0,0,0
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",13721,8117,5604,10010,7274,2736,3711,843,2868
69,Monroe County (Central)--Rochester City (East) PUMA,141,101,40,141,101,40,0,0,0
70,Westchester County (Northeast) PUMA,745,192,553,597,192,405,148,0,148
71,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",6849,3003,3846,4839,2429,2410,2010,574,1436
72,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",13993,7592,6401,10571,7037,3534,3422,555,2867
73,Onondaga County (North) PUMA,0,0,0,0,0,0,0,0,0
74,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,371,318,53,371,318,53,0,0,0
75,Monroe County (South) PUMA,386,143,243,318,143,175,68,0,68
76,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",4125,1984,2141,3445,1806,1639,680,178,502
77,Rensselaer County--Troy City PUMA,346,252,94,187,93,94,159,159,0
78,Suffolk County (Central)--Islip Town (East) PUMA,0,0,0,0,0,0,0,0,0
79,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,461,206,255,461,206,255,0,0,0
80,Ontario & Yates Counties PUMA,259,129,130,129,129,0,130,0,130
81,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1379,510,869,1248,510,738,131,0,131
82,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,81,81,0,81,81,0,0,0,0
