,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
18,Tompkins County PUMA,28504,14196,14308,62797.90966180185,71412.50436742745,54250.74818283478,16347,8662,7685,81093.84981953875,88380.14453936735,72881.24281067014,11308,4685,6623,39350.261230986915,48846.403415154746,32632.848256077305,849,849,0,22824.14605418139,22824.14605418139,0.0
19,Dutchess County (Southwest) PUMA,47796,27334,20462,66102.7798560549,69799.63217970294,61164.36907438178,17466,8249,9217,91911.73273789076,98207.97502727603,86276.74275794727,27856,17658,10198,52535.30952039058,59006.465058330505,41330.40027456364,2474,1427,1047,36659.07841552142,39137.631394533986,33280.95510983763
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,19869,10769,9100,57427.762343348935,63375.42111616678,50389.26373626374,8172,3851,4321,76394.6402349486,96214.38587379901,58730.710483684335,10736,6116,4620,45360.45081967213,46680.26487900589,43613.268398268396,961,802,159,30952.559833506763,33007.24438902743,20588.67924528302
21,Westchester County (Northwest) PUMA,37188,20410,16778,101867.81324620846,123992.95894169525,74953.14977947313,22993,11930,11063,125497.35615187231,157546.9765297569,90936.02820211517,13102,7720,5382,64698.75812853,78481.19974093264,44929.07227796358,1093,760,333,50335.2241537054,59586.84210526316,29220.42042042042
22,Albany County (Outside Albany City) PUMA,67446,36122,31324,69993.6801441153,80403.16568850008,57989.73949687141,28953,15418,13535,95295.92684695887,119481.22065118693,67745.95567048393,36110,18577,17533,51933.80337856549,53049.9300209937,50751.217133405575,2383,2127,256,36240.51237935376,36038.14809590973,37921.875
23,Monroe County (South) PUMA,53377,30194,23183,79107.69908387508,87956.07107372326,67583.40352844757,32601,17377,15224,97911.12186742738,113016.19094204984,80669.87217551236,19723,11990,7733,50392.79876286569,55503.19099249374,42469.14651493599,1053,827,226,34790.12345679013,31898.428053204352,45371.681415929204
24,Jefferson & Lewis Counties PUMA,42839,25698,17141,51785.78545250823,57577.15363063273,43103.29438189137,10644,4982,5662,70033.24981210071,88276.71397029306,53980.80572235959,29292,18235,11057,46367.755428103235,51413.52371812449,38046.36764040879,2903,2481,422,39549.79676197038,41232.36598145909,29657.725118483413
25,"Chenango, Delaware & Broome (East) Counties PUMA",30795,17090,13705,46206.53677545056,50816.86881217086,40457.4981393652,7172,3042,4130,55456.51505856107,61511.576594345825,50996.58837772397,22372,13162,9210,43116.33130699088,47668.82403889986,36610.36938110749,1251,886,365,48439.33653077538,60863.44243792325,18281.095890410958
26,Erie County (Central) PUMA,52753,28000,24753,50079.61327317877,51066.6965,48963.04839817396,15259,6878,8381,65351.21914935448,65280.65862169235,65409.12576064909,36523,20517,16006,43808.48824028694,46136.879758249255,40823.88191928027,971,605,366,45971.338825952625,56655.818181818184,28309.83606557377
27,St. Lawrence County PUMA,30704,17013,13691,52408.20629233976,57782.62893081761,45729.72755824994,9748,5409,4339,70117.66988100123,77306.55500092439,61156.001382807095,19400,10268,9132,43685.65773195876,48131.41312816517,38686.86049058256,1556,1336,220,50213.856041131105,52912.694610778446,33824.545454545456
