,puma,Unemployment_BABS_F,Unemployment_HS_F,FT_Work_BABS_F,FT_Work_HS_F,Poverty_BABS_F,Poverty_HS_F,Working_Poor_BABS_F,Working_Poor_HS_F,Income_level_BABS_F,Income_level_HS_F,Rent_Burden_BABS_F,Rent_Burden_HS_F,Home_Ownership_BABS_F,Home_Ownership_HS_F
0,Total Geo,1.0921893079676421,1.1124745446185234,0.9897584654219183,0.9561873612406504,1.6395651512516254,1.0207738175232983,1.3268146465073438,1.4792730212631306,0.9765887892819229,0.9092728154723705,1.5218899055856918,0.9925481244880402,0.8044118226812705,0.7278290362929053
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1.0889202995372897,0.0,0.9689448569483978,0.7945293895423978,1.8613316798421098,0.4424797895470216,1.0680618606226948,0.6590169681854117,0.8577870105273127,1.2199877328101725,1.7038674472514412,0.3697649927598463,0.9762227744726426,2.648425027619658
2,Ulster County (East) PUMA,0.0,2.3625238976724425,0.49236020585519524,1.3461563538063654,4.152677571243568,0.0532009822354147,3.5414916114479063,0.0,1.6965384983857874,0.7273349316326182,29.782608695652172,0.0,1.1944078530141877,0.48964638315819153
3,Albany County (East Central)--Albany City PUMA,0.0,0.0,0.81991845978141,1.4266002779168176,3.749896530865639,0.10326801754063905,0.0,0.0,0.8465874210741101,1.6746861038329504,3.713291082745693,0.22117635880747605,0.2673215531271797,0.6995940489023492
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,0.0,1.1754278728606358,0.0,#DIV/0!,4.537509667440062,#DIV/0!,#DIV/0!,1.3139925809921171,0.0,#DIV/0!,0.0,1.0313734381051973,0.0
5,Ontario & Yates Counties PUMA,#DIV/0!,16.079914854295236,0.49464719458538997,0.9525771676281214,9.242897904633299,0.0,0.0,0.0,0.8485576985545839,0.5956577524211034,0.0,0.0,0.8178815603303262,1.0329784296504805
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,0.5639991748696229,0.8934464170265982,0.0,4.808666031581074,#DIV/0!,inf,0.9741051650496992,0.7810163097813694,0.0,2.0139860139860137,0.8721807573266991,0.9865026111903179
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.6386728659474835,1.2079721985412524,0.9508046142404087,0.8490212163849672,0.6494154800136518,1.0184467111905893,0.0,5.095528911506602,1.1724043058539997,0.9948124505082478,0.840339877907936,0.36651944289991645,0.7704808802412092,0.7129161077424213
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,12.16472490719982,1.2511271888434516,1.0598110757589452,0.0,1.6663774438650976,0.0,1.212293166433867,0.5525834515059618,0.9817577049497115,0.0,2.202264150943396,1.1101086749285032,1.2105061874869927
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.0,0.0,1.0723331813996457,0.9700518065483964,0.0,0.995107892364725,0.0,0.32526059586614675,1.5891608786547078,0.7468704692225294,#DIV/0!,0.18169313024336506,1.3059960356788898,0.8973440220920812
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.0,2.3092732789920967,0.9301416926910386,0.927861854147664,1.1275446657375354,1.5252855195249913,14.381094271769843,4.2428255133858555,0.7344393460330497,0.8356740089650029,0.18510526012489878,2.287569968122349,1.1706996733508355,1.159591176810255
11,Livingston & Wyoming Counties PUMA,0.0,0.0,1.216733422340899,1.2658241520846836,0.0,1.5126099008553986,#DIV/0!,0.0,1.4201618203463349,1.0586207267770602,#DIV/0!,#DIV/0!,0.2320382346879692,1.2272899749563633
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.0,0.0,0.8200684732693355,0.8250193991796919,0.9903983648946328,1.0486078338839075,0.0,3.027792460703853,0.6391616367137724,0.672514249337033,0.40726737848099615,0.9791429918996687,0.5203628480340723,1.7761412077201548
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1.9974279835390947,0.0,0.73818487213577,1.0881880538528552,1.608217958629091,0.3517307046040103,0.0,0.0,0.7141325931528156,1.302546300635632,0.0,0.3544657470189385,0.945002773087715,0.6977921322911956
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,7.2083156665080255,0.0,0.2950802147877332,0.7528394271634445,6.9229806046868525,0.5064888792917296,#DIV/0!,0.0,0.7235727885093026,1.29437551349794,3.1717326551585994,0.0,0.31384720879475486,0.9422182460925115
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.0,0.3669475157452765,0.8761966238896128,0.7697185557650675,6.1836480657880655,0.0,#DIV/0!,0.0,1.0427581783017472,0.433878656176716,2.5418210343263263,0.31850914205344577,1.1235881153393494,1.1861315038860942
16,Monroe County (Central)--Rochester City (East) PUMA,0.0,0.0,0.4021217177414301,0.8369077467167282,5.280912139503689,1.0279330391048547,0.0,0.0,0.9890696230958915,1.4126204225160695,#DIV/0!,2.1675475687103596,1.2336097682611948,1.1304551805729788
17,Westchester County (Northwest) PUMA,2.8205466982407765,0.34708438443255224,0.9382656655353946,0.8450987293226695,0.859181267047011,1.7068532851549991,0.0,2.7693769763843097,0.665972421707322,0.627241513763305,2.0991918793732136,1.3426008547409947,1.1319889622742796,0.7689063950334519
