,puma,Unemployment_HSINC_score,FT_Work_HSINC_score,Poverty_HSINC_score,Working_Poor_HSINC_score,Rent_Burden_HSINC_score,Home_Ownership_HSINC_score,Income_level_HSINC_score,Overall_HSINC_score,Unemployment_HSINC_grade,FT_Work_HSINC_grade,Poverty_HSINC_grade,Working_Poor_HSINC_grade,Rent_Burden_HSINC_grade,Home_Ownership_HSINC_grade,Income_level_HSINC_grade,Overall_HSINC_grade
0,Total Geo,0.0809553120182641,0.002748186807892766,-0.20209817981773281,-0.22793790032898034,0.0032786159883626802,-0.36429479143013677,-0.04644905748453884,-0.10768540203526704,C,C,C,C,C,C-,C,C
1,Monroe County (Central)--Rochester City (East) PUMA,-1.6538805993980918,0.33887778086413745,-0.020184569813762432,0.22498770608475185,0.42705680131146917,0.17388909839898253,0.6985353094370765,0.027040218126366193,D-,B-,C,C,B-,C,B-,C
2,NYC-Brooklyn Community District 4--Bushwick PUMA,0.08999155277933364,0.19735826020286062,0.053381351344140994,-0.05123931984835033,-0.1848425927759797,-0.815807241891843,-0.4563325558252928,-0.16678436371644723,C,C,C,C,C,D,C-,C
3,NYC-Manhattan Community District 10--Central Harlem PUMA,0.37470406647063625,-0.7532453550930591,-0.9195440118639245,-2.636384504463728,0.17233123415086107,-1.0723774542767455,-1.3951521092409778,-0.8899525906167053,B-,D,D,E,C,D,D-,D
4,Ontario & Yates Counties PUMA,0.37470406647063625,-1.4406553655223064,1.2379957861252104,1.008023068050704,-2.453344210421327,1.8032120382646437,0.26675492603710393,0.1138129012863807,B-,D-,B,B,E,A,B-,C
5,Albany County (Outside Albany City) PUMA,0.37470406647063625,0.9480564366277686,-2.346272796040355,-2.636384504463728,#DIV/0!,2.0625610905982814,-0.4945656152634698,#DIV/0!,B-,B,E,E,#DIV!0,A,C-,#DIV!0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.13585528406433425,-0.7855036603445948,0.017493169312316096,0.06882812725990264,0.3539606402613086,-0.007714356993947192,0.016125932915455932,-0.028707837646460645,C,D,C,C,B-,C,C,C
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",-0.49871433133395476,-0.7771986738139235,1.5612605158458388,1.008023068050704,1.0678112883289521,-1.0723774542767455,1.5055011628696673,0.399186510810077,C-,D,A-,B,B,D,A-,B-
9,Warren & Washington Counties PUMA,0.37470406647063625,0.9480564366277686,1.5612605158458388,1.008023068050704,#DIV/0!,2.0625610905982814,1.4737265159038673,#DIV/0!,B-,B,A-,B,#DIV!0,A,A-,#DIV!0
10,Erie County (North Central) PUMA,0.37470406647063625,-1.0035876642620294,1.5612605158458388,1.008023068050704,-1.4057276983964506,-1.0723774542767455,-0.8473726953783699,-0.1978682659923452,B-,D,A-,B,D-,D,D,C
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",0.37470406647063625,-0.5159917139643848,-0.7627960798769969,-0.15849232649889441,0.3236996981234372,-1.0723774542767455,-1.2400172188601306,-0.43589586126901125,B-,C-,D,C,B-,D,D,C-
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,#DIV/0!,#DIV/0!,1.5612605158458388,#DIV/0!,1.0678112883289521,-1.0723774542767455,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,A-,#DIV!0,B,D,#DIV!0,#DIV!0
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0.37470406647063625,0.46994598961436346,1.5612605158458388,1.008023068050704,1.0678112883289521,0.44802495192743064,-0.46221860707701584,0.6382216104515583,B-,B-,A-,B,B,B-,C-,B-
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.37470406647063625,0.9480564366277686,-1.8798714400364716,1.008023068050704,-0.1820645184793532,-1.0723774542767455,0.26675492603710393,-0.0766821308009082,B-,B,E,B,C,D,B-,C
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.37470406647063625,-2.526274316049467,-1.1089581129512556,-0.7784512322014683,-0.23106979336456776,-1.0723774542767455,-0.8646671600898848,-0.8867277146375362,B-,E,D,D,C,D,D,D
16,Onondaga County (Central)--Syracuse City PUMA,-0.49940314710509415,0.030436374761593863,-0.39250614009725804,-0.4368773459932531,0.6084221717783161,-0.20547097911232481,0.27867172245832256,-0.08810390618709965,C-,C,C-,C-,B-,C,B-,C
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.37470406647063625,-0.8445208397182932,-0.5990568610895091,0.277218383324855,#DIV/0!,1.4608376177301545,-0.7461605212218138,#DIV/0!,B-,D,C-,B-,#DIV!0,A-,C-,#DIV!0
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,-0.43347657754362956,0.9480564366277686,1.5612605158458388,1.008023068050704,#DIV/0!,2.0625610905982814,0.9729564997755589,#DIV/0!,C-,B,A-,B,#DIV!0,A,B,#DIV!0
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.37470406647063625,-0.663581389371043,-0.6214215793494468,0.37144532612678594,-0.530346481831743,-1.0723774542767455,-0.5207295050628434,-0.3803295738991999,B-,C-,C-,B-,C-,D,C-,C-
20,Monroe County (Central)--Rochester City (West) PUMA,-1.002766537543614,0.9480564366277686,0.19216737462053773,1.008023068050704,1.0678112883289521,-0.4981395099545893,-0.8653340986208156,0.12140257450127767,D,B,C,B,B,C-,D,C
