,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
54,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,58027,29282,12779,16503,22027,10712,11315,6718,3466,3252
55,Cattaraugus & Allegany Counties PUMA,58533,11125,5104,6021,41513,20719,20794,5895,3296,2599
56,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",28568,15188,7077,8111,12797,6687,6110,583,265,318
57,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,50758,14532,6111,8421,32536,17742,14794,3690,2164,1526
58,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,47083,15973,7793,8180,29053,15608,13445,2057,1313,744
59,Jefferson & Lewis Counties PUMA,65993,11938,4552,7386,49955,27847,22108,4100,2204,1896
60,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,59058,26593,9865,16728,25195,13984,11211,7270,3925,3345
61,Schenectady County--Schenectady City PUMA,71149,23037,10016,13021,41736,21788,19948,6376,3605,2771
62,NYC-Queens Community District 1--Astoria & Long Island City PUMA,58315,38200,20339,17861,17591,10640,6951,2524,1563,961
63,Suffolk County (North Central)--Brookhaven Town (North) PUMA,44712,23866,11058,12808,19174,8935,10239,1672,1106,566
64,Fulton & Montgomery Counties PUMA,50446,10288,4083,6205,34230,17713,16517,5928,3631,2297
65,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,34824,6895,2533,4362,21062,9117,11945,6867,2773,4094
66,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",39491,24480,12606,11874,14080,7030,7050,931,452,479
67,Oswego County PUMA,60195,10818,4074,6744,42564,21900,20664,6813,4392,2421
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",56366,31916,15920,15996,21778,12805,8973,2672,2075,597
69,Monroe County (Central)--Rochester City (East) PUMA,46524,14596,7111,7485,25850,10787,15063,6078,3434,2644
70,Westchester County (Northeast) PUMA,53904,34755,16102,18653,17289,8489,8800,1860,681,1179
71,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",41235,5221,1699,3522,26012,13473,12539,10002,5760,4242
72,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",40199,15719,7930,7789,20924,10978,9946,3556,2171,1385
73,Onondaga County (North) PUMA,63310,21958,9940,12018,38605,19404,19201,2747,1895,852
74,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,46208,14014,7078,6936,29296,15205,14091,2898,1166,1732
75,Monroe County (South) PUMA,70394,43965,20475,23490,24529,12578,11951,1900,1505,395
76,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",30468,12288,5971,6317,15616,7899,7717,2564,1151,1413
77,Rensselaer County--Troy City PUMA,79101,29305,14132,15173,45885,22804,23081,3911,2193,1718
78,Suffolk County (Central)--Islip Town (East) PUMA,46902,19087,8889,10198,26679,13739,12940,1136,747,389
79,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,38957,20812,9391,11421,17476,9825,7651,669,304,365
80,Ontario & Yates Counties PUMA,64468,22678,10274,12404,35249,17228,18021,6541,4203,2338
81,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,41881,11550,4851,6699,27037,14590,12447,3294,1587,1707
82,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,43145,24297,11882,12415,18382,9059,9323,466,12,454
83,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",27077,15541,6452,9089,9605,5194,4411,1931,834,1097
84,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",26015,8595,3554,5041,14182,6692,7490,3238,1702,1536
85,Chautauqua County PUMA,60178,13093,5522,7571,40736,20509,20227,6349,3721,2628
86,Orange County (Southeast) PUMA,50631,17447,8323,9124,29515,15400,14115,3669,2621,1048
87,Monroe County (East) PUMA,61588,30644,15069,15575,28364,13508,14856,2580,1524,1056
88,Broome (Outer West) & Tioga Counties PUMA,53702,14714,6737,7977,34828,18523,16305,4160,2364,1796
89,Suffolk County (East) PUMA,51519,20472,9836,10636,28420,13245,15175,2627,1326,1301
90,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",37823,10156,5393,4763,20564,10217,10347,7103,3925,3178
