,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,321804,175811,145993,271870,158626,113244,49934,17185,32749,172247,85223,87024,147596,76706,70890,24651,8517,16134,128235,75928,52307,107156,69082,38074,21079,6846,14233,21322,14660,6662,17118,12838,4280,4204,1822,2382
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,1408,627,781,1348,627,721,60,0,60,344,168,176,344,168,176,0,0,0,997,392,605,937,392,545,60,0,60,67,67,0,67,67,0,0,0,0
2,"Chenango, Delaware & Broome (East) Counties PUMA",1010,541,469,884,516,368,126,25,101,209,163,46,209,163,46,0,0,0,801,378,423,675,353,322,126,25,101,0,0,0,0,0,0,0,0,0
3,Cayuga & Onondaga (South) Counties PUMA,166,0,166,166,0,166,0,0,0,166,0,166,166,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,305,93,212,198,93,105,107,0,107,107,0,107,0,0,0,107,0,107,198,93,105,198,93,105,0,0,0,0,0,0,0,0,0,0,0,0
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",3046,1610,1436,2884,1610,1274,162,0,162,1212,368,844,1050,368,682,162,0,162,1834,1242,592,1834,1242,592,0,0,0,0,0,0,0,0,0,0,0,0
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",15284,7522,7762,13053,6781,6272,2231,741,1490,5263,2067,3196,4269,1831,2438,994,236,758,9295,5071,4224,8096,4566,3530,1199,505,694,726,384,342,688,384,304,38,0,38
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",164,30,134,115,30,85,49,0,49,85,0,85,85,0,85,0,0,0,79,30,49,30,30,0,49,0,49,0,0,0,0,0,0,0,0,0
8,Erie County (Northwest) PUMA,257,257,0,257,257,0,0,0,0,257,257,0,257,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,6651,3731,2920,6123,3392,2731,528,339,189,5807,2887,2920,5279,2548,2731,528,339,189,844,844,0,844,844,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",5413,1952,3461,4281,1621,2660,1132,331,801,4299,1652,2647,3167,1321,1846,1132,331,801,658,84,574,658,84,574,0,0,0,456,216,240,456,216,240,0,0,0
11,Saratoga County (South & Central) PUMA,744,241,503,694,241,453,50,0,50,519,139,380,469,139,330,50,0,50,225,102,123,225,102,123,0,0,0,0,0,0,0,0,0,0,0,0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,889,543,346,814,543,271,75,0,75,596,312,284,521,312,209,75,0,75,231,231,0,231,231,0,0,0,0,62,0,62,62,0,62,0,0,0
13,Columbia & Greene Counties PUMA,619,420,199,449,315,134,170,105,65,534,363,171,421,315,106,113,48,65,85,57,28,28,0,28,57,57,0,0,0,0,0,0,0,0,0,0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,10942,6930,4012,9991,6447,3544,951,483,468,5138,2683,2455,5138,2683,2455,0,0,0,4941,3731,1210,4500,3411,1089,441,320,121,863,516,347,353,353,0,510,163,347
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,2195,743,1452,1664,743,921,531,0,531,1062,425,637,938,425,513,124,0,124,1133,318,815,726,318,408,407,0,407,0,0,0,0,0,0,0,0,0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,3246,2141,1105,2770,1943,827,476,198,278,1701,1108,593,1602,1063,539,99,45,54,1234,722,512,960,672,288,274,50,224,311,311,0,208,208,0,103,103,0
17,Putnam County PUMA,2261,1029,1232,1830,844,986,431,185,246,880,415,465,880,415,465,0,0,0,1224,457,767,793,272,521,431,185,246,157,157,0,157,157,0,0,0,0
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,4539,2736,1803,3863,2599,1264,676,137,539,1776,935,841,1608,864,744,168,71,97,2355,1482,873,1936,1416,520,419,66,353,408,319,89,319,319,0,89,0,89
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,1914,1179,735,1367,865,502,547,314,233,936,318,618,820,318,502,116,0,116,920,803,117,489,489,0,431,314,117,58,58,0,58,58,0,0,0,0
20,Rockland County (North)--New City & Congers PUMA,967,405,562,648,311,337,319,94,225,351,285,66,257,191,66,94,94,0,616,120,496,391,120,271,225,0,225,0,0,0,0,0,0,0,0,0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",623,345,278,425,345,80,198,0,198,278,0,278,80,0,80,198,0,198,345,345,0,345,345,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Orange County (Northwest) PUMA,395,395,0,395,395,0,0,0,0,0,0,0,0,0,0,0,0,0,326,326,0,326,326,0,0,0,0,69,69,0,69,69,0,0,0,0
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,2979,1336,1643,2464,1237,1227,515,99,416,2708,1158,1550,2286,1059,1227,422,99,323,271,178,93,178,178,0,93,0,93,0,0,0,0,0,0,0,0,0
24,Dutchess County (Southwest) PUMA,1621,827,794,1263,594,669,358,233,125,1195,593,602,962,360,602,233,233,0,206,71,135,138,71,67,68,0,68,220,163,57,163,163,0,57,0,57
25,Westchester County (Northwest) PUMA,1980,1057,923,1608,1014,594,372,43,329,1147,658,489,1075,658,417,72,0,72,696,399,297,533,356,177,163,43,120,137,0,137,0,0,0,137,0,137
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1158,789,369,1094,789,305,64,0,64,313,224,89,313,224,89,0,0,0,632,565,67,632,565,67,0,0,0,213,0,213,149,0,149,64,0,64
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4547,2963,1584,4156,2800,1356,391,163,228,2028,1081,947,1714,918,796,314,163,151,2258,1621,637,2181,1621,560,77,0,77,261,261,0,261,261,0,0,0,0
28,Saratoga County (Outer) PUMA,853,544,309,765,544,221,88,0,88,424,115,309,336,115,221,88,0,88,197,197,0,197,197,0,0,0,0,232,232,0,232,232,0,0,0,0
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,3223,1805,1418,2628,1484,1144,595,321,274,1234,667,567,833,444,389,401,223,178,1841,990,851,1647,892,755,194,98,96,148,148,0,148,148,0,0,0,0
30,Erie County (South) PUMA,791,548,243,659,416,243,132,132,0,343,343,0,343,343,0,0,0,0,448,205,243,316,73,243,132,132,0,0,0,0,0,0,0,0,0,0
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",410,208,202,410,208,202,0,0,0,60,60,0,60,60,0,0,0,0,305,103,202,305,103,202,0,0,0,45,45,0,45,45,0,0,0,0
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,4271,2361,1910,3437,2084,1353,834,277,557,2113,1316,797,1950,1238,712,163,78,85,1935,894,1041,1415,846,569,520,48,472,223,151,72,72,0,72,151,151,0
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,1134,844,290,776,679,97,358,165,193,294,165,129,0,0,0,294,165,129,382,318,64,318,318,0,64,0,64,458,361,97,458,361,97,0,0,0
34,St. Lawrence County PUMA,813,440,373,759,421,338,54,19,35,139,22,117,139,22,117,0,0,0,346,248,98,311,248,63,35,0,35,328,170,158,309,151,158,19,19,0
35,Genesee & Orleans Counties PUMA,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Monroe County (Central)--Rochester City (West) PUMA,199,0,199,199,0,199,0,0,0,0,0,0,0,0,0,0,0,0,199,0,199,199,0,199,0,0,0,0,0,0,0,0,0,0,0,0
37,Wayne & Seneca Counties PUMA,134,61,73,134,61,73,0,0,0,61,61,0,61,61,0,0,0,0,73,0,73,73,0,73,0,0,0,0,0,0,0,0,0,0,0,0
38,Warren & Washington Counties PUMA,338,189,149,260,189,71,78,0,78,338,189,149,260,189,71,78,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Erie County (North Central) PUMA,638,351,287,638,351,287,0,0,0,487,273,214,487,273,214,0,0,0,151,78,73,151,78,73,0,0,0,0,0,0,0,0,0,0,0,0
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",836,447,389,684,390,294,152,57,95,533,176,357,438,176,262,95,0,95,246,214,32,246,214,32,0,0,0,57,57,0,0,0,0,57,57,0
41,Dutchess County (North & East) PUMA,636,541,95,576,481,95,60,60,0,288,193,95,288,193,95,0,0,0,279,279,0,219,219,0,60,60,0,69,69,0,69,69,0,0,0,0
42,Tompkins County PUMA,518,290,228,404,290,114,114,0,114,404,290,114,404,290,114,0,0,0,114,0,114,0,0,0,114,0,114,0,0,0,0,0,0,0,0,0
43,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",5916,3459,2457,5874,3417,2457,42,42,0,5436,3459,1977,5394,3417,1977,42,42,0,480,0,480,480,0,480,0,0,0,0,0,0,0,0,0,0,0,0
44,Onondaga County (Central)--Syracuse City PUMA,504,237,267,504,237,267,0,0,0,333,66,267,333,66,267,0,0,0,171,171,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Suffolk County (South Central)--Brookhaven Town (South) PUMA,628,411,217,351,134,217,277,277,0,477,411,66,200,134,66,277,277,0,151,0,151,151,0,151,0,0,0,0,0,0,0,0,0,0,0,0
46,Suffolk County (Northwest)--Smithtown Town PUMA,2189,1229,960,1683,1155,528,506,74,432,1521,718,803,1089,644,445,432,74,358,668,511,157,594,511,83,74,0,74,0,0,0,0,0,0,0,0,0
47,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,152,92,60,102,42,60,50,50,0,102,42,60,102,42,60,0,0,0,50,50,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0
48,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,4391,1916,2475,4125,1862,2263,266,54,212,2743,986,1757,2612,986,1626,131,0,131,1516,864,652,1381,810,571,135,54,81,132,66,66,132,66,66,0,0,0
49,Onondaga County (Central)--Syracuse City (Outer) PUMA,2194,891,1303,1587,673,914,607,218,389,969,181,788,580,181,399,389,0,389,991,590,401,773,372,401,218,218,0,234,120,114,234,120,114,0,0,0
50,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,855,633,222,855,633,222,0,0,0,526,352,174,526,352,174,0,0,0,329,281,48,329,281,48,0,0,0,0,0,0,0,0,0,0,0,0
51,Erie County (West Central)--Buffalo City (West) PUMA,494,230,264,494,230,264,0,0,0,211,0,211,211,0,211,0,0,0,283,230,53,283,230,53,0,0,0,0,0,0,0,0,0,0,0,0
52,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",277,126,151,277,126,151,0,0,0,173,90,83,173,90,83,0,0,0,62,36,26,62,36,26,0,0,0,42,0,42,42,0,42,0,0,0
53,Monroe County (North & West) PUMA,1069,569,500,886,503,383,183,66,117,125,125,0,59,59,0,66,66,0,596,96,500,479,96,383,117,0,117,348,348,0,348,348,0,0,0,0
54,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,865,565,300,821,521,300,44,44,0,699,399,300,699,399,300,0,0,0,166,166,0,122,122,0,44,44,0,0,0,0,0,0,0,0,0,0
55,Cattaraugus & Allegany Counties PUMA,529,213,316,501,213,288,28,0,28,337,29,308,317,29,288,20,0,20,151,143,8,143,143,0,8,0,8,41,41,0,41,41,0,0,0,0
56,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",3159,1863,1296,2419,1747,672,740,116,624,809,581,228,809,581,228,0,0,0,1724,914,810,1286,914,372,438,0,438,626,368,258,324,252,72,302,116,186
