,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,389551.0,194000.0,195551.0,203729.0,97426.0,106303.0,185822.0,96574.0,89248.0,200137.0,91983.0,108154.0,102602.0,46382.0,56220.0,97535.0,45601.0,51934.0,159427.0,85461.0,73966.0,84678.0,42763.0,41915.0,74749.0,42698.0,32051.0,29987.0,16556.0,13431.0,16449.0,8281.0,8168.0,13538.0,8275.0,5263.0
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,1476.0,627.0,849.0,1476.0,627.0,849.0,0.0,0.0,0.0,412.0,168.0,244.0,412.0,168.0,244.0,0.0,0.0,0.0,997.0,392.0,605.0,997.0,392.0,605.0,0.0,0.0,0.0,67.0,67.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0
2,"Chenango, Delaware & Broome (East) Counties PUMA",1088.0,563.0,525.0,1088.0,563.0,525.0,0.0,0.0,0.0,209.0,163.0,46.0,209.0,163.0,46.0,0.0,0.0,0.0,879.0,400.0,479.0,879.0,400.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Cayuga & Onondaga (South) Counties PUMA,166.0,0.0,166.0,166.0,0.0,166.0,0.0,0.0,0.0,166.0,0.0,166.0,166.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,428.0,93.0,335.0,93.0,93.0,0.0,335.0,0.0,335.0,107.0,0.0,107.0,0.0,0.0,0.0,107.0,0.0,107.0,321.0,93.0,228.0,93.0,93.0,0.0,228.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",4041.0,1869.0,2172.0,3245.0,1474.0,1771.0,796.0,395.0,401.0,1547.0,509.0,1038.0,953.0,244.0,709.0,594.0,265.0,329.0,2223.0,1270.0,953.0,2021.0,1140.0,881.0,202.0,130.0,72.0,271.0,90.0,181.0,271.0,90.0,181.0,0.0,0.0,0.0
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",17636.0,8315.0,9321.0,7521.0,3870.0,3651.0,10115.0,4445.0,5670.0,5829.0,2249.0,3580.0,3124.0,1260.0,1864.0,2705.0,989.0,1716.0,10684.0,5469.0,5215.0,3740.0,2221.0,1519.0,6944.0,3248.0,3696.0,1123.0,597.0,526.0,657.0,389.0,268.0,466.0,208.0,258.0
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",228.0,30.0,198.0,228.0,30.0,198.0,0.0,0.0,0.0,111.0,0.0,111.0,111.0,0.0,111.0,0.0,0.0,0.0,117.0,30.0,87.0,117.0,30.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Erie County (Northwest) PUMA,356.0,257.0,99.0,203.0,104.0,99.0,153.0,153.0,0.0,257.0,257.0,0.0,104.0,104.0,0.0,153.0,153.0,0.0,99.0,0.0,99.0,99.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,7228.0,3726.0,3502.0,2966.0,1936.0,1030.0,4262.0,1790.0,2472.0,6384.0,2882.0,3502.0,2415.0,1385.0,1030.0,3969.0,1497.0,2472.0,844.0,844.0,0.0,551.0,551.0,0.0,293.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",6032.0,1952.0,4080.0,784.0,356.0,428.0,5248.0,1596.0,3652.0,4918.0,1652.0,3266.0,544.0,356.0,188.0,4374.0,1296.0,3078.0,658.0,84.0,574.0,0.0,0.0,0.0,658.0,84.0,574.0,456.0,216.0,240.0,240.0,0.0,240.0,216.0,216.0,0.0
11,Saratoga County (South & Central) PUMA,801.0,241.0,560.0,445.0,139.0,306.0,356.0,102.0,254.0,519.0,139.0,380.0,388.0,139.0,249.0,131.0,0.0,131.0,282.0,102.0,180.0,57.0,0.0,57.0,225.0,102.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,1089.0,606.0,483.0,1089.0,606.0,483.0,0.0,0.0,0.0,667.0,312.0,355.0,667.0,312.0,355.0,0.0,0.0,0.0,360.0,294.0,66.0,360.0,294.0,66.0,0.0,0.0,0.0,62.0,0.0,62.0,62.0,0.0,62.0,0.0,0.0,0.0
13,Columbia & Greene Counties PUMA,846.0,478.0,368.0,524.0,299.0,225.0,322.0,179.0,143.0,678.0,363.0,315.0,356.0,184.0,172.0,322.0,179.0,143.0,107.0,79.0,28.0,107.0,79.0,28.0,0.0,0.0,0.0,61.0,36.0,25.0,61.0,36.0,25.0,0.0,0.0,0.0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,13196.0,7104.0,6092.0,11774.0,6436.0,5338.0,1422.0,668.0,754.0,5482.0,2742.0,2740.0,4860.0,2651.0,2209.0,622.0,91.0,531.0,6561.0,3846.0,2715.0,5924.0,3432.0,2492.0,637.0,414.0,223.0,1153.0,516.0,637.0,990.0,353.0,637.0,163.0,163.0,0.0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,2858.0,890.0,1968.0,2737.0,890.0,1847.0,121.0,0.0,121.0,1573.0,572.0,1001.0,1573.0,572.0,1001.0,0.0,0.0,0.0,1228.0,318.0,910.0,1107.0,318.0,789.0,121.0,0.0,121.0,57.0,0.0,57.0,57.0,0.0,57.0,0.0,0.0,0.0
