,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
61,Erie County (North Central) PUMA,2009,1548,848,700,362,107,255,99,74,25
62,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,257,37,22,15,165,136,29,55,55,0
63,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,11072,4864,2364,2500,5253,2599,2654,955,519,436
64,Madison & Cortland Counties PUMA,360,232,101,131,128,73,55,0,0,0
65,Westchester County (Northwest) PUMA,2954,1675,866,809,1039,536,503,240,109,131
66,NYC-Brooklyn Community District 4--Bushwick PUMA,1047,660,314,346,323,121,202,64,64,0
67,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",1691,904,321,583,713,328,385,74,37,37
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",3280,1936,1071,865,1166,687,479,178,178,0
69,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,2842,2380,1287,1093,393,211,182,69,69,0
70,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",2027,873,363,510,1038,575,463,116,58,58
71,Suffolk County (Central)--Islip Town (East) PUMA,1215,552,298,254,605,291,314,58,39,19
72,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,8257,3858,1678,2180,3711,1913,1798,688,314,374
73,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",189,26,0,26,102,90,12,61,22,39
74,Erie County (West Central)--Buffalo City (East) PUMA,592,161,45,116,336,259,77,95,79,16
75,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,2634,1112,537,575,1220,581,639,302,144,158
76,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,191,99,10,89,60,42,18,32,18,14
77,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",4889,4003,1562,2441,612,288,324,274,145,129
78,Jefferson & Lewis Counties PUMA,581,214,85,129,273,33,240,94,52,42
79,Fulton & Montgomery Counties PUMA,474,97,35,62,341,110,231,36,27,9
80,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",2772,1898,890,1008,725,436,289,149,83,66
81,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,1345,876,493,383,373,242,131,96,74,22
82,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,2660,1465,824,641,770,507,263,425,263,162
83,Monroe County (North & West) PUMA,1101,426,85,341,578,291,287,97,66,31
84,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,520,169,50,119,293,168,125,58,58,0
85,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",126,65,33,32,53,18,35,8,0,8
86,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,15627,8797,4268,4529,6159,2592,3567,671,386,285
87,NYC-Manhattan Community District 8--Upper East Side PUMA,12068,10378,4837,5541,1522,668,854,168,91,77
88,"Chenango, Delaware & Broome (East) Counties PUMA",543,131,82,49,412,206,206,0,0,0
89,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",15522,4939,1989,2950,9414,5003,4411,1169,587,582
