,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,147490,101058,46432,140154,97034,43120,7336,4024,3312
1,Monroe County (Central)--Rochester City (East) PUMA,184,0,184,184,0,184,0,0,0
2,NYC-Brooklyn Community District 4--Bushwick PUMA,2573,1880,693,2321,1628,693,252,252,0
3,NYC-Manhattan Community District 10--Central Harlem PUMA,1991,1549,442,1826,1384,442,165,165,0
4,Ontario & Yates Counties PUMA,81,0,81,81,0,81,0,0,0
5,Albany County (Outside Albany City) PUMA,326,326,0,226,226,0,100,100,0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0,0,0,0,0,0,0,0,0
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,3808,2615,1193,3773,2615,1158,35,0,35
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",2549,1834,715,2337,1622,715,212,212,0
9,Warren & Washington Counties PUMA,0,0,0,0,0,0,0,0,0
10,Erie County (North Central) PUMA,401,401,0,401,401,0,0,0,0
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",289,0,289,289,0,289,0,0,0
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,213,108,105,108,108,0,105,0,105
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,2048,1374,674,2048,1374,674,0,0,0
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,258,0,258,258,0,258,0,0,0
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,904,426,478,904,426,478,0,0,0
16,Onondaga County (Central)--Syracuse City PUMA,570,210,360,570,210,360,0,0,0
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1134,613,521,1058,613,445,76,0,76
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,680,323,357,680,323,357,0,0,0
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1394,1302,92,1302,1302,0,92,0,92
20,Monroe County (Central)--Rochester City (West) PUMA,414,158,256,414,158,256,0,0,0
21,"Chenango, Delaware & Broome (East) Counties PUMA",0,0,0,0,0,0,0,0,0
22,Dutchess County (North & East) PUMA,546,345,201,546,345,201,0,0,0
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,1404,799,605,1404,799,605,0,0,0
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,1142,615,527,1142,615,527,0,0,0
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,780,440,340,780,440,340,0,0,0
26,Westchester County (Southeast) PUMA,3096,3024,72,2893,2821,72,203,203,0
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,2323,1654,669,2243,1654,589,80,0,80
28,Westchester County (Northwest) PUMA,2779,1699,1080,2779,1699,1080,0,0,0
29,Monroe County (South) PUMA,0,0,0,0,0,0,0,0,0
30,Rockland County (North)--New City & Congers PUMA,411,352,59,411,352,59,0,0,0
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",2661,1466,1195,2661,1466,1195,0,0,0
32,Orange County (Southeast) PUMA,589,111,478,180,111,69,409,0,409
33,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",1828,1151,677,1639,1151,488,189,0,189
34,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,1098,1041,57,1098,1041,57,0,0,0
35,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",1272,1060,212,1183,971,212,89,89,0
36,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,1178,691,487,1178,691,487,0,0,0
37,Suffolk County (Northwest)--Huntington Town (South) PUMA,283,198,85,283,198,85,0,0,0
38,Westchester County (Southwest)--Yonkers City PUMA,2903,1826,1077,2767,1826,941,136,0,136
39,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",1200,543,657,1200,543,657,0,0,0
40,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,1530,776,754,1438,684,754,92,92,0
41,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,2748,2128,620,2564,2045,519,184,83,101
42,Erie County (West Central)--Buffalo City (West) PUMA,749,295,454,648,295,353,101,0,101
43,Fulton & Montgomery Counties PUMA,0,0,0,0,0,0,0,0,0
44,Westchester County (Central)--White Plains City PUMA,2384,1888,496,2384,1888,496,0,0,0
45,St. Lawrence County PUMA,0,0,0,0,0,0,0,0,0
46,Saratoga County (South & Central) PUMA,662,662,0,158,158,0,504,504,0
47,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,441,348,93,441,348,93,0,0,0
48,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0,0,0,0,0,0,0,0,0
49,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0,0,0,0,0,0,0,0,0
50,Suffolk County (Central)--Islip Town (East) PUMA,340,340,0,115,115,0,225,225,0
51,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",505,291,214,505,291,214,0,0,0
52,Westchester County (Northeast) PUMA,248,248,0,248,248,0,0,0,0
53,Chautauqua County PUMA,138,0,138,138,0,138,0,0,0
54,Erie County (West Central)--Buffalo City (East) PUMA,136,136,0,136,136,0,0,0,0
55,Cayuga & Onondaga (South) Counties PUMA,136,46,90,136,46,90,0,0,0
56,Oneida County (Central)--Greater Utica & Rome Cities PUMA,740,457,283,740,457,283,0,0,0
57,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,467,415,52,467,415,52,0,0,0
