,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
45,St. Lawrence County PUMA,99.0,17.0,82.0,72.0,17.0,55.0,27.0,0.0,27.0
46,Saratoga County (South & Central) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,55.0,55.0,0.0,55.0,55.0,0.0,0.0,0.0,0.0
48,Suffolk County (North Central)--Brookhaven Town (North) PUMA,557.0,557.0,0.0,557.0,557.0,0.0,0.0,0.0,0.0
49,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,789.0,203.0,586.0,91.0,0.0,91.0,698.0,203.0,495.0
50,Suffolk County (Central)--Islip Town (East) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",465.0,119.0,346.0,465.0,119.0,346.0,0.0,0.0,0.0
52,Westchester County (Northeast) PUMA,116.0,0.0,116.0,0.0,0.0,0.0,116.0,0.0,116.0
53,Chautauqua County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Erie County (West Central)--Buffalo City (East) PUMA,386.0,0.0,386.0,129.0,0.0,129.0,257.0,0.0,257.0
55,Cayuga & Onondaga (South) Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Oneida County (Central)--Greater Utica & Rome Cities PUMA,1102.0,535.0,567.0,787.0,382.0,405.0,315.0,153.0,162.0
57,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,83.0,0.0,83.0,83.0,0.0,83.0,0.0,0.0,0.0
58,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",289.0,0.0,289.0,0.0,0.0,0.0,289.0,0.0,289.0
59,NYC-Manhattan Community District 11--East Harlem PUMA,6238.0,3400.0,2838.0,6122.0,3400.0,2722.0,116.0,0.0,116.0
