,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,373510.0,164525.0,208985.0,84364.0,35916.0,48448.0,289146.0,128609.0,160537.0
1,Monroe County (Central)--Rochester City (East) PUMA,976.0,138.0,838.0,388.0,63.0,325.0,588.0,75.0,513.0
2,NYC-Brooklyn Community District 4--Bushwick PUMA,6818.0,2853.0,3965.0,558.0,193.0,365.0,6260.0,2660.0,3600.0
3,NYC-Manhattan Community District 10--Central Harlem PUMA,1101.0,597.0,504.0,0.0,0.0,0.0,1101.0,597.0,504.0
4,Ontario & Yates Counties PUMA,689.0,168.0,521.0,632.0,168.0,464.0,57.0,0.0,57.0
5,Albany County (Outside Albany City) PUMA,85.0,0.0,85.0,85.0,0.0,85.0,0.0,0.0,0.0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,14334.0,6627.0,7707.0,4868.0,1994.0,2874.0,9466.0,4633.0,4833.0
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",1119.0,451.0,668.0,0.0,0.0,0.0,1119.0,451.0,668.0
9,Warren & Washington Counties PUMA,88.0,88.0,0.0,88.0,88.0,0.0,0.0,0.0,0.0
10,Erie County (North Central) PUMA,242.0,242.0,0.0,0.0,0.0,0.0,242.0,242.0,0.0
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",724.0,0.0,724.0,0.0,0.0,0.0,724.0,0.0,724.0
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,71.0,0.0,71.0,0.0,0.0,0.0,71.0,0.0,71.0
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,1099.0,284.0,815.0,533.0,0.0,533.0,566.0,284.0,282.0
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,406.0,226.0,180.0,0.0,0.0,0.0,406.0,226.0,180.0
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,919.0,244.0,675.0,0.0,0.0,0.0,919.0,244.0,675.0
16,Onondaga County (Central)--Syracuse City PUMA,1960.0,853.0,1107.0,542.0,255.0,287.0,1418.0,598.0,820.0
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,2308.0,1502.0,806.0,1865.0,1059.0,806.0,443.0,443.0,0.0
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,676.0,588.0,88.0,676.0,588.0,88.0,0.0,0.0,0.0
