,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,252000,138531,113469,196714,119998,76716,55286,18533,36753
1,Monroe County (Central)--Rochester City (East) PUMA,580,17,563,498,0,498,82,17,65
2,NYC-Brooklyn Community District 4--Bushwick PUMA,5183,2761,2422,4280,2669,1611,903,92,811
3,NYC-Manhattan Community District 10--Central Harlem PUMA,504,0,504,305,0,305,199,0,199
4,Ontario & Yates Counties PUMA,377,168,209,168,168,0,209,0,209
5,Albany County (Outside Albany City) PUMA,85,0,85,85,0,85,0,0,0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0,0,0,0,0,0,0,0,0
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,10310,5703,4607,6162,4266,1896,4148,1437,2711
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",999,451,548,599,451,148,400,0,400
9,Warren & Washington Counties PUMA,88,88,0,88,88,0,0,0,0
10,Erie County (North Central) PUMA,170,170,0,93,93,0,77,77,0
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",724,0,724,478,0,478,246,0,246
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0,0,0,0,0,0,0,0,0
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,739,0,739,657,0,657,82,0,82
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,82,82,0,82,82,0,0,0,0
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,790,174,616,153,0,153,637,174,463
16,Onondaga County (Central)--Syracuse City PUMA,1080,754,326,850,754,96,230,0,230
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1298,667,631,758,667,91,540,0,540
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,569,481,88,569,481,88,0,0,0
