,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,4909060,2654761,2254299,4648664,2524843,2123821,260396,129918,130478,2414405,1169906,1244499,2360621,1146143,1214478,53784,23763,30021,2308504,1360996,947508,2140105,1277072,863033,168399,83924,84475,186151,123859,62292,147938,101628,46310,38213,22231,15982
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,56225,29263,26962,54189,28031,26158,2036,1232,804,49770,25274,24496,48114,24199,23915,1656,1075,581,5605,3766,1839,5225,3609,1616,380,157,223,850,223,627,850,223,627,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,29877,17147,12730,28784,16413,12371,1093,734,359,15917,8155,7762,15860,8098,7762,57,57,0,12852,8272,4580,12179,7678,4501,673,594,79,1108,720,388,745,637,108,363,83,280
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,52192,26833,25359,50210,25680,24530,1982,1153,829,45226,22472,22754,43974,21709,22265,1252,763,489,6045,4051,1994,5559,3661,1898,486,390,96,921,310,611,677,310,367,244,0,244
4,Madison & Cortland Counties PUMA,37645,20415,17230,35087,19176,15911,2558,1239,1319,11432,4800,6632,11228,4691,6537,204,109,95,23822,13577,10245,21841,12773,9068,1981,804,1177,2391,2038,353,2018,1712,306,373,326,47
5,Ontario & Yates Counties PUMA,45204,23877,21327,42160,21864,20296,3044,2013,1031,18309,7792,10517,17879,7586,10293,430,206,224,24795,14382,10413,22672,13066,9606,2123,1316,807,2100,1703,397,1609,1212,397,491,491,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,40157,20958,19199,37879,19543,18336,2278,1415,863,15697,7777,7920,15274,7354,7920,423,423,0,23009,12403,10606,21294,11551,9743,1715,852,863,1451,778,673,1311,638,673,140,140,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,25459,14576,10883,25449,14576,10873,10,0,10,17507,9286,8221,17507,9286,8221,0,0,0,7506,4993,2513,7496,4993,2503,10,0,10,446,297,149,446,297,149,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",50951,28988,21963,47130,26284,20846,3821,2704,1117,16148,6611,9537,15365,6001,9364,783,610,173,33002,20967,12035,30520,19393,11127,2482,1574,908,1801,1410,391,1245,890,355,556,520,36
9,NYC-Manhattan Community District 8--Upper East Side PUMA,70642,32807,37835,69368,32073,37295,1274,734,540,65474,30301,35173,64631,29791,34840,843,510,333,4908,2357,2551,4477,2133,2344,431,224,207,260,149,111,260,149,111,0,0,0
