,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,5228535,2387193,1102155,1285038,2597422,1348929,1248493,243920,149958,93962
1,Monroe County (Central)--Rochester City (East) PUMA,28801,16902,8348,8554,11071,5990,5081,828,567,261
2,NYC-Brooklyn Community District 4--Bushwick PUMA,19715,14380,8124,6256,4724,3037,1687,611,83,528
3,NYC-Manhattan Community District 10--Central Harlem PUMA,13823,11642,5956,5686,1967,876,1091,214,83,131
4,Ontario & Yates Counties PUMA,61680,23319,10443,12876,34575,17562,17013,3786,2403,1383
5,Albany County (Outside Albany City) PUMA,81763,35516,15890,19626,43452,21623,21829,2795,1926,869
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",49550,14153,6144,8009,31726,16028,15698,3671,2317,1354
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,18606,6603,3010,3593,10760,4951,5809,1243,631,612
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",30457,18273,9466,8807,11335,6650,4685,849,544,305
9,Warren & Washington Counties PUMA,62364,16405,6696,9709,41400,21628,19772,4559,2557,2002
10,Erie County (North Central) PUMA,43699,27243,12852,14391,15497,8528,6969,959,343,616
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",50890,43108,25850,17258,7153,4983,2170,629,487,142
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,45593,23842,10799,13043,20604,11724,8880,1147,819,328
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,36999,14441,5795,8646,22128,11115,11013,430,386,44
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,2076,930,543,387,1115,527,588,31,13,18
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,38101,33464,16220,17244,3860,2365,1495,777,334,443
16,Onondaga County (Central)--Syracuse City PUMA,30958,12063,6037,6026,17398,7566,9832,1497,834,663
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,31726,14276,6397,7879,16692,8349,8343,758,539,219
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,26693,17422,8941,8481,8751,4537,4214,520,520,0
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",19555,15889,8177,7712,2821,2044,777,845,485,360
20,Monroe County (Central)--Rochester City (West) PUMA,18658,4998,1900,3098,11499,6513,4986,2161,1322,839
21,"Chenango, Delaware & Broome (East) Counties PUMA",50273,10443,3904,6539,35250,18812,16438,4580,2868,1712
22,Dutchess County (North & East) PUMA,49586,18721,8174,10547,29032,15021,14011,1833,1201,632
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,25548,13892,6132,7760,10697,5858,4839,959,474,485
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,49691,35474,17885,17589,11316,6181,5135,2901,1543,1358
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,16638,6597,2986,3611,9420,4762,4658,621,439,182
26,Westchester County (Southeast) PUMA,28971,23535,11402,12133,5013,3107,1906,423,166,257
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,6803,2165,1071,1094,4476,2505,1971,162,103,59
28,Westchester County (Northwest) PUMA,39529,23670,9985,13685,14904,8488,6416,955,706,249
29,Monroe County (South) PUMA,68485,40445,19316,21129,26487,13378,13109,1553,1104,449
30,Rockland County (North)--New City & Congers PUMA,27329,16115,6025,10090,10663,6182,4481,551,431,120
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",2657,866,372,494,1353,552,801,438,373,65
32,Orange County (Southeast) PUMA,44096,19079,8705,10374,22841,12116,10725,2176,1214,962
33,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",894,196,89,107,515,173,342,183,117,66
34,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,35466,24304,11469,12835,10716,5280,5436,446,336,110
35,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",21826,5382,2684,2698,13068,6166,6902,3376,1810,1566
36,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,22134,16272,8479,7793,5133,3435,1698,729,597,132
37,Suffolk County (Northwest)--Huntington Town (South) PUMA,37611,19898,10232,9666,17446,8437,9009,267,134,133
38,Westchester County (Southwest)--Yonkers City PUMA,30859,15428,6104,9324,12824,6729,6095,2607,1668,939
39,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",53545,48939,23912,25027,4487,2825,1662,119,119,0
40,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,20084,12939,6031,6908,6427,3740,2687,718,588,130
41,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,10058,4843,2745,2098,4907,2025,2882,308,127,181
42,Erie County (West Central)--Buffalo City (West) PUMA,36830,19979,10208,9771,15434,8835,6599,1417,1147,270
43,Fulton & Montgomery Counties PUMA,47210,9577,3976,5601,32168,16268,15900,5465,3056,2409
44,Westchester County (Central)--White Plains City PUMA,41576,32797,15675,17122,8071,4427,3644,708,339,369
45,St. Lawrence County PUMA,47874,11729,4991,6738,32469,17162,15307,3676,1968,1708
46,Saratoga County (South & Central) PUMA,49533,24967,11698,13269,23797,12917,10880,769,403,366
47,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,45870,14328,7149,7179,29994,16045,13949,1548,920,628
48,Suffolk County (North Central)--Brookhaven Town (North) PUMA,41519,20173,9091,11082,20096,10434,9662,1250,1142,108
49,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,45105,11609,5201,6408,31380,16158,15222,2116,1329,787
50,Suffolk County (Central)--Islip Town (East) PUMA,38707,17286,8019,9267,20658,10795,9863,763,197,566
51,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",12940,9144,4021,5123,3495,1667,1828,301,301,0
52,Westchester County (Northeast) PUMA,50455,34870,15871,18999,14978,8566,6412,607,56,551
53,Chautauqua County PUMA,56748,12689,5159,7530,39893,20612,19281,4166,2364,1802
54,Erie County (West Central)--Buffalo City (East) PUMA,26569,7671,4058,3613,17242,7948,9294,1656,809,847
