,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
0,Total Geo,0.05665038981933238,-0.08244725803160245,0.029944644440666034,-0.0237765809020107,0.15964739244145795,-0.23628285155406253,-0.06775359652398535,-0.023431122901457813,0.044731923719012856,-0.14607966775273662,0.08294125736987311,-0.20670110773378697,0.21180205092117668,-0.62116669060226,0.2480411079866636,-0.05520444658457963,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C-,C
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,-1.157080534113486,0.4607060226653637,-0.3473451878509493,0.41448111381827,0.21546471681059298,0.04532221913791428,-0.269792175699504,-0.09117768931882833,#DIV/0!,#DIV/0!,0.6399198091164539,#DIV/0!,0.8668973151079481,0.01643713347817086,-1.4681261961686136,#DIV/0!,D,B-,C-,B-,C,C,C-,C,#DIV!0,#DIV!0,B-,#DIV!0,D-,B,C,#DIV!0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.017068102259000843,-0.45306785166223185,0.12659001891426414,0.40819389562726355,#DIV/0!,0.07256369799764943,-0.49831531628431375,#DIV/0!,-0.1472152622336952,0.3244831355221078,0.5765330859626703,0.022009767820062212,0.2959113763252092,0.1897438047175207,0.17200189117920006,0.20478111418472497,C,C-,C,B-,#DIV!0,C,C-,#DIV!0,C,B-,B-,C,C,B-,C,C
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.10400578026185917,0.03401292115755063,-0.4217891813078447,-0.7510396122615138,0.37433774094705524,-0.04843434844162735,0.2605136533679646,-0.06405614946807947,#DIV/0!,-0.1764314347433633,0.359298737484989,#DIV/0!,0.33966852360585476,-1.0316067566068072,-0.589141939260908,#DIV/0!,C,C,C-,D,B-,C,B-,C,#DIV!0,C,B-,#DIV!0,C-,B-,D,#DIV!0
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.9436093031998911,#DIV/0!,#DIV/0!,#DIV/0!,0.6399198091164539,#DIV/0!,#DIV/0!,1.1663332780527462,-1.4681261961686136,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,D,#DIV!0,#DIV!0,#DIV!0,B-,#DIV!0,D-,#DIV!0,B,#DIV!0
5,Ontario & Yates Counties PUMA,0.28601513073241436,-2.6096965594255437,0.6504405715510352,0.41448111381827,#DIV/0!,0.551982645134381,0.19447142381001045,#DIV/0!,0.29020350350596613,-1.9423469655348464,-0.9497449498319642,#DIV/0!,#DIV/0!,0.9328550389799417,-1.4681261961686136,#DIV/0!,B-,E,B-,B-,#DIV!0,B-,C,#DIV!0,B-,E,D,#DIV!0,D-,#DIV!0,B,#DIV!0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.28601513073241436,-3.344974402396395,-1.8891721250838562,#DIV/0!,0.548298746468652,-1.40733420877083,-0.9436093031998911,#DIV/0!,0.29020350350596613,0.4646296155508488,-1.286166739661496,-4.053406736526311,-1.3708191499756057,0.05425040621829106,-0.6081521506315166,-0.9299230359314034,B-,E,E,#DIV!0,B-,D-,D,#DIV!0,B-,B-,D-,E,C-,D-,C,D
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.28601513073241436,-0.015851801670832465,0.391079454367193,0.41448111381827,0.548298746468652,0.22166639231168037,-0.07274772930822597,0.2532773295313073,0.015325857382748807,0.02647987877662619,0.6399198091164539,#DIV/0!,0.32221908213243916,-0.22663931531131448,0.7501357642802423,#DIV/0!,B-,C,B-,B-,B-,C,C,B-,C,C,B-,#DIV!0,B,B-,C,#DIV!0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,0.6504405715510352,#DIV/0!,#DIV/0!,0.6122604098772456,-0.9436093031998911,#DIV/0!,-0.13182194013361437,-1.9423469655348464,-0.44102352693778224,#DIV/0!,-0.5910080867006371,0.7724831953374559,-1.4681261961686136,#DIV/0!,#DIV!0,#DIV!0,B-,#DIV!0,#DIV!0,B-,D,#DIV!0,C,E,C-,#DIV!0,D-,C-,B,#DIV!0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.28601513073241436,-0.23800354220780764,0.08772098113957762,0.31338109213434917,0.18124564332892076,-0.8392390413839286,-0.3759570354552842,-0.08354811024453691,#DIV/0!,-0.4090888374594201,-0.03414435983682572,#DIV/0!,#DIV/0!,-0.7316690354100982,-0.6962202711601794,#DIV/0!,B-,C,C,B-,C,D,C-,C,#DIV!0,C-,C,#DIV!0,C-,#DIV!0,C-,#DIV!0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.28601513073241436,-0.12646307683751215,#DIV/0!,#DIV/0!,#DIV/0!,-0.49601191277468404,-0.17560599458027448,#DIV/0!,0.29020350350596613,0.502349331567013,0.6399198091164539,#DIV/0!,#DIV/0!,0.6956545052331078,-0.9754069372895204,#DIV/0!,B-,C,#DIV!0,#DIV!0,#DIV!0,C-,C,#DIV!0,B-,B-,B-,#DIV!0,D,#DIV!0,B-,#DIV!0
11,Erie County (Northwest) PUMA,0.28601513073241436,0.572278551523651,0.6207456072300578,#DIV/0!,0.548298746468652,-0.9525954737839738,-0.04997512229665997,#DIV/0!,#DIV/0!,#DIV/0!,0.6399198091164539,#DIV/0!,#DIV/0!,1.0864523632919034,-1.4681261961686136,#DIV/0!,B-,B-,B-,#DIV!0,B-,D,C,#DIV!0,#DIV!0,#DIV!0,B-,#DIV!0,D-,#DIV!0,B,#DIV!0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.09887160097113132,0.22219896647919007,0.13021934667708507,#DIV/0!,0.460370747477963,-0.17370371983122165,0.21234723313583995,#DIV/0!,#DIV/0!,0.24718009456886564,0.03358775152064014,#DIV/0!,0.7301270129348817,-0.10667617303554254,-0.17104945719442516,#DIV/0!,C,C,C,#DIV!0,B-,C,C,#DIV!0,#DIV!0,C,C,#DIV!0,C,B-,C,#DIV!0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.3867296671247645,0.4774115368264315,0.27222238011440275,0.6527944854737682,4.804027497672586,1.9231361436527195,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C-,B-,B-,A,B-,A,#DIV!0
14,Rockland County (North)--New City & Congers PUMA,-0.04187574340426235,0.018029431418480485,0.6504405715510352,#DIV/0!,0.548298746468652,0.10611958726244627,-0.05624200962934021,#DIV/0!,0.20333946698224495,0.1303422252664098,-0.03700033195280349,0.08672824118773503,0.6912251909126335,-0.48484734352221465,0.4269855497880722,0.1452532855231539,C,C,B-,#DIV!0,B-,C,C,#DIV!0,C,C,C,C,B-,B-,C-,C
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.28601513073241436,0.30602992779665245,-0.33863925697673164,-1.2665855446821688,-1.0562945148864649,-0.6125728410528123,-0.3304116342472693,-0.43035124761662574,0.29020350350596613,0.5260740255822166,-1.6368844240299625,-5.19013304699032,#DIV/0!,0.9565100204524697,-0.14023154970189833,#DIV/0!,B-,B-,C-,D-,D,C-,C-,C-,B-,B-,D-,E,C,#DIV!0,B,#DIV!0
