,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
121,Broome (Outer West) & Tioga Counties PUMA,#DIV/0!,0.25045174002518966,#DIV/0!,#DIV/0!,#DIV/0!,1.1621715051148942,-0.8189850039310379,#DIV/0!,#DIV/0!,-1.0116213095921085,#DIV/0!,#DIV/0!,#DIV/0!,-0.2391766620425444,0.8480109735563911,#DIV/0!,#DIV!0,B-,#DIV!0,#DIV!0,#DIV!0,B,D,#DIV!0,#DIV!0,D,#DIV!0,#DIV!0,B,#DIV!0,C,#DIV!0
122,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",#DIV/0!,0.3430877259868226,0.30959577941263894,0.011393896371500688,#DIV/0!,-0.16890363323020252,-0.5125178609676255,#DIV/0!,0.5861824713690089,0.6404376534677072,-4.838895975260515,-3.9469565184661044,#DIV/0!,0.1464952008363499,-0.22884717427684,#DIV/0!,#DIV!0,B-,B-,C,#DIV!0,C,C-,#DIV!0,B-,B-,E,E,C,#DIV!0,C,#DIV!0
123,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",#DIV/0!,0.034546320342947114,0.23258277777357547,#DIV/0!,0.7727554619121574,#DIV/0!,-0.26880462615447387,#DIV/0!,0.5434104042117723,0.36904523920507054,0.25869178654765096,-0.5945269105295586,0.5936641468471696,-0.44561029383289397,0.1958880363918707,0.13150891554872596,#DIV!0,C,C,#DIV!0,B,#DIV!0,C-,#DIV!0,B-,B-,B-,C-,C,B-,C-,C
124,Orange County (Northeast)--Greater Newburgh City PUMA,#DIV/0!,-1.3413509490672737,#DIV/0!,#DIV/0!,#DIV/0!,0.5722556264272237,1.3897480965133184,#DIV/0!,#DIV/0!,-0.23670035002681697,-1.7219923524896752,-5.538883029159655,#DIV/0!,-0.4574755940443618,0.0425850093472864,#DIV/0!,#DIV!0,D-,#DIV!0,#DIV!0,#DIV!0,B-,A-,#DIV!0,#DIV!0,C,D-,E,C,#DIV!0,C-,#DIV!0
125,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",-1.597432364469513,0.38472632846320054,0.38738492463730606,0.528207476505601,0.13255972986866765,-0.5387787848913655,-0.55830850035447,-0.18023445574865335,0.3610118636182618,-0.3089733385338376,#DIV/0!,#DIV/0!,#DIV/0!,-0.13805693282963347,-0.3816260020036929,#DIV/0!,D-,B-,B-,B-,C,C-,C-,C,B-,C-,#DIV!0,#DIV!0,C-,#DIV!0,C,#DIV!0
126,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,0.1745663438608118,-0.14189403262003494,-0.8118961189273645,#DIV/0!,0.05729411987210506,-0.034021073219288336,-0.019486067423603523,#DIV/0!,-0.8837404421489958,0.048698919827136616,0.22623022918243108,-0.4501242070673728,-1.712196582909619,-0.18229079368895457,-1.013007869998152,-0.5666329638290752,C,C,D,#DIV!0,C,C,C,#DIV!0,D,C,C,C-,D,D-,C,C-
127,Onondaga County (North) PUMA,0.5663050049460221,-0.2726446264149227,#DIV/0!,#DIV/0!,#DIV/0!,0.089512526060435,-0.5934245059254282,#DIV/0!,0.5861824713690089,0.45285241714482155,#DIV/0!,#DIV/0!,#DIV/0!,-0.5439862741937788,-0.41214495348780106,#DIV/0!,B-,C-,#DIV!0,#DIV!0,#DIV!0,C,C-,#DIV!0,B-,B-,#DIV!0,#DIV!0,C-,#DIV!0,C-,#DIV!0
128,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,0.5663050049460221,-0.39897350930363606,0.8133131055163836,0.528207476505601,1.1686535498630757,0.022715458533504297,-0.06846988519415903,0.3759644572666844,#DIV/0!,-0.17754146261929887,-4.87770625608475,#DIV/0!,-0.9897283183656035,-0.17775739846442418,-0.2607986363319178,#DIV/0!,B-,C-,B,B-,B,C,C,B-,#DIV!0,C,E,#DIV!0,C-,D,C,#DIV!0
129,Monroe County (North & West) PUMA,#DIV/0!,0.07127801386563525,#DIV/0!,#DIV/0!,#DIV/0!,0.25438802013414413,-0.46694023873305096,#DIV/0!,#DIV/0!,1.170758608920676,#DIV/0!,#DIV/0!,#DIV/0!,-0.2391766620425444,0.5626028451254294,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,B-,C-,#DIV!0,#DIV!0,B,#DIV!0,#DIV!0,B-,#DIV!0,C,#DIV!0
130,Sullivan & Ulster (West) Counties PUMA,#DIV/0!,1.690575591085294,#DIV/0!,#DIV/0!,#DIV/0!,-0.6650736434280874,0.6909654900956623,#DIV/0!,0.5861824713690089,-1.3423183564169652,-4.228301092321818,#DIV/0!,#DIV/0!,-0.012440895830772255,-0.9817004324600209,#DIV/0!,#DIV!0,A-,#DIV!0,#DIV!0,#DIV!0,C-,B-,#DIV!0,B-,D-,E,#DIV!0,D,#DIV!0,C,#DIV!0
131,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,#DIV/0!,-0.3143707498948695,#DIV/0!,#DIV/0!,#DIV/0!,-0.5305113566562148,-0.40849837210172235,#DIV/0!,0.5861824713690089,-0.7092877407164497,#DIV/0!,#DIV/0!,#DIV/0!,-0.013809443665799753,-0.5827068804450399,#DIV/0!,#DIV!0,C-,#DIV!0,#DIV!0,#DIV!0,C-,C-,#DIV!0,B-,C-,#DIV!0,#DIV!0,C-,#DIV!0,C,#DIV!0
132,Suffolk County (Northwest)--Huntington Town (North) PUMA,0.5663050049460221,-0.7180392764191414,-1.63536360912436,#DIV/0!,#DIV/0!,0.629297230895089,-0.7848850496065785,#DIV/0!,0.5861824713690089,0.3556742146482218,-0.012111050949931422,-0.9865651914438285,#DIV/0!,-0.2555480371822238,0.8736019238133935,#DIV/0!,B-,C-,D-,#DIV!0,#DIV!0,B-,D,#DIV!0,B-,B-,C,D,B,#DIV!0,C-,#DIV!0
