,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,812431,467415,345016,685920,382924,302996,126511,84491,42020,328017,174470,153547,305456,158993,146463,22561,15477,7084,373442,215374,158068,308605,174755,133850,64837,40619,24218,110972,77571,33401,71859,49176,22683,39113,28395,10718
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",5052,1643,3409,5052,1643,3409,0,0,0,4554,1643,2911,4554,1643,2911,0,0,0,498,0,498,498,0,498,0,0,0,0,0,0,0,0,0,0,0,0
2,Tompkins County PUMA,1711,944,767,1604,837,767,107,107,0,1360,593,767,1328,561,767,32,32,0,351,351,0,276,276,0,75,75,0,0,0,0,0,0,0,0,0,0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,9953,5405,4548,9009,4461,4548,944,944,0,2676,1245,1431,2676,1245,1431,0,0,0,5488,3107,2381,4671,2290,2381,817,817,0,1789,1053,736,1662,926,736,127,127,0
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",29284,16719,12565,25248,14759,10489,4036,1960,2076,11523,6597,4926,10671,6053,4618,852,544,308,15809,9011,6798,13226,7813,5413,2583,1198,1385,1952,1111,841,1351,893,458,601,218,383
5,Madison & Cortland Counties PUMA,82,39,43,43,0,43,39,39,0,0,0,0,0,0,0,0,0,0,82,39,43,43,0,43,39,39,0,0,0,0,0,0,0,0,0,0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,10253,5273,4980,7400,3794,3606,2853,1479,1374,1829,646,1183,1768,585,1183,61,61,0,6622,3290,3332,4167,2122,2045,2455,1168,1287,1802,1337,465,1465,1087,378,337,250,87
7,Dutchess County (Southwest) PUMA,5065,2836,2229,4257,2028,2229,808,808,0,3341,1524,1817,3341,1524,1817,0,0,0,1133,721,412,916,504,412,217,217,0,591,591,0,0,0,0,591,591,0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",10561,5923,4638,7723,4281,3442,2838,1642,1196,2004,708,1296,1766,606,1160,238,102,136,7354,4332,3022,5464,3250,2214,1890,1082,808,1203,883,320,493,425,68,710,458,252
9,Dutchess County (North & East) PUMA,2572,1185,1387,2095,708,1387,477,477,0,697,185,512,697,185,512,0,0,0,1300,653,647,1064,417,647,236,236,0,575,347,228,334,106,228,241,241,0
