,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,1187296,596022,591274,892102,447985,444117,295194,148037,147157,444436,213620,230816,382419,181642,200777,62017,31978,30039,563459,278867,284592,408132,208424,199708,155327,70443,84884,179401,103535,75866,101551,57919,43632,77850,45616,32234
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",8159,2762,5397,6296,1643,4653,1863,1119,744,6773,2762,4011,5580,1643,3937,1193,1119,74,1055,0,1055,716,0,716,339,0,339,331,0,331,0,0,0,331,0,331
2,Tompkins County PUMA,5099,1957,3142,3755,1182,2573,1344,775,569,3868,1210,2658,2820,669,2151,1048,541,507,1231,747,484,935,513,422,296,234,62,0,0,0,0,0,0,0,0,0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,13597,6166,7431,11104,4765,6339,2493,1401,1092,4032,1468,2564,3337,1245,2092,695,223,472,7562,3645,3917,5891,2594,3297,1671,1051,620,2003,1053,950,1876,926,950,127,127,0
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",42169,19901,22268,32036,15982,16054,10133,3919,6214,14164,6897,7267,12696,6353,6343,1468,544,924,24252,11341,12911,17180,8606,8574,7072,2735,4337,3753,1663,2090,2160,1023,1137,1593,640,953
5,Madison & Cortland Counties PUMA,82,39,43,43,0,43,39,39,0,0,0,0,0,0,0,0,0,0,82,39,43,43,0,43,39,39,0,0,0,0,0,0,0,0,0,0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,15532,7389,8143,9608,4678,4930,5924,2711,3213,2439,1108,1331,2110,779,1331,329,329,0,9617,3931,5686,5062,2254,2808,4555,1677,2878,3476,2350,1126,2436,1645,791,1040,705,335
7,Dutchess County (Southwest) PUMA,7824,4065,3759,5356,2309,3047,2468,1756,712,4266,1960,2306,3905,1805,2100,361,155,206,2561,1433,1128,1213,504,709,1348,929,419,997,672,325,238,0,238,759,672,87
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",17541,7814,9727,9760,5101,4659,7781,2713,5068,2701,1005,1696,2193,794,1399,508,211,297,11838,5320,6518,6820,3789,3031,5018,1531,3487,3002,1489,1513,747,518,229,2255,971,1284
9,Dutchess County (North & East) PUMA,3676,1676,2000,2356,708,1648,1320,968,352,937,185,752,839,185,654,98,0,98,1955,935,1020,1183,417,766,772,518,254,784,556,228,334,106,228,450,450,0
