,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,2957.0,1294.0,1663.0,934.0,357.0,577.0,2023.0,937.0,1086.0,611.0,237.0,374.0,307.0,65.0,242.0,304.0,172.0,132.0,1980.0,691.0,1289.0,627.0,292.0,335.0,1353.0,399.0,954.0,366.0,366.0,0.0,0.0,0.0,0.0,366.0,366.0,0.0
24,Ontario & Yates Counties PUMA,255.0,101.0,154.0,255.0,101.0,154.0,0.0,0.0,0.0,55.0,0.0,55.0,55.0,0.0,55.0,0.0,0.0,0.0,200.0,101.0,99.0,200.0,101.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",8386.0,3222.0,5164.0,7134.0,2766.0,4368.0,1252.0,456.0,796.0,2964.0,764.0,2200.0,2964.0,764.0,2200.0,0.0,0.0,0.0,4098.0,1887.0,2211.0,3031.0,1554.0,1477.0,1067.0,333.0,734.0,1324.0,571.0,753.0,1139.0,448.0,691.0,185.0,123.0,62.0
26,Erie County (Northwest) PUMA,1374.0,732.0,642.0,1240.0,732.0,508.0,134.0,0.0,134.0,458.0,126.0,332.0,324.0,126.0,198.0,134.0,0.0,134.0,916.0,606.0,310.0,916.0,606.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,14351.0,8282.0,6069.0,11040.0,6143.0,4897.0,3311.0,2139.0,1172.0,3798.0,1981.0,1817.0,3158.0,1341.0,1817.0,640.0,640.0,0.0,6897.0,4204.0,2693.0,5513.0,3342.0,2171.0,1384.0,862.0,522.0,3656.0,2097.0,1559.0,2369.0,1460.0,909.0,1287.0,637.0,650.0
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",4895.0,2346.0,2549.0,3483.0,1631.0,1852.0,1412.0,715.0,697.0,750.0,518.0,232.0,538.0,480.0,58.0,212.0,38.0,174.0,3459.0,1469.0,1990.0,2530.0,1011.0,1519.0,929.0,458.0,471.0,686.0,359.0,327.0,415.0,140.0,275.0,271.0,219.0,52.0
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",7855.0,3955.0,3900.0,4969.0,2200.0,2769.0,2886.0,1755.0,1131.0,6440.0,3007.0,3433.0,4683.0,2161.0,2522.0,1757.0,846.0,911.0,383.0,39.0,344.0,163.0,39.0,124.0,220.0,0.0,220.0,1032.0,909.0,123.0,123.0,0.0,123.0,909.0,909.0,0.0
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",19247.0,9176.0,10071.0,13948.0,7390.0,6558.0,5299.0,1786.0,3513.0,5128.0,2625.0,2503.0,4156.0,2089.0,2067.0,972.0,536.0,436.0,9466.0,5176.0,4290.0,7258.0,4296.0,2962.0,2208.0,880.0,1328.0,4653.0,1375.0,3278.0,2534.0,1005.0,1529.0,2119.0,370.0,1749.0
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,18909.0,10621.0,8288.0,13160.0,8027.0,5133.0,5749.0,2594.0,3155.0,7792.0,3914.0,3878.0,5707.0,2876.0,2831.0,2085.0,1038.0,1047.0,8248.0,4930.0,3318.0,5317.0,3878.0,1439.0,2931.0,1052.0,1879.0,2869.0,1777.0,1092.0,2136.0,1273.0,863.0,733.0,504.0,229.0
32,Erie County (West Central)--Buffalo City (West) PUMA,3215.0,1707.0,1508.0,2575.0,1249.0,1326.0,640.0,458.0,182.0,1255.0,923.0,332.0,1045.0,713.0,332.0,210.0,210.0,0.0,1400.0,597.0,803.0,1339.0,536.0,803.0,61.0,61.0,0.0,560.0,187.0,373.0,191.0,0.0,191.0,369.0,187.0,182.0
33,Schenectady County--Schenectady City PUMA,978.0,889.0,89.0,703.0,703.0,0.0,275.0,186.0,89.0,390.0,301.0,89.0,209.0,209.0,0.0,181.0,92.0,89.0,94.0,94.0,0.0,0.0,0.0,0.0,94.0,94.0,0.0,494.0,494.0,0.0,494.0,494.0,0.0,0.0,0.0,0.0
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4092.0,1707.0,2385.0,2986.0,1235.0,1751.0,1106.0,472.0,634.0,2291.0,804.0,1487.0,1832.0,749.0,1083.0,459.0,55.0,404.0,1358.0,903.0,455.0,849.0,486.0,363.0,509.0,417.0,92.0,443.0,0.0,443.0,305.0,0.0,305.0,138.0,0.0,138.0
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
