,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,326078.0,171739.0,154339.0,89343.0,49241.0,40102.0,236735.0,122498.0,114237.0,53870.0,20357.0,33513.0,19087.0,8202.0,10885.0,34783.0,12155.0,22628.0,188194.0,97041.0,91153.0,54034.0,29439.0,24595.0,134160.0,67602.0,66558.0,84014.0,54341.0,29673.0,16222.0,11600.0,4622.0,67792.0,42741.0,25051.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,188.0,188.0,0.0,188.0,188.0,0.0,0.0,0.0,0.0,188.0,188.0,0.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1865.0,754.0,1111.0,1825.0,754.0,1071.0,40.0,0.0,40.0,156.0,94.0,62.0,156.0,94.0,62.0,0.0,0.0,0.0,1709.0,660.0,1049.0,1669.0,660.0,1009.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,959.0,75.0,884.0,0.0,0.0,0.0,959.0,75.0,884.0,134.0,75.0,59.0,0.0,0.0,0.0,134.0,75.0,59.0,344.0,0.0,344.0,0.0,0.0,0.0,344.0,0.0,344.0,481.0,0.0,481.0,0.0,0.0,0.0,481.0,0.0,481.0
4,Madison & Cortland Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,405.0,125.0,280.0,196.0,125.0,71.0,209.0,0.0,209.0,61.0,61.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,273.0,64.0,209.0,64.0,64.0,0.0,209.0,0.0,209.0,71.0,0.0,71.0,71.0,0.0,71.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",235.0,53.0,182.0,182.0,0.0,182.0,53.0,53.0,0.0,89.0,0.0,89.0,89.0,0.0,89.0,0.0,0.0,0.0,93.0,0.0,93.0,93.0,0.0,93.0,0.0,0.0,0.0,53.0,53.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,1501.0,950.0,551.0,428.0,264.0,164.0,1073.0,686.0,387.0,716.0,479.0,237.0,0.0,0.0,0.0,716.0,479.0,237.0,521.0,207.0,314.0,164.0,0.0,164.0,357.0,207.0,150.0,264.0,264.0,0.0,264.0,264.0,0.0,0.0,0.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,1748.0,672.0,1076.0,126.0,63.0,63.0,1622.0,609.0,1013.0,672.0,672.0,0.0,63.0,63.0,0.0,609.0,609.0,0.0,63.0,0.0,63.0,63.0,0.0,63.0,0.0,0.0,0.0,1013.0,0.0,1013.0,0.0,0.0,0.0,1013.0,0.0,1013.0
11,Erie County (Northwest) PUMA,223.0,223.0,0.0,223.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,223.0,0.0,223.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",5780.0,2913.0,2867.0,1860.0,1162.0,698.0,3920.0,1751.0,2169.0,1819.0,585.0,1234.0,189.0,131.0,58.0,1630.0,454.0,1176.0,1888.0,781.0,1107.0,1043.0,569.0,474.0,845.0,212.0,633.0,2073.0,1547.0,526.0,628.0,462.0,166.0,1445.0,1085.0,360.0
