,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
27,St. Lawrence County PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",8400,5148,3252,8244,4992,3252,156,156,0,1602,1039,563,1602,1039,563,0,0,0,3859,2205,1654,3703,2049,1654,156,156,0,2939,1904,1035,2939,1904,1035,0,0,0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,639,339,300,639,339,300,0,0,0,207,0,207,207,0,207,0,0,0,244,151,93,244,151,93,0,0,0,188,188,0,188,188,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,2800,1751,1049,2789,1740,1049,11,11,0,694,505,189,683,494,189,11,11,0,2106,1246,860,2106,1246,860,0,0,0,0,0,0,0,0,0,0,0,0
31,Cayuga & Onondaga (South) Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,257,88,169,257,88,169,0,0,0,88,88,0,88,88,0,0,0,0,169,0,169,169,0,169,0,0,0,0,0,0,0,0,0,0,0,0
33,Fulton & Montgomery Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,134,42,92,134,42,92,0,0,0,134,42,92,134,42,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,358,358,0,358,358,0,0,0,0,0,0,0,0,0,0,0,0,0,358,358,0,358,358,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,581,581,0,581,581,0,0,0,0,0,0,0,0,0,0,0,0,0,333,333,0,333,333,0,0,0,0,248,248,0,248,248,0,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",6278,3114,3164,5826,2662,3164,452,452,0,1135,494,641,1135,494,641,0,0,0,3247,1784,1463,3247,1784,1463,0,0,0,1896,836,1060,1444,384,1060,452,452,0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,7770,5469,2301,7615,5314,2301,155,155,0,1095,591,504,1095,591,504,0,0,0,5230,3836,1394,5075,3681,1394,155,155,0,1445,1042,403,1445,1042,403,0,0,0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",748,143,605,748,143,605,0,0,0,748,143,605,748,143,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Suffolk County (Central)--Islip Town (East) PUMA,83,83,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1147,394,753,1032,335,697,115,59,56,0,0,0,0,0,0,0,0,0,949,252,697,949,252,697,0,0,0,198,142,56,83,83,0,115,59,56
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",4431,2785,1646,4431,2785,1646,0,0,0,941,176,765,941,176,765,0,0,0,2194,1313,881,2194,1313,881,0,0,0,1296,1296,0,1296,1296,0,0,0,0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,17699,11018,6681,17001,11018,5983,698,0,698,1234,415,819,1234,415,819,0,0,0,12941,7654,5287,12379,7654,4725,562,0,562,3524,2949,575,3388,2949,439,136,0,136
45,Saratoga County (Outer) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
