,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
27,St. Lawrence County PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",8400,5148,3252,7892,5148,2744,508,0,508,1602,1039,563,1326,1039,287,276,0,276,3859,2205,1654,3786,2205,1581,73,0,73,2939,1904,1035,2780,1904,876,159,0,159
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,639,339,300,546,339,207,93,0,93,207,0,207,207,0,207,0,0,0,244,151,93,151,151,0,93,0,93,188,188,0,188,188,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,3068,1751,1317,1808,1117,691,1260,634,626,694,505,189,402,213,189,292,292,0,2106,1246,860,1138,904,234,968,342,626,268,0,268,268,0,268,0,0,0
31,Cayuga & Onondaga (South) Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,257,88,169,152,88,64,105,0,105,88,88,0,88,88,0,0,0,0,169,0,169,64,0,64,105,0,105,0,0,0,0,0,0,0,0,0
33,Fulton & Montgomery Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,134,42,92,134,42,92,0,0,0,134,42,92,134,42,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,128,0,128,0,0,0,128,0,128,0,0,0,0,0,0,0,0,0,128,0,128,0,0,0,128,0,128,0,0,0,0,0,0,0,0,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,358,358,0,358,358,0,0,0,0,0,0,0,0,0,0,0,0,0,358,358,0,358,358,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,581,581,0,581,581,0,0,0,0,0,0,0,0,0,0,0,0,0,333,333,0,333,333,0,0,0,0,248,248,0,248,248,0,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",6752,3294,3458,5845,3294,2551,907,0,907,1429,494,935,1429,494,935,0,0,0,3427,1964,1463,2693,1964,729,734,0,734,1896,836,1060,1723,836,887,173,0,173
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,7770,5469,2301,5905,4477,1428,1865,992,873,1095,591,504,745,369,376,350,222,128,5230,3836,1394,4375,3470,905,855,366,489,1445,1042,403,785,638,147,660,404,256
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",865,143,722,584,143,441,281,0,281,865,143,722,584,143,441,281,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Suffolk County (Central)--Islip Town (East) PUMA,83,83,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1180,335,845,694,335,359,486,0,486,0,0,0,0,0,0,0,0,0,1097,252,845,611,252,359,486,0,486,83,83,0,83,83,0,0,0,0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",4431,2785,1646,3961,2608,1353,470,177,293,941,176,765,941,176,765,0,0,0,2194,1313,881,1901,1313,588,293,0,293,1296,1296,0,1119,1119,0,177,177,0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,17526,11018,6508,15652,10352,5300,1874,666,1208,1234,415,819,1105,415,690,129,0,129,12904,7654,5250,11428,7191,4237,1476,463,1013,3388,2949,439,3119,2746,373,269,203,66
45,Saratoga County (Outer) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",3342,1872,1470,3210,1740,1470,132,132,0,569,174,395,569,174,395,0,0,0,2065,990,1075,1933,858,1075,132,132,0,708,708,0,708,708,0,0,0,0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",1111,679,432,829,584,245,282,95,187,159,95,64,0,0,0,159,95,64,656,288,368,533,288,245,123,0,123,296,296,0,296,296,0,0,0,0
48,Wayne & Seneca Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Schenectady County--Schenectady City PUMA,346,0,346,278,0,278,68,0,68,346,0,346,278,0,278,68,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,1296,722,574,1076,722,354,220,0,220,199,0,199,199,0,199,0,0,0,877,722,155,877,722,155,0,0,0,220,0,220,0,0,0,220,0,220
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,219,135,84,135,135,0,84,0,84,84,0,84,0,0,0,84,0,84,135,135,0,135,135,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,2620,1947,673,2001,1328,673,619,619,0,459,98,361,459,98,361,0,0,0,1477,1165,312,1477,1165,312,0,0,0,684,684,0,65,65,0,619,619,0
