,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
21,Madison & Cortland Counties PUMA,187,121,66,36470.58823529412,40000.0,30000.0,66,0,66,30000.0,0.0,30000.0,121,121,0,40000.0,40000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
22,Erie County (West Central)--Buffalo City (West) PUMA,2077,1045,1032,40738.757823784304,34491.674641148325,47064.53488372093,401,112,289,49192.01995012469,39000.0,53141.86851211073,1441,807,634,37807.35600277585,31851.05328376704,45388.95899053628,235,126,109,44289.36170212766,47396.8253968254,40697.247706422015
23,Monroe County (Central)--Rochester City (West) PUMA,954,531,423,24368.44863731656,24512.429378531073,24187.706855791963,125,125,0,39800.0,39800.0,0.0,610,241,369,21594.262295081968,15564.730290456431,25532.249322493226,219,165,54,23287.671232876713,26000.0,15000.0
24,Suffolk County (Central)--Islip Town (East) PUMA,1648,1270,378,83621.38349514564,82988.97637795276,85746.13756613756,1067,765,302,80942.86785379569,84833.98692810457,71086.22516556291,581,505,76,88540.44750430292,80194.0594059406,144000.0,0,0,0,#DIV/0!,0.0,0.0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,577,236,341,135649.91334488735,121864.40677966102,145190.61583577713,431,90,341,148742.45939675174,162200.0,145190.61583577713,146,146,0,97000.0,97000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",3804,1992,1812,44999.072029442694,47851.20481927711,41863.61479028698,412,86,326,69192.76699029126,75000.0,67660.79754601227,2894,1601,1293,45330.39046302695,50880.074953154275,38458.739365815934,498,305,193,23058.032128514056,24297.049180327867,21100.0
27,St. Lawrence County PUMA,51,30,21,50480.39215686275,65533.333333333336,28976.190476190477,8,8,0,100000.0,100000.0,0.0,43,22,21,41267.441860465115,53000.0,28976.190476190477,0,0,0,#DIV/0!,0.0,0.0
28,Columbia & Greene Counties PUMA,532,214,318,64355.075187969924,46866.35514018692,76124.21383647798,109,34,75,69931.19266055046,55000.0,76700.0,423,180,243,62918.20330969267,45330.0,75946.50205761316,0,0,0,#DIV/0!,0.0,0.0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,1721,583,1138,78122.62056943637,129781.1320754717,51657.84710017575,749,252,497,102359.14552736982,220992.0634920635,42207.243460764585,529,166,363,52451.85255198488,48026.50602409639,54475.564738292014,443,165,278,67799.09706546276,72727.27272727272,64874.10071942446
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",1576,782,794,66599.6192893401,98404.09207161126,35275.81863979849,724,689,35,96680.93922651933,98188.67924528301,67000.0,852,93,759,41037.55868544601,100000.0,33812.91172595521,0,0,0,#DIV/0!,0.0,0.0
