,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",6770,2576,4194,3221,1687,1534,3549,889,2660,412,86,326,412,86,326,0,0,0,4230,1732,2498,2259,1317,942,1971,415,1556,2128,758,1370,550,284,266,1578,474,1104
27,St. Lawrence County PUMA,109,74,35,54,33,21,55,41,14,8,8,0,8,8,0,0,0,0,87,66,21,46,25,21,41,41,0,14,0,14,0,0,0,14,0,14
28,Columbia & Greene Counties PUMA,788,378,410,532,214,318,256,164,92,160,34,126,109,34,75,51,0,51,628,344,284,423,180,243,205,164,41,0,0,0,0,0,0,0,0,0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,2838,868,1970,1814,634,1180,1024,234,790,1100,252,848,648,172,476,452,80,372,930,166,764,592,166,426,338,0,338,808,450,358,574,296,278,234,154,80
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",2354,953,1401,1424,782,642,930,171,759,724,689,35,724,689,35,0,0,0,1230,264,966,588,93,495,642,171,471,400,0,400,112,0,112,288,0,288
31,Monroe County (North & West) PUMA,1278,654,624,1112,611,501,166,43,123,87,0,87,87,0,87,0,0,0,1068,654,414,1025,611,414,43,43,0,123,0,123,0,0,0,123,0,123
32,Schenectady County--Schenectady City PUMA,838,652,186,381,381,0,457,271,186,119,119,0,119,119,0,0,0,0,641,533,108,262,262,0,379,271,108,78,0,78,0,0,0,78,0,78
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",2111,1057,1054,2111,1057,1054,0,0,0,766,483,283,766,483,283,0,0,0,1345,574,771,1345,574,771,0,0,0,0,0,0,0,0,0,0,0,0
34,Niagara County (North & East) PUMA,312,209,103,312,209,103,0,0,0,103,0,103,103,0,103,0,0,0,209,209,0,209,209,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,4576,2624,1952,3271,1833,1438,1305,791,514,1648,668,980,1648,668,980,0,0,0,2424,1452,972,1623,1165,458,801,287,514,504,504,0,0,0,0,504,504,0
