,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,3553145,1971420,1581725,3411219,1890475,1520744,141926,80945,60981,1857693,932717,924976,1824306,915328,908978,33387,17389,15998,1598011,968592,629419,1505676,916600,589076,92335,51992,40343,97441,70111,27330,81237,58547,22690,16204,11564,4640
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",14803,8243,6560,13254,7452,5802,1549,791,758,12129,6392,5737,10976,5827,5149,1153,565,588,2420,1736,684,2278,1625,653,142,111,31,254,115,139,0,0,0,254,115,139
2,Ulster County (East) PUMA,59832,30171,29661,51224,26219,25005,8608,3952,4656,19216,7854,11362,17238,7279,9959,1978,575,1403,37286,20156,17130,31876,17795,14081,5410,2361,3049,3330,2161,1169,2110,1145,965,1220,1016,204
3,Albany County (East Central)--Albany City PUMA,25982,14262,11720,21059,11111,9948,4923,3151,1772,14107,7121,6986,12721,6038,6683,1386,1083,303,10467,5998,4469,8138,4873,3265,2329,1125,1204,1408,1143,265,200,200,0,1208,943,265
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,44296,21230,23066,37289,18084,19205,7007,3146,3861,12149,6182,5967,11918,5951,5967,231,231,0,29355,12877,16478,23382,10420,12962,5973,2457,3516,2792,2171,621,1989,1713,276,803,458,345
5,Ontario & Yates Counties PUMA,59932,29474,30458,52571,25476,27095,7361,3998,3363,22521,9386,13135,22004,9230,12774,517,156,361,34354,18327,16027,28418,15075,13343,5936,3252,2684,3057,1761,1296,2149,1171,978,908,590,318
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,37689,18610,19079,35977,17779,18198,1712,831,881,16437,6403,10034,16106,6403,9703,331,0,331,20102,11291,8811,19079,10754,8325,1023,537,486,1150,916,234,792,622,170,358,294,64
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,32868,16452,16416,31545,16248,15297,1323,204,1119,20509,10484,10025,20101,10447,9654,408,37,371,11593,5687,5906,10923,5520,5403,670,167,503,766,281,485,521,281,240,245,0,245
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",74677,37370,37307,62044,31646,30398,12633,5724,6909,20698,7980,12718,19152,6917,12235,1546,1063,483,49564,27307,22257,40686,23394,17292,8878,3913,4965,4415,2083,2332,2206,1335,871,2209,748,1461
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,53544,26121,27423,41720,20775,20945,11824,5346,6478,17988,8754,9234,16733,8067,8666,1255,687,568,32545,15396,17149,23905,12137,11768,8640,3259,5381,3011,1971,1040,1082,571,511,1929,1400,529
