,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
23,Monroe County (South) PUMA,71215,35467,35748,66497,33097,33400,4718,2370,2348,41132,19450,21682,40220,18907,21313,912,543,369,27633,14228,13405,24834,13284,11550,2799,944,1855,2450,1789,661,1443,906,537,1007,883,124
24,Jefferson & Lewis Counties PUMA,61000,30871,30129,50045,26273,23772,10955,4598,6357,12815,5454,7361,11939,5182,6757,876,272,604,43298,22206,21092,35126,19002,16124,8172,3204,4968,4887,3211,1676,2980,2089,891,1907,1122,785
25,"Chenango, Delaware & Broome (East) Counties PUMA",51233,25512,25721,38357,19894,18463,12876,5618,7258,10076,3729,6347,8767,3372,5395,1309,357,952,36625,18996,17629,27116,14961,12155,9509,4035,5474,4532,2787,1745,2474,1561,913,2058,1226,832
26,Erie County (Central) PUMA,69463,33146,36317,60023,29213,30810,9440,3933,5507,18618,7637,10981,17406,7222,10184,1212,415,797,48306,24048,24258,40726,20872,19854,7580,3176,4404,2539,1461,1078,1891,1119,772,648,342,306
27,St. Lawrence County PUMA,48319,24112,24207,37382,19474,17908,10937,4638,6299,11946,6174,5772,11081,5951,5130,865,223,642,32543,15785,16758,24325,12369,11956,8218,3416,4802,3830,2153,1677,1976,1154,822,1854,999,855
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",18509,9272,9237,16002,7876,8126,2507,1396,1111,16129,8043,8086,14127,7011,7116,2002,1032,970,2372,1229,1143,1875,865,1010,497,364,133,8,0,8,0,0,0,8,0,8
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,43584,21868,21716,40396,20513,19883,3188,1355,1833,21051,9909,11142,20682,9747,10935,369,162,207,21342,11321,10021,19195,10247,8948,2147,1074,1073,1191,638,553,519,519,0,672,119,553
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,50002,26921,23081,38963,21731,17232,11039,5190,5849,29919,15813,14106,28055,15234,12821,1864,579,1285,17530,9749,7781,9804,5702,4102,7726,4047,3679,2553,1359,1194,1104,795,309,1449,564,885
31,Cayuga & Onondaga (South) Counties PUMA,53777,26851,26926,47146,24308,22838,6631,2543,4088,16669,6875,9794,15604,6732,8872,1065,143,922,33812,18095,15717,29513,16187,13326,4299,1908,2391,3296,1881,1415,2029,1389,640,1267,492,775
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,47844,24775,23069,46022,24120,21902,1822,655,1167,21821,9723,12098,21209,9359,11850,612,364,248,25790,14945,10845,24737,14761,9976,1053,184,869,233,107,126,76,0,76,157,107,50
