,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
26,Westchester County (Southeast) PUMA,3311,1594,1717,2918,1533,1385,393,61,332,1863,828,1035,1531,828,703,332,0,332,1313,689,624,1252,628,624,61,61,0,135,77,58,135,77,58,0,0,0
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,390,129,261,106,0,106,284,129,155,390,129,261,106,0,106,284,129,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Westchester County (Northwest) PUMA,1703,890,813,1433,890,543,270,0,270,1262,787,475,1107,787,320,155,0,155,218,103,115,103,103,0,115,0,115,223,0,223,223,0,223,0,0,0
29,Monroe County (South) PUMA,1193,727,466,802,538,264,391,189,202,832,529,303,621,414,207,211,115,96,361,198,163,181,124,57,180,74,106,0,0,0,0,0,0,0,0,0
30,Rockland County (North)--New City & Congers PUMA,1750,760,990,1553,760,793,197,0,197,874,207,667,746,207,539,128,0,128,876,553,323,807,553,254,69,0,69,0,0,0,0,0,0,0,0,0
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",128,128,0,0,0,0,128,128,0,0,0,0,0,0,0,0,0,0,82,82,0,0,0,0,82,82,0,46,46,0,0,0,0,46,46,0
32,Orange County (Southeast) PUMA,2043,1269,774,1709,1088,621,334,181,153,1257,771,486,1076,590,486,181,181,0,786,498,288,633,498,135,153,0,153,0,0,0,0,0,0,0,0,0
33,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",366,313,53,237,184,53,129,129,0,53,0,53,53,0,53,0,0,0,264,264,0,135,135,0,129,129,0,49,49,0,49,49,0,0,0,0
34,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,2181,1352,829,1552,1175,377,629,177,452,1330,1170,160,1154,1072,82,176,98,78,851,182,669,398,103,295,453,79,374,0,0,0,0,0,0,0,0,0
35,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",2540,1284,1256,1872,961,911,668,323,345,989,402,587,884,402,482,105,0,105,1192,576,616,762,386,376,430,190,240,359,306,53,226,173,53,133,133,0
36,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,2110,922,1188,1848,826,1022,262,96,166,648,159,489,544,116,428,104,43,61,1357,763,594,1304,710,594,53,53,0,105,0,105,0,0,0,105,0,105
37,Suffolk County (Northwest)--Huntington Town (South) PUMA,1947,897,1050,1400,897,503,547,0,547,1581,749,832,1034,749,285,547,0,547,366,148,218,366,148,218,0,0,0,0,0,0,0,0,0,0,0,0
38,Westchester County (Southwest)--Yonkers City PUMA,3118,2298,820,2528,2163,365,590,135,455,1049,704,345,706,569,137,343,135,208,1992,1517,475,1745,1517,228,247,0,247,77,77,0,77,77,0,0,0,0
39,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",7433,4408,3025,6745,4243,2502,688,165,523,7012,4236,2776,6573,4071,2502,439,165,274,421,172,249,172,172,0,249,0,249,0,0,0,0,0,0,0,0,0
40,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,5999,3286,2713,4638,2748,1890,1361,538,823,2823,1252,1571,2262,1090,1172,561,162,399,2968,1826,1142,2168,1450,718,800,376,424,208,208,0,208,208,0,0,0,0
