,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,375761,183921,191840,319073,156995,162078,56688,26926,29762,200214,95042,105172,180612,86128,94484,19602,8914,10688,153195,77010,76185,123377,62799,60578,29818,14211,15607,22352,11869,10483,15084,8068,7016,7268,3801,3467
1,Monroe County (Central)--Rochester City (East) PUMA,652,138,514,205,70,135,447,68,379,197,0,197,38,0,38,159,0,159,358,138,220,70,70,0,288,68,220,97,0,97,97,0,97,0,0,0
2,NYC-Brooklyn Community District 4--Bushwick PUMA,2057,971,1086,1697,971,726,360,0,360,999,542,457,999,542,457,0,0,0,867,238,629,507,238,269,360,0,360,191,191,0,191,191,0,0,0,0
3,NYC-Manhattan Community District 10--Central Harlem PUMA,1582,682,900,1015,477,538,567,205,362,1273,579,694,920,382,538,353,197,156,309,103,206,95,95,0,214,8,206,0,0,0,0,0,0,0,0,0
4,Ontario & Yates Counties PUMA,39,39,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Albany County (Outside Albany City) PUMA,1609,806,803,1525,806,719,84,0,84,702,459,243,702,459,243,0,0,0,755,279,476,755,279,476,0,0,0,152,68,84,68,68,0,84,0,84
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",743,445,298,551,367,184,192,78,114,153,125,28,153,125,28,0,0,0,499,283,216,361,205,156,138,78,60,91,37,54,37,37,0,54,0,54
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,15994,8232,7762,13769,7158,6611,2225,1074,1151,8031,3812,4219,7317,3478,3839,714,334,380,6854,3830,3024,5974,3397,2577,880,433,447,1109,590,519,478,283,195,631,307,324
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",2325,1120,1205,1917,1023,894,408,97,311,1168,670,498,984,573,411,184,97,87,1157,450,707,933,450,483,224,0,224,0,0,0,0,0,0,0,0,0
9,Warren & Washington Counties PUMA,140,87,53,140,87,53,0,0,0,0,0,0,0,0,0,0,0,0,140,87,53,140,87,53,0,0,0,0,0,0,0,0,0,0,0,0
10,Erie County (North Central) PUMA,2471,1167,1304,2406,1102,1304,65,65,0,1399,718,681,1399,718,681,0,0,0,922,299,623,857,234,623,65,65,0,150,150,0,150,150,0,0,0,0
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",6472,2725,3747,5220,1976,3244,1252,749,503,5554,2083,3471,5112,1868,3244,442,215,227,715,642,73,108,108,0,607,534,73,203,0,203,0,0,0,203,0,203
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1245,217,1028,961,217,744,284,0,284,516,69,447,232,69,163,284,0,284,729,148,581,729,148,581,0,0,0,0,0,0,0,0,0,0,0,0
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,2150,1623,527,1910,1531,379,240,92,148,1271,744,527,1031,652,379,240,92,148,781,781,0,781,781,0,0,0,0,98,98,0,98,98,0,0,0,0
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,203,203,0,0,0,0,203,203,0,81,81,0,0,0,0,81,81,0,122,122,0,0,0,0,122,122,0,0,0,0,0,0,0,0,0,0
