,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,2456,1473,983,2073,1186,887,383,287,96,1269,458,811,1269,458,811,0,0,0,1187,1015,172,804,728,76,383,287,96,0,0,0,0,0,0,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",10087,5408,4679,8583,4669,3914,1504,739,765,1631,607,1024,1631,607,1024,0,0,0,6407,3643,2764,5941,3430,2511,466,213,253,2049,1158,891,1011,632,379,1038,526,512
27,St. Lawrence County PUMA,360,186,174,357,183,174,3,3,0,107,8,99,107,8,99,0,0,0,253,178,75,250,175,75,3,3,0,0,0,0,0,0,0,0,0,0
28,Columbia & Greene Counties PUMA,825,451,374,797,451,346,28,0,28,137,34,103,109,34,75,28,0,28,670,399,271,670,399,271,0,0,0,18,18,0,18,18,0,0,0,0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,6335,2900,3435,4977,2545,2432,1358,355,1003,3909,1819,2090,3388,1740,1648,521,79,442,1765,841,924,1003,640,363,762,201,561,661,240,421,586,165,421,75,75,0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",6541,2717,3824,5063,2593,2470,1478,124,1354,2779,1410,1369,2364,1410,954,415,0,415,3650,1307,2343,2699,1183,1516,951,124,827,112,0,112,0,0,0,112,0,112
31,Monroe County (North & West) PUMA,1625,897,728,1570,897,673,55,0,55,314,0,314,314,0,314,0,0,0,1311,897,414,1256,897,359,55,0,55,0,0,0,0,0,0,0,0,0
32,Schenectady County--Schenectady City PUMA,1331,409,922,1331,409,922,0,0,0,505,119,386,505,119,386,0,0,0,826,290,536,826,290,536,0,0,0,0,0,0,0,0,0,0,0,0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",3027,1867,1160,1997,926,1071,1030,941,89,1080,797,283,1029,746,283,51,51,0,1947,1070,877,968,180,788,979,890,89,0,0,0,0,0,0,0,0,0
34,Niagara County (North & East) PUMA,831,583,248,831,583,248,0,0,0,477,374,103,477,374,103,0,0,0,354,209,145,354,209,145,0,0,0,0,0,0,0,0,0,0,0,0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,4388,2192,2196,3644,2074,1570,744,118,626,1730,668,1062,1503,668,835,227,0,227,2658,1524,1134,2141,1406,735,517,118,399,0,0,0,0,0,0,0,0,0
36,Suffolk County (East) PUMA,1803,760,1043,1803,760,1043,0,0,0,844,176,668,844,176,668,0,0,0,852,569,283,852,569,283,0,0,0,107,15,92,107,15,92,0,0,0
37,Warren & Washington Counties PUMA,459,199,260,364,104,260,95,95,0,95,95,0,0,0,0,95,95,0,324,64,260,324,64,260,0,0,0,40,40,0,40,40,0,0,0,0
