,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
21,Madison & Cortland Counties PUMA,477,270,207,477,270,207,0,0,0,101,35,66,101,35,66,0,0,0,376,235,141,376,235,141,0,0,0,0,0,0,0,0,0,0,0,0
22,Erie County (West Central)--Buffalo City (West) PUMA,8693,3589,5104,5580,2700,2880,3113,889,2224,1813,682,1131,1321,411,910,492,271,221,4973,1973,3000,3414,1652,1762,1559,321,1238,1907,934,973,845,637,208,1062,297,765
23,Monroe County (Central)--Rochester City (West) PUMA,5544,2587,2957,2832,1619,1213,2712,968,1744,813,490,323,802,479,323,11,11,0,3003,1176,1827,1653,763,890,1350,413,937,1728,921,807,377,377,0,1351,544,807
24,Suffolk County (Central)--Islip Town (East) PUMA,4278,2595,1683,3755,2072,1683,523,523,0,2058,971,1087,2058,971,1087,0,0,0,2164,1568,596,1697,1101,596,467,467,0,56,56,0,0,0,0,56,56,0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,2456,1473,983,2456,1473,983,0,0,0,1269,458,811,1269,458,811,0,0,0,1187,1015,172,1187,1015,172,0,0,0,0,0,0,0,0,0,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",15023,7254,7769,8127,4555,3572,6896,2699,4197,1659,635,1024,1631,607,1024,28,28,0,8994,4664,4330,4975,2946,2029,4019,1718,2301,4370,1955,2415,1521,1002,519,2849,953,1896
27,St. Lawrence County PUMA,489,249,240,345,186,159,144,63,81,107,8,99,107,8,99,0,0,0,355,241,114,238,178,60,117,63,54,27,0,27,0,0,0,27,0,27
28,Columbia & Greene Counties PUMA,1377,796,581,921,432,489,456,364,92,369,215,154,137,34,103,232,181,51,990,563,427,766,380,386,224,183,41,18,18,0,18,18,0,0,0,0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,7765,3664,4101,5190,2762,2428,2575,902,1673,4154,1878,2276,3463,1739,1724,691,139,552,2216,1048,1168,1078,652,426,1138,396,742,1395,738,657,649,371,278,746,367,379
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",7831,2888,4943,6330,2717,3613,1501,171,1330,2779,1410,1369,2599,1410,1189,180,0,180,4429,1478,2951,3396,1307,2089,1033,171,862,623,0,623,335,0,335,288,0,288
31,Monroe County (North & West) PUMA,1748,897,851,1582,854,728,166,43,123,314,0,314,314,0,314,0,0,0,1311,897,414,1268,854,414,43,43,0,123,0,123,0,0,0,123,0,123
32,Schenectady County--Schenectady City PUMA,2272,768,1504,1629,497,1132,643,271,372,505,119,386,505,119,386,0,0,0,1601,649,952,1124,378,746,477,271,206,166,0,166,0,0,0,166,0,166
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",3089,1929,1160,2420,1260,1160,669,669,0,1080,797,283,969,686,283,111,111,0,2009,1132,877,1451,574,877,558,558,0,0,0,0,0,0,0,0,0,0
34,Niagara County (North & East) PUMA,831,583,248,831,583,248,0,0,0,477,374,103,477,374,103,0,0,0,354,209,145,354,209,145,0,0,0,0,0,0,0,0,0,0,0,0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,6396,3380,3016,5074,2572,2502,1322,808,514,1730,668,1062,1730,668,1062,0,0,0,3534,1788,1746,2716,1484,1232,818,304,514,1132,924,208,628,420,208,504,504,0
36,Suffolk County (East) PUMA,1786,743,1043,1775,732,1043,11,11,0,844,176,668,844,176,668,0,0,0,839,556,283,839,556,283,0,0,0,103,11,92,92,0,92,11,11,0
37,Warren & Washington Counties PUMA,553,293,260,549,289,260,4,4,0,225,225,0,225,225,0,0,0,0,328,68,260,324,64,260,4,4,0,0,0,0,0,0,0,0,0,0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,4284,1862,2422,3944,1813,2131,340,49,291,1595,681,914,1536,681,855,59,0,59,2461,1132,1329,2408,1132,1276,53,0,53,228,49,179,0,0,0,228,49,179
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",3332,1570,1762,2360,1126,1234,972,444,528,1429,486,943,1304,486,818,125,0,125,1459,640,819,1056,640,416,403,0,403,444,444,0,0,0,0,444,444,0
40,Westchester County (Central)--White Plains City PUMA,6297,2932,3365,4978,2404,2574,1319,528,791,2805,1167,1638,2737,1167,1570,68,0,68,2666,1668,998,2071,1140,931,595,528,67,826,97,729,170,97,73,656,0,656
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",30892,13921,16971,14723,7603,7120,16169,6318,9851,5226,2667,2559,4278,2423,1855,948,244,704,17363,7698,9665,8725,3859,4866,8638,3839,4799,8303,3556,4747,1720,1321,399,6583,2235,4348
42,Erie County (North Central) PUMA,1040,505,535,882,454,428,158,51,107,242,164,78,242,164,78,0,0,0,798,341,457,640,290,350,158,51,107,0,0,0,0,0,0,0,0,0
43,Chautauqua County PUMA,4391,2186,2205,2318,758,1560,2073,1428,645,146,0,146,146,0,146,0,0,0,3130,1669,1461,1591,662,929,1539,1007,532,1115,517,598,581,96,485,534,421,113
44,Dutchess County (Southwest) PUMA,5142,2604,2538,4084,2278,1806,1058,326,732,1137,204,933,988,204,784,149,0,149,3617,2154,1463,2850,1828,1022,767,326,441,388,246,142,246,246,0,142,0,142
45,Westchester County (Southeast) PUMA,4153,2375,1778,4126,2375,1751,27,0,27,2511,1609,902,2511,1609,902,0,0,0,1347,640,707,1347,640,707,0,0,0,295,126,169,268,126,142,27,0,27
46,Rockland County (North)--New City & Congers PUMA,8766,4822,3944,6937,3968,2969,1829,854,975,2513,854,1659,2106,854,1252,407,0,407,5185,3300,1885,4341,3024,1317,844,276,568,1068,668,400,490,90,400,578,578,0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,6879,2915,3964,5575,2425,3150,1304,490,814,1548,674,874,1548,674,874,0,0,0,5017,2096,2921,3713,1606,2107,1304,490,814,314,145,169,314,145,169,0,0,0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,5845,2998,2847,4458,1963,2495,1387,1035,352,2110,347,1763,2110,347,1763,0,0,0,2862,2009,853,2348,1616,732,514,393,121,873,642,231,0,0,0,873,642,231
49,Erie County (West Central)--Buffalo City (East) PUMA,5208,1890,3318,2583,1595,988,2625,295,2330,645,108,537,333,108,225,312,0,312,3884,1782,2102,1986,1487,499,1898,295,1603,679,0,679,264,0,264,415,0,415
50,Wayne & Seneca Counties PUMA,1562,1315,247,984,787,197,578,528,50,170,170,0,170,170,0,0,0,0,1027,830,197,670,473,197,357,357,0,365,315,50,144,144,0,221,171,50
51,Monroe County (South) PUMA,2219,861,1358,1838,671,1167,381,190,191,873,293,580,682,293,389,191,0,191,1229,568,661,1039,378,661,190,190,0,117,0,117,117,0,117,0,0,0
52,Tompkins County PUMA,1517,317,1200,1517,317,1200,0,0,0,1045,46,999,1045,46,999,0,0,0,380,179,201,380,179,201,0,0,0,92,92,0,92,92,0,0,0,0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,8112,4075,4037,7060,3704,3356,1052,371,681,1903,351,1552,1807,351,1456,96,0,96,5514,3167,2347,4584,2822,1762,930,345,585,695,557,138,669,531,138,26,26,0
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",1161,836,325,900,575,325,261,261,0,155,39,116,155,39,116,0,0,0,539,330,209,315,106,209,224,224,0,467,467,0,430,430,0,37,37,0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,3933,2602,1331,3272,2357,915,661,245,416,2949,2366,583,2647,2207,440,302,159,143,984,236,748,625,150,475,359,86,273,0,0,0,0,0,0,0,0,0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",3711,2134,1577,3668,2091,1577,43,43,0,2964,1521,1443,2964,1521,1443,0,0,0,704,570,134,704,570,134,0,0,0,43,43,0,0,0,0,43,43,0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",29984,16909,13075,21536,12568,8968,8448,4341,4107,7518,2505,5013,5976,2505,3471,1542,0,1542,18249,12160,6089,13528,9144,4384,4721,3016,1705,4217,2244,1973,2032,919,1113,2185,1325,860
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,5492,2493,2999,4238,2332,1906,1254,161,1093,1223,421,802,1179,421,758,44,0,44,3646,1733,1913,2543,1588,955,1103,145,958,623,339,284,516,323,193,107,16,91
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",9233,4249,4984,5619,3080,2539,3614,1169,2445,1798,1098,700,1701,1001,700,97,97,0,4505,1807,2698,2573,1489,1084,1932,318,1614,2930,1344,1586,1345,590,755,1585,754,831
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,14497,8231,6266,12156,6343,5813,2341,1888,453,3062,859,2203,2741,633,2108,321,226,95,9382,6102,3280,7635,4603,3032,1747,1499,248,2053,1270,783,1780,1107,673,273,163,110
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",4867,1913,2954,2232,1226,1006,2635,687,1948,744,173,571,571,0,571,173,173,0,3993,1740,2253,1531,1226,305,2462,514,1948,130,0,130,130,0,130,0,0,0
62,Saratoga County (South & Central) PUMA,1687,722,965,1663,698,965,24,24,0,248,0,248,248,0,248,0,0,0,1439,722,717,1415,698,717,24,24,0,0,0,0,0,0,0,0,0,0
63,Cattaraugus & Allegany Counties PUMA,790,380,410,457,156,301,333,224,109,92,0,92,19,0,19,73,0,73,504,255,249,297,75,222,207,180,27,194,125,69,141,81,60,53,44,9
64,Genesee & Orleans Counties PUMA,1896,488,1408,699,0,699,1197,488,709,181,0,181,181,0,181,0,0,0,728,81,647,518,0,518,210,81,129,987,407,580,0,0,0,987,407,580
65,Cayuga & Onondaga (South) Counties PUMA,446,292,154,274,147,127,172,145,27,0,0,0,0,0,0,0,0,0,320,193,127,274,147,127,46,46,0,126,99,27,0,0,0,126,99,27
