,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
20,Westchester County (Northeast) PUMA,2220,1319,901,111938.28828828828,139369.29492039423,71781.24306326304,1857,1116,741,113526.11739364566,147440.05376344087,62449.25775978408,363,203,160,103815.42699724517,95000.0,115000.0,0,0,0,#DIV/0!,0.0,0.0
21,Madison & Cortland Counties PUMA,373,249,124,40140.48257372654,34708.43373493976,51048.3870967742,80,14,66,34375.0,55000.0,30000.0,293,235,58,41714.67576791809,33499.574468085106,75000.0,0,0,0,#DIV/0!,0.0,0.0
22,Erie County (West Central)--Buffalo City (West) PUMA,5134,2438,2696,41471.640046747176,37654.92206726825,44923.10830860534,1185,275,910,49248.101265822785,35740.0,53330.21978021978,3204,1777,1427,40659.176029962546,39939.11086100169,41555.85143658024,745,386,359,32596.510067114094,28503.62694300518,36997.214484679665
23,Monroe County (Central)--Rochester City (West) PUMA,2615,1618,997,35957.62906309751,39098.084054388135,30861.08324974925,609,479,130,73875.2052545156,84290.1878914405,35500.0,1551,738,813,24908.059316569954,18006.639566395665,31172.816728167283,455,401,54,22872.08791208791,23932.16957605985,15000.0
24,Suffolk County (Central)--Islip Town (East) PUMA,3331,2355,976,78428.0726508556,86581.31634819532,58755.03073770492,1774,971,803,70200.62570462232,81967.04428424305,55972.49066002491,1557,1384,173,87802.18368657675,89818.64161849712,71670.52023121387,0,0,0,#DIV/0!,0.0,0.0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,2073,1186,887,100387.16835504101,89713.82799325464,114658.39909808342,1269,458,811,114017.80929866036,100494.7598253275,121654.74722564736,804,728,76,78873.13432835821,82931.31868131868,40000.0,0,0,0,#DIV/0!,0.0,0.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",8583,4669,3914,42742.028428288475,44129.49239665881,41086.92641798672,1631,607,1024,62819.63212752913,66080.72487644151,60886.54296875,5941,3430,2511,39489.90237333782,42472.01166180758,35416.37196336121,1011,632,379,29462.413452027697,32042.08860759494,25160.686015831136
27,St. Lawrence County PUMA,357,183,174,35343.13725490196,48311.475409836065,21704.02298850575,107,8,99,25981.30841121495,100000.0,20000.0,250,175,75,39350.0,45948.57142857143,23953.333333333332,0,0,0,#DIV/0!,0.0,0.0
28,Columbia & Greene Counties PUMA,797,451,346,52787.829360100375,36661.640798226166,73807.80346820809,109,34,75,69931.19266055046,55000.0,76700.0,670,399,271,50194.62686567164,34700.25062656642,73007.38007380074,18,18,0,45500.0,45500.0,0.0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4977,2545,2432,71241.56519991963,79261.84675834971,62848.63075657895,3388,1740,1648,81750.07083825265,95364.94252873563,67375.14563106796,1003,640,363,43430.73778664008,37166.25,54475.564738292014,586,165,421,58087.03071672355,72727.27272727272,52349.16864608076
