,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
21,Madison & Cortland Counties PUMA,373,249,124,373,249,124,0,0,0,80,14,66,80,14,66,0,0,0,293,235,58,293,235,58,0,0,0,0,0,0,0,0,0,0,0,0
22,Erie County (West Central)--Buffalo City (West) PUMA,5743,2498,3245,5242,2354,2888,501,144,357,1320,275,1045,1101,275,826,219,0,219,3678,1837,1841,3540,1837,1703,138,0,138,745,386,359,601,242,359,144,144,0
23,Monroe County (Central)--Rochester City (West) PUMA,3162,1729,1433,3135,1729,1406,27,0,27,609,479,130,609,479,130,0,0,0,2098,849,1249,2071,849,1222,27,0,27,455,401,54,455,401,54,0,0,0
24,Suffolk County (Central)--Islip Town (East) PUMA,3234,2355,879,3234,2355,879,0,0,0,1774,971,803,1774,971,803,0,0,0,1460,1384,76,1460,1384,76,0,0,0,0,0,0,0,0,0,0,0,0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,2412,1429,983,2412,1429,983,0,0,0,1269,458,811,1269,458,811,0,0,0,1143,971,172,1143,971,172,0,0,0,0,0,0,0,0,0,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",9308,5167,4141,8608,4843,3765,700,324,376,1631,607,1024,1434,607,827,197,0,197,6222,3484,2738,5838,3160,2678,384,324,60,1455,1076,379,1336,1076,260,119,0,119
27,St. Lawrence County PUMA,394,220,174,357,183,174,37,37,0,107,8,99,107,8,99,0,0,0,287,212,75,250,175,75,37,37,0,0,0,0,0,0,0,0,0,0
28,Columbia & Greene Counties PUMA,806,432,374,806,432,374,0,0,0,137,34,103,137,34,103,0,0,0,651,380,271,651,380,271,0,0,0,18,18,0,18,18,0,0,0,0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,6059,2804,3255,5757,2621,3136,302,183,119,3708,1798,1910,3525,1615,1910,183,183,0,1765,841,924,1646,841,805,119,0,119,586,165,421,586,165,421,0,0,0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",6541,2717,3824,6541,2717,3824,0,0,0,2779,1410,1369,2779,1410,1369,0,0,0,3650,1307,2343,3650,1307,2343,0,0,0,112,0,112,112,0,112,0,0,0
31,Monroe County (North & West) PUMA,1625,897,728,1625,897,728,0,0,0,314,0,314,314,0,314,0,0,0,1311,897,414,1311,897,414,0,0,0,0,0,0,0,0,0,0,0,0
32,Schenectady County--Schenectady City PUMA,1419,497,922,1331,409,922,88,88,0,505,119,386,505,119,386,0,0,0,914,378,536,826,290,536,88,88,0,0,0,0,0,0,0,0,0,0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",2996,1836,1160,2996,1836,1160,0,0,0,1080,797,283,1080,797,283,0,0,0,1916,1039,877,1916,1039,877,0,0,0,0,0,0,0,0,0,0,0,0
34,Niagara County (North & East) PUMA,831,583,248,831,583,248,0,0,0,477,374,103,477,374,103,0,0,0,354,209,145,354,209,145,0,0,0,0,0,0,0,0,0,0,0,0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,4431,2235,2196,4388,2192,2196,43,43,0,1730,668,1062,1730,668,1062,0,0,0,2658,1524,1134,2658,1524,1134,0,0,0,43,43,0,0,0,0,43,43,0
36,Suffolk County (East) PUMA,1775,732,1043,1775,732,1043,0,0,0,844,176,668,844,176,668,0,0,0,839,556,283,839,556,283,0,0,0,92,0,92,92,0,92,0,0,0
37,Warren & Washington Counties PUMA,260,159,101,260,159,101,0,0,0,95,95,0,95,95,0,0,0,0,165,64,101,165,64,101,0,0,0,0,0,0,0,0,0,0,0,0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,4124,1862,2262,3968,1706,2262,156,156,0,1490,681,809,1334,525,809,156,156,0,2408,1132,1276,2408,1132,1276,0,0,0,226,49,177,226,49,177,0,0,0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",2808,1249,1559,2808,1249,1559,0,0,0,1429,486,943,1429,486,943,0,0,0,1256,640,616,1256,640,616,0,0,0,123,123,0,123,123,0,0,0,0
40,Westchester County (Central)--White Plains City PUMA,4839,2652,2187,4839,2652,2187,0,0,0,2423,1167,1256,2423,1167,1256,0,0,0,2416,1485,931,2416,1485,931,0,0,0,0,0,0,0,0,0,0,0,0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",18635,8426,10209,15862,7503,8359,2773,923,1850,4336,2043,2293,3705,1717,1988,631,326,305,12438,5269,7169,10632,4761,5871,1806,508,1298,1861,1114,747,1525,1025,500,336,89,247
42,Erie County (North Central) PUMA,989,454,535,989,454,535,0,0,0,242,164,78,242,164,78,0,0,0,747,290,457,747,290,457,0,0,0,0,0,0,0,0,0,0,0,0
43,Chautauqua County PUMA,2947,1142,1805,2651,846,1805,296,296,0,146,0,146,146,0,146,0,0,0,2220,1046,1174,1924,750,1174,296,296,0,581,96,485,581,96,485,0,0,0
44,Dutchess County (Southwest) PUMA,4172,2343,1829,4118,2289,1829,54,54,0,988,204,784,988,204,784,0,0,0,2938,1893,1045,2884,1839,1045,54,54,0,246,246,0,246,246,0,0,0,0
45,Westchester County (Southeast) PUMA,3867,2375,1492,3817,2375,1442,50,0,50,2394,1609,785,2394,1609,785,0,0,0,1347,640,707,1297,640,657,50,0,50,126,126,0,126,126,0,0,0,0
46,Rockland County (North)--New City & Congers PUMA,7387,4458,2929,6842,4182,2660,545,276,269,2321,662,1659,2321,662,1659,0,0,0,4488,3218,1270,3943,2942,1001,545,276,269,578,578,0,578,578,0,0,0,0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,4832,1983,2849,4705,1856,2849,127,127,0,1447,674,773,1320,547,773,127,127,0,3131,1164,1967,3131,1164,1967,0,0,0,254,145,109,254,145,109,0,0,0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,4998,2337,2661,4998,2337,2661,0,0,0,2110,347,1763,2110,347,1763,0,0,0,2657,1990,667,2657,1990,667,0,0,0,231,0,231,231,0,231,0,0,0
49,Erie County (West Central)--Buffalo City (East) PUMA,3845,1622,2223,3562,1622,1940,283,0,283,495,108,387,495,108,387,0,0,0,3207,1514,1693,2924,1514,1410,283,0,283,143,0,143,143,0,143,0,0,0
50,Wayne & Seneca Counties PUMA,1039,842,197,1039,842,197,0,0,0,170,170,0,170,170,0,0,0,0,670,473,197,670,473,197,0,0,0,199,199,0,199,199,0,0,0,0
51,Monroe County (South) PUMA,1255,589,666,1132,589,543,123,0,123,708,293,415,708,293,415,0,0,0,547,296,251,424,296,128,123,0,123,0,0,0,0,0,0,0,0,0
52,Tompkins County PUMA,1425,225,1200,1425,225,1200,0,0,0,1045,46,999,1045,46,999,0,0,0,380,179,201,380,179,201,0,0,0,0,0,0,0,0,0,0,0,0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,6559,3541,3018,6006,3379,2627,553,162,391,1720,351,1369,1720,351,1369,0,0,0,4235,2633,1602,3708,2497,1211,527,136,391,604,557,47,578,531,47,26,26,0
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",991,704,287,949,662,287,42,42,0,155,39,116,155,39,116,0,0,0,369,198,171,358,187,171,11,11,0,467,467,0,436,436,0,31,31,0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,2967,2602,365,2967,2602,365,0,0,0,2731,2366,365,2731,2366,365,0,0,0,236,236,0,236,236,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",3656,2134,1522,3656,2134,1522,0,0,0,2909,1521,1388,2909,1521,1388,0,0,0,704,570,134,704,570,134,0,0,0,43,43,0,43,43,0,0,0,0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",22379,12879,9500,19898,10995,8903,2481,1884,597,7145,2403,4742,6691,2220,4471,454,183,271,13128,8789,4339,11224,7211,4013,1904,1578,326,2106,1687,419,1983,1564,419,123,123,0
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,4262,2108,2154,4056,1947,2109,206,161,45,1142,421,721,1142,421,721,0,0,0,2803,1461,1342,2597,1300,1297,206,161,45,317,226,91,317,226,91,0,0,0
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",5910,3222,2688,5247,3011,2236,663,211,452,1798,1098,700,1798,1098,700,0,0,0,3256,1534,1722,2675,1323,1352,581,211,370,856,590,266,774,590,184,82,0,82
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,11559,6689,4870,9632,4853,4779,1927,1836,91,2902,859,2043,2676,633,2043,226,226,0,7212,4838,2374,5511,3228,2283,1701,1610,91,1445,992,453,1445,992,453,0,0,0
