,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
61,Rensselaer County--Troy City PUMA,61.187698833510076,77.23342939481267,51.84563758389261,100.0,100.0,100.0,100.0,100.0,#DIV/0!
62,Warren & Washington Counties PUMA,100.0,100.0,#DIV/0!,15.887850467289718,#DIV/0!,15.887850467289718,#DIV/0!,#DIV/0!,#DIV/0!
63,Orange County (Northeast)--Greater Newburgh City PUMA,83.63821138211382,77.54137115839244,88.23529411764706,76.79558011049724,100.0,65.77415599534342,100.0,100.0,100.0
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",94.65530596436871,100.0,87.52260397830018,93.5678391959799,100.0,87.79790276453765,100.0,100.0,100.0
65,Fulton & Montgomery Counties PUMA,84.43708609271523,100.0,71.6867469879518,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
66,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,92.04250028258166,92.74661508704062,91.4243260454256,90.43935191942782,98.3108108108108,83.31015299026426,83.77234242709312,91.62995594713657,60.52141527001862
67,Monroe County (Central)--Rochester City (East) PUMA,79.30174563591022,100.0,76.28571428571429,62.066115702479344,83.20987654320989,51.42857142857142,78.72340425531915,84.30232558139535,70.0
68,Chautauqua County PUMA,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,100.0,100.0,#DIV/0!
69,Nassau County (Northwest)--North Hempstead Town (North) PUMA,92.27351271291039,98.26530612244898,86.6571018651363,91.98650358498523,100.0,47.07520891364902,100.0,#DIV/0!,100.0
70,"Clinton, Franklin, Essex & Hamilton Counties PUMA",54.47976878612717,100.0,34.10041841004184,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
71,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,89.8994463902384,94.1976679622432,86.94989521813679,77.80689377141705,93.7428896473265,59.72461273666093,87.90322580645162,100.0,76.34069400630915
72,Monroe County (Central)--Rochester City (West) PUMA,57.2139303482587,60.42780748663101,51.96506550218341,94.90304709141274,100.0,86.62790697674419,49.193548387096776,49.193548387096776,#DIV/0!
73,Orange County (Southeast) PUMA,97.00765483646487,100.0,92.86898839137645,96.65924276169265,100.0,94.53883495145631,66.12903225806451,66.12903225806451,#DIV/0!
74,Rockland County (North)--New City & Congers PUMA,71.4938030006523,100.0,51.87224669603524,87.14250186520765,86.05161998901703,88.04545454545455,87.11433756805808,100.0,76.29382303839732
75,Westchester County (Southeast) PUMA,93.78014724549378,100.0,84.74470734744706,78.04585900068446,81.46658415841584,73.81316998468607,83.81226053639847,92.66628766344513,36.474164133738604
76,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",83.67887075430083,82.43992606284658,85.5112083105522,89.68671392636634,100.0,81.0901467505241,87.26937269372694,100.0,79.10357359176257
77,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,100.0,100.0,100.0,61.31941148552444,63.934426229508205,56.10795454545454,71.69421487603306,100.0,0.0
78,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,85.83997036488239,92.8548282566429,76.48076091655858,77.44539814736126,84.50404427415921,66.90677966101694,91.88635032220269,94.59882583170256,83.81839348079161
79,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",98.4957264957265,100.0,95.97438243366881,82.95224762793592,80.25210084033614,85.85728123990958,100.0,100.0,#DIV/0!
80,Onondaga County (Central)--Syracuse City (Outer) PUMA,67.08984375,40.87719298245614,100.0,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
81,Wayne & Seneca Counties PUMA,87.81725888324873,86.4406779661017,100.0,18.351063829787233,#DIV/0!,18.351063829787233,0.0,#DIV/0!,0.0
82,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",82.69554753309266,82.99223712067749,82.05904617713853,79.61562306261625,94.2060606060606,64.34010152284264,77.63061074319353,100.0,54.320060105184076
83,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,89.36697454381618,97.61218608480856,79.40298507462687,86.6906474820144,89.99261447562778,81.55172413793103,83.25872873769025,100.0,46.57142857142857
84,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,86.80893967400436,84.66413181242078,88.22544642857143,71.65247439220042,84.76420798065296,57.98891129032258,100.0,100.0,100.0
85,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",87.46397694524497,100.0,76.48648648648648,76.54434250764525,95.94117647058825,55.54140127388535,59.130434782608695,66.50366748166259,0.0
86,Suffolk County (South Central)--Brookhaven Town (South) PUMA,73.61111111111111,66.19718309859155,80.82191780821918,100.0,100.0,100.0,100.0,100.0,#DIV/0!
87,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,88.09487021013597,89.83813913602744,83.59612724757953,86.69816153452103,93.05310146005766,76.6725352112676,89.79831144465291,92.5878182404125,82.34280792420327
88,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,100.0,#DIV/0!,100.0,#DIV/0!,#DIV/0!,#DIV/0!
89,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",83.06010928961749,100.0,69.44809461235218,73.03514376996804,95.33941236068895,62.762482501166595,100.0,100.0,100.0
90,Cattaraugus & Allegany Counties PUMA,100.0,100.0,100.0,15.384615384615385,0.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
91,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,100.0,100.0,#DIV/0!,100.0,100.0,#DIV/0!,0.0,0.0,#DIV/0!
92,Orange County (Northwest) PUMA,100.0,100.0,100.0,91.14160948222083,100.0,85.95450049455984,100.0,100.0,#DIV/0!
93,Columbia & Greene Counties PUMA,76.3975155279503,76.3975155279503,#DIV/0!,47.8021978021978,31.40794223826715,100.0,#DIV/0!,#DIV/0!,#DIV/0!
94,Suffolk County (East) PUMA,100.0,100.0,100.0,81.84523809523809,98.55319148936171,58.50178359096314,96.7173738991193,100.0,87.76119402985074
95,Monroe County (East) PUMA,100.0,100.0,100.0,100.0,100.0,100.0,45.13274336283185,100.0,0.0
96,Sullivan & Ulster (West) Counties PUMA,80.54919908466819,58.93719806763285,100.0,76.75953079178885,100.0,70.34611786716557,100.0,100.0,#DIV/0!
97,Cayuga & Onondaga (South) Counties PUMA,100.0,100.0,#DIV/0!,23.03370786516854,27.333333333333332,0.0,#DIV/0!,#DIV/0!,#DIV/0!
98,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",90.16647309330236,100.0,84.09517845961177,88.83305415968734,94.38120610317267,81.28500823723229,76.30348795397339,82.36953455571228,69.99266324284666
99,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,100.0,100.0,100.0,86.97552447552448,85.49618320610686,88.2258064516129,100.0,100.0,100.0
100,Onondaga County (Central)--Syracuse City PUMA,70.04920049200491,73.48066298342542,65.74202496532594,92.06611570247934,88.16276202219481,100.0,82.01438848920863,73.00215982721382,100.0
101,Ulster County (East) PUMA,50.17301038062284,100.0,18.413597733711047,80.0498753117207,85.96273291925466,68.09045226130654,100.0,100.0,100.0
