,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,637626,325946,311680,586405,297367,289038,51221,28579,22642,188868,82593,106275,180043,79230,100813,8825,3363,5462,376520,201169,175351,346778,183832,162946,29742,17337,12405,72238,42184,30054,59584,34305,25279,12654,7879,4775
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,6311,3503,2808,6311,3503,2808,0,0,0,2187,1265,922,2187,1265,922,0,0,0,3603,2238,1365,3603,2238,1365,0,0,0,521,0,521,521,0,521,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,4573,2246,2327,4057,1810,2247,516,436,80,2362,1378,984,1926,942,984,436,436,0,1968,868,1100,1888,868,1020,80,0,80,243,0,243,243,0,243,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4191,2678,1513,4003,2490,1513,188,188,0,2075,1101,974,2075,1101,974,0,0,0,1828,1463,365,1754,1389,365,74,74,0,288,114,174,174,0,174,114,114,0
4,Madison & Cortland Counties PUMA,1040,617,423,941,518,423,99,99,0,444,152,292,444,152,292,0,0,0,552,421,131,453,322,131,99,99,0,44,44,0,44,44,0,0,0,0
5,Ontario & Yates Counties PUMA,1595,915,680,1171,717,454,424,198,226,495,309,186,495,309,186,0,0,0,1032,606,426,608,408,200,424,198,226,68,0,68,68,0,68,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,2408,1956,452,2408,1956,452,0,0,0,112,0,112,112,0,112,0,0,0,2151,1811,340,2151,1811,340,0,0,0,145,145,0,145,145,0,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1989,1200,789,1919,1200,719,70,0,70,564,235,329,494,235,259,70,0,70,743,669,74,743,669,74,0,0,0,682,296,386,682,296,386,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",826,309,517,752,309,443,74,0,74,75,75,0,75,75,0,0,0,0,751,234,517,677,234,443,74,0,74,0,0,0,0,0,0,0,0,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,5279,2917,2362,5110,2748,2362,169,169,0,3406,2013,1393,3237,1844,1393,169,169,0,1873,904,969,1873,904,969,0,0,0,0,0,0,0,0,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,3183,1836,1347,3118,1836,1282,65,0,65,1001,457,544,936,457,479,65,0,65,1838,1035,803,1838,1035,803,0,0,0,344,344,0,344,344,0,0,0,0
11,Erie County (Northwest) PUMA,1744,696,1048,1555,576,979,189,120,69,323,0,323,254,0,254,69,0,69,1174,519,655,1054,399,655,120,120,0,247,177,70,247,177,70,0,0,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",4366,2214,2152,3863,2145,1718,503,69,434,1663,998,665,1585,998,587,78,0,78,1945,1216,729,1876,1147,729,69,69,0,758,0,758,402,0,402,356,0,356
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,8237,3610,4627,7424,3234,4190,813,376,437,1791,763,1028,1705,763,942,86,0,86,5767,2536,3231,5221,2160,3061,546,376,170,679,311,368,498,311,187,181,0,181
14,Rockland County (North)--New City & Congers PUMA,4049,2325,1724,3677,2325,1352,372,0,372,964,497,467,855,497,358,109,0,109,2747,1674,1073,2484,1674,810,263,0,263,338,154,184,338,154,184,0,0,0
