,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_Ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_Ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_Ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_Ownership_HS_grade,Overall_HS_grade
85,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",#DIV/0!,2.9561805825173164,0.4215606696450739,#DIV/0!,#DIV/0!,-0.777459352703838,-0.7566663453068053,#DIV/0!,#DIV/0!,-0.3400159126744409,0.04305989721664251,#DIV/0!,0.5128522345730083,0.28939148314354246,0.35535230420422825,#DIV/0!,#DIV!0,A,B-,#DIV!0,#DIV!0,D,D,#DIV!0,#DIV!0,C-,C,#DIV!0,B-,B-,B-,#DIV!0
86,Suffolk County (South Central)--Brookhaven Town (South) PUMA,-0.10815836004234584,-0.4834736719064809,#DIV/0!,#DIV/0!,#DIV/0!,0.9433797652664526,-0.39295058860726256,#DIV/0!,0.8914033982928746,0.21174813392894418,0.24969875313666326,#DIV/0!,0.511185902643755,0.20274905886833905,-0.21396751678803494,#DIV/0!,C,C-,#DIV!0,#DIV!0,#DIV!0,B,C-,#DIV!0,B,C,C,#DIV!0,C,B-,C,#DIV!0
87,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,#DIV/0!,-0.4481450843615974,0.21012215314069188,0.20978137489714632,0.3052244745025159,#DIV/0!,0.26602781688610255,#DIV/0!,#DIV/0!,-0.16546016809474276,0.14901428488979135,0.07549528820345307,#DIV/0!,0.5758703722135815,-0.034762249470210664,#DIV/0!,#DIV!0,C-,C,C,B-,#DIV!0,B-,#DIV!0,#DIV!0,C,C,C,C,#DIV!0,B-,#DIV!0
88,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0968348282132759,#DIV/0!,#DIV/0!,#DIV/0!,3.5582633932879135,#DIV/0!,#DIV/0!,#DIV/0!,2.5358556340421767,-0.3863441641956978,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,A,#DIV!0,#DIV!0,C-,#DIV!0,A,#DIV!0
89,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",#DIV/0!,-0.5972576289490149,#DIV/0!,#DIV/0!,#DIV/0!,-0.7252471702197084,-0.08679990966762874,#DIV/0!,#DIV/0!,-0.31116207720103706,0.09606282365374137,#DIV/0!,0.07012457195045305,-0.3798271123800769,-0.30533809889727975,#DIV/0!,#DIV!0,C-,#DIV!0,#DIV!0,#DIV!0,C-,C,#DIV!0,#DIV!0,C-,C,#DIV!0,C-,C,C-,#DIV!0
90,Cattaraugus & Allegany Counties PUMA,#DIV/0!,-0.0955555126551253,#DIV/0!,#DIV/0!,#DIV/0!,0.0968348282132759,2.4296327798529695,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,C,A,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
91,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,#DIV/0!,-0.0955555126551253,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.028308956800443107,#DIV/0!,#DIV/0!,-0.203357895985849,0.014251287916153939,#DIV/0!,#DIV/0!,-0.14337143935430308,-0.42267345571924103,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,#DIV!0,#DIV!0,C,C,#DIV!0,C-,#DIV!0,C,#DIV!0
92,Orange County (Northwest) PUMA,#DIV/0!,-0.0955555126551253,#DIV/0!,#DIV/0!,#DIV/0!,-0.29195253823181033,-0.27224404528790813,#DIV/0!,#DIV/0!,-0.32071808341863023,#DIV/0!,#DIV/0!,#DIV/0!,-0.22634618144062488,-0.4130183164561848,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,C-,C-,#DIV!0,#DIV!0,C-,#DIV!0,#DIV!0,C-,#DIV!0,C,#DIV!0
93,Columbia & Greene Counties PUMA,#DIV/0!,-0.7945810619854621,#DIV/0!,#DIV/0!,#DIV/0!,0.0968348282132759,-0.7735919080758827,#DIV/0!,#DIV/0!,-0.8948993037865406,0.4016349908924953,0.6048275141347078,0.8511818208563077,-0.05511245184639609,7.160336680592788,#DIV/0!,#DIV!0,D,#DIV!0,#DIV!0,#DIV!0,C,D,#DIV!0,#DIV!0,D,B-,B-,A,B,C,#DIV!0
94,Suffolk County (East) PUMA,#DIV/0!,0.2438014631847945,#DIV/0!,#DIV/0!,#DIV/0!,0.9431790193270863,-0.7746659441226688,#DIV/0!,0.8914033982928746,0.6504223936198974,#DIV/0!,#DIV/0!,#DIV/0!,-0.7920692550240105,-0.6204743158320503,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,B,D,#DIV!0,B,B-,#DIV!0,#DIV!0,C-,#DIV!0,D,#DIV!0
95,Monroe County (East) PUMA,0.7794384044388987,-0.0955555126551253,0.6856124397395638,#DIV/0!,#DIV/0!,-1.4784618137577925,-0.11612274792303902,#DIV/0!,0.8914033982928746,-0.056152590465701695,#DIV/0!,#DIV/0!,#DIV/0!,0.15956662601263533,-0.2130829892022305,#DIV/0!,B,C,B-,#DIV!0,#DIV!0,D-,C,#DIV!0,B,C,#DIV!0,#DIV!0,C,#DIV!0,C,#DIV!0
96,Sullivan & Ulster (West) Counties PUMA,#DIV/0!,-0.17990561211810202,0.6643648011172438,0.739077758271124,#DIV/0!,0.5109134268162817,-0.42760519935835134,#DIV/0!,#DIV/0!,-0.25702200021597615,0.3272215291655524,0.4783891756287723,0.42951565527631985,0.2454520490722699,0.35631373335926136,#DIV/0!,#DIV!0,C,B-,B-,#DIV!0,B-,C-,#DIV!0,#DIV!0,C-,B-,B-,B-,B-,C,#DIV!0
97,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
98,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.3358981163569403,#DIV/0!,0.6770816779352697,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,B-,#DIV!0,#DIV!0,B-,#DIV!0,#DIV!0
99,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,#DIV/0!,-0.0955555126551253,0.6856124397395638,#DIV/0!,#DIV/0!,-0.07072073105389569,-0.3378087964240417,#DIV/0!,-0.5053754912646398,0.5968569590532813,0.31936503927192705,0.6048275141347078,0.8511818208563077,-0.08111140746649478,-0.15373840290309868,0.23314371881171297,#DIV!0,C,B-,#DIV!0,#DIV!0,C,C-,#DIV!0,C-,B-,B-,B-,C,B,C,C
100,Onondaga County (Central)--Syracuse City PUMA,#DIV/0!,-0.4566366838244081,#DIV/0!,#DIV/0!,0.10268978311735366,-1.345672437317354,-0.3915759673801835,#DIV/0!,#DIV/0!,-0.0312570876313028,0.24496235087543222,0.2801195586916366,0.6591628530128433,1.4870638140957304,-0.04206543123781455,#DIV/0!,#DIV!0,C-,#DIV!0,#DIV!0,C,D-,C-,#DIV!0,#DIV!0,C,C,B-,C,B-,A-,#DIV!0
101,Ulster County (East) PUMA,#DIV/0!,-1.5712619719225192,#DIV/0!,#DIV/0!,#DIV/0!,-0.4906480416408172,-0.19195924696741923,#DIV/0!,#DIV/0!,-0.4676666739771358,0.3247505935590608,0.440046499837865,0.7117588951213253,-0.21938411703967842,-0.14103476750897467,#DIV/0!,#DIV!0,D-,#DIV!0,#DIV!0,#DIV!0,C-,C,#DIV!0,#DIV!0,C-,B-,B-,C,B-,C,#DIV!0
