,puma,BABS_Home_Ownership_Total,BABS_Home_Ownership_M,BABS_Home_Ownership_F,HS_Home_Ownership_Total,HS_Home_Ownership_M,HS_Home_Ownership_F,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
131,Broome (Outer West) & Tioga Counties PUMA,100.0,100.0,100.0,100.0,#DIV/0!,100.0,#DIV/0!,#DIV/0!,#DIV/0!
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,29.838022165387894,31.758109731678015,27.653758542141233,23.642266824085006,25.329695316052753,20.521446593776282,10.256410256410255,0.0,16.129032258064516
133,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",39.54012623985573,33.43448275862069,43.75833809796074,34.37078535117751,44.54165081780145,22.163889522939968,18.6046511627907,0.0,36.887608069164266
134,NYC-Manhattan Community District 10--Central Harlem PUMA,14.808743169398909,14.174107142857142,15.417558886509635,23.809523809523807,9.135802469135802,100.0,100.0,100.0,#DIV/0!
135,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",79.5994065281899,76.13843351548269,81.97747183979975,100.0,100.0,100.0,88.99755501222494,81.32780082987551,100.0
136,Erie County (Northwest) PUMA,72.74881516587678,58.91472868217055,78.839590443686,77.95698924731182,64.8068669527897,100.0,0.0,0.0,#DIV/0!
137,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,48.954703832752614,45.87155963302752,51.741293532338304,37.24557229711869,29.92766726943942,47.5493316359007,71.65775401069519,0.0,100.0
138,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,100.0,100.0,100.0,87.5505617977528,100.0,81.10504774897682,100.0,100.0,100.0
139,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",86.7440929114938,78.71621621621621,93.98324447829398,92.91184617891479,93.4640522875817,92.30506155950752,100.0,100.0,100.0
140,Nassau County (West Central)--Hempstead Town (West Central) PUMA,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,#DIV/0!
141,Nassau County (Central)--Hempstead Town (Northeast) PUMA,79.50413223140495,100.0,70.47619047619048,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
142,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,62.368932038834956,57.714285714285715,63.5609756097561,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
143,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,25.737412539442992,28.221512247071352,24.172629695885508,16.74865831842576,17.80758556891767,15.757575757575756,7.460035523978685,10.344827586206897,0.0
144,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,70.24793388429752,100.0,55.371900826446286,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
145,Nassau County (West Central)--North Hempstead Town (South) PUMA,72.40277037826318,42.44444444444444,100.0,76.44927536231883,72.28618421052632,83.5195530726257,100.0,100.0,100.0
146,Capital Region,47.92196776929602,57.58148323098725,33.52112676056338,77.53785754346607,64.9270913277053,84.79893946089263,49.34497816593886,#DIV/0!,49.34497816593886
147,Central NY,50.91252359974827,72.99630086313194,27.892030848329046,84.57203240577668,77.19465648854961,88.88888888888889,100.0,100.0,#DIV/0!
148,Finger Lakes,63.9009639009639,71.54166666666667,57.55793842960914,90.34575662325999,95.27972027972028,85.13388734995382,57.120253164556964,30.86734693877551,100.0
149,Long Island,77.93807037819313,74.5553183920313,80.68452595855297,80.83984071986347,80.56317983124937,81.12631578947368,97.73869346733667,100.0,93.6952714535902
150,Mid-Hudson,74.31828788585906,68.65720345896558,78.22998872604285,65.0742291587362,62.879821406424405,67.37238602415898,84.02555910543131,73.33736396614269,93.90721073225265
151,Mohawk Valley,68.40425531914893,29.28571428571429,100.0,62.92357160524363,57.69953051643193,68.7401986408782,71.40718562874252,100.0,50.38961038961038
152,New York City,41.89542096711595,40.936840303531696,42.71587454676417,43.94004329717909,42.678743253984855,45.33604982288797,41.44787348380163,42.482988830401844,39.908344472025966
153,North Country,86.26827717736809,78.46952010376135,93.76558603491272,68.01029159519726,81.67701863354037,62.796208530805686,54.347826086956516,100.0,36.36363636363637
154,Southern Tier,52.09003215434084,49.502262443438916,54.15762834417932,83.18397469688983,79.6116504854369,89.86384266263238,100.0,#DIV/0!,100.0
155,Western NY,50.10224948875256,41.202229299363054,66.07142857142857,59.067357512953365,51.79400590966653,66.68139637649139,71.54471544715447,61.622807017543856,100.0
