,puma,Unemployment_HSINC_score,FT_Work_HSINC_score,Poverty_HSINC_score,Working_Poor_HSINC_score,Rent_Burden_HSINC_score,Home_Ownership_HSINC_score,Income_level_HSINC_score,Overall_HSINC_score,Unemployment_HSINC_grade,FT_Work_HSINC_grade,Poverty_HSINC_grade,Working_Poor_HSINC_grade,Rent_Burden_HSINC_grade,Home_Ownership_HSINC_grade,Income_level_HSINC_grade,Overall_HSINC_grade
0,Total Geo,-0.00040085141453885444,0.01891175968062594,-0.16484157756853457,-0.04531223857131886,0.012845533384364064,-0.36727621397691673,-0.1234201626405585,-0.09564196444383964,C,C,C,C,C,C-,C,C
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.561440058101629,-1.682363374277947,-0.9101163302844639,1.0471212096087812,-0.9563869598966129,-1.0130836702493844,-0.22528099119608905,-0.45409572259915526,B-,D-,D,B,D,D,C,C-
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.561440058101629,1.052706414187616,0.3234308653713878,0.5975801222836015,0.5040889280039478,0.2638529294733027,-0.15894433060839955,0.449164998116155,B-,B,B-,B-,B-,B-,C,B-
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,-0.4600973057913137,-0.34044774173207853,-0.9896724307224355,-1.2199793212102246,0.21989690413542706,-0.8863033476549176,-0.057526831224321506,-0.5334471534571235,C-,C-,D,D,C,D,C,C-
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
5,Ontario & Yates Counties PUMA,0.561440058101629,1.052706414187616,-1.9214072590014675,-2.0413925570142126,#DIV/0!,2.002859496821803,-0.7797726965937085,#DIV/0!,B-,B,E,E,#DIV!0,A,D,#DIV!0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.561440058101629,1.052706414187616,-1.9214072590014675,-2.0413925570142126,#DIV/0!,2.002859496821803,-0.7499154509184521,#DIV/0!,B-,B,E,E,#DIV!0,A,C-,#DIV!0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,-0.5343995051346694,-0.20589194022905036,1.107759896680945,0.5139563136598663,0.7282529914360474,-0.6230776244302869,0.08479058472511708,0.153055816672567,C-,C,B,B-,B-,C-,C,C
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.561440058101629,-1.8850608494691385,-0.8651169873595173,1.0471212096087812,#DIV/0!,2.002859496821803,0.3462719974445341,#DIV/0!,B-,E,D,B,#DIV!0,A,B-,#DIV!0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.561440058101629,-1.0724869254789726,-1.9214072590014675,-2.0413925570142126,-2.385489656797321,-1.0130836702493844,-0.1399745749810707,-1.1446277979172572,B-,D,E,E,E,D,C,D
