,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",29987,15925,7149,8776,11711,5178,6533,2351,1297,1054
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",20589,6334,3699,2635,10741,5422,5319,3514,2192,1322
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,4558,3576,2152,1424,982,275,707,0,0,0
59,Albany County (East Central)--Albany City PUMA,2843,1631,426,1205,578,50,528,634,329,305
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,10684,5860,2642,3218,4011,1591,2420,813,424,389
61,Rensselaer County--Troy City PUMA,2796,1535,617,918,769,610,159,492,363,129
62,Warren & Washington Counties PUMA,994,381,208,173,498,140,358,115,115,0
63,Orange County (Northeast)--Greater Newburgh City PUMA,4046,1299,568,731,1485,553,932,1262,775,487
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",7222,3514,1476,2038,2993,1125,1868,715,402,313
65,Fulton & Montgomery Counties PUMA,663,442,181,261,221,47,174,0,0,0
66,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,37015,19145,9193,9952,13849,6283,7566,4021,2533,1488
67,Monroe County (Central)--Rochester City (East) PUMA,2444,401,51,350,1479,567,912,564,344,220
68,Chautauqua County PUMA,397,100,32,68,236,236,0,61,61,0
69,Nassau County (Northwest)--North Hempstead Town (North) PUMA,13172,7648,3341,4307,5164,3219,1945,360,38,322
70,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1771,760,252,508,367,127,240,644,550,94
71,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,25237,14630,6619,8011,9504,5198,4306,1103,613,490
72,Monroe County (Central)--Rochester City (West) PUMA,2902,865,636,229,1805,1117,688,232,232,0
73,Orange County (Southeast) PUMA,5214,2279,1313,966,2154,807,1347,781,547,234
74,Rockland County (North)--New City & Congers PUMA,10219,4077,1735,2342,4673,2201,2472,1469,780,689
75,Westchester County (Southeast) PUMA,18009,7604,4480,3124,7493,3667,3826,2912,1834,1078
76,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",17778,7906,4469,3437,6148,2887,3261,3724,1670,2054
77,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,7585,3363,1286,2077,3239,1546,1693,983,709,274
78,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,37680,17149,8903,8246,15858,9559,6299,4673,2702,1971
79,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",18111,6139,2913,3226,10296,5252,5044,1676,964,712
80,Onondaga County (Central)--Syracuse City (Outer) PUMA,2982,2009,1023,986,830,482,348,143,71,72
81,Wayne & Seneca Counties PUMA,1356,788,708,80,422,46,376,146,73,73
82,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",20413,5284,3342,1942,10228,5080,5148,4901,2564,2337
83,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,13928,5531,3069,2462,7076,4096,2980,1321,767,554
84,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,23930,8878,4012,4866,12790,6650,6140,2262,1314,948
