,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,5606510,2872917,2733593,5376920,2740663,2636257,229590,132254,97336,2657910,1230183,1427727,2590094,1196103,1393991,67816,34080,33736,2709434,1494285,1215149,2576949,1413057,1163892,132485,81228,51257,239166,148449,90717,209877,131503,78374,29289,16946,12343
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",30722,16191,14531,29334,15584,13750,1388,607,781,19846,9462,10384,18861,8907,9954,985,555,430,10421,6470,3951,10075,6418,3657,346,52,294,455,259,196,398,259,139,57,0,57
2,Ulster County (East) PUMA,55655,28971,26684,53492,27928,25564,2163,1043,1120,18442,7474,10968,17869,7474,10395,573,0,573,34843,20086,14757,33322,19061,14261,1521,1025,496,2370,1411,959,2301,1393,908,69,18,51
3,Albany County (East Central)--Albany City PUMA,32913,15982,16931,29663,15096,14567,3250,886,2364,15908,7886,8022,15436,7627,7809,472,259,213,15429,7571,7858,13544,6944,6600,1885,627,1258,1576,525,1051,683,525,158,893,0,893
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,37224,19465,17759,34800,17723,17077,2424,1742,682,11694,6214,5480,11334,5854,5480,360,360,0,23419,11396,12023,21864,10523,11341,1555,873,682,2111,1855,256,1602,1346,256,509,509,0
5,Ontario & Yates Counties PUMA,52675,25802,26873,51127,24595,26532,1548,1207,341,21581,8812,12769,21012,8243,12769,569,569,0,28892,15249,13643,28174,14848,13326,718,401,317,2202,1741,461,1941,1504,437,261,237,24
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,34463,18975,15488,32786,17845,14941,1677,1130,547,16097,7341,8756,15456,6972,8484,641,369,272,17843,11111,6732,16907,10450,6457,936,661,275,523,523,0,423,423,0,100,100,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,50753,25510,25243,48638,24205,24433,2115,1305,810,26762,12272,14490,26004,11993,14011,758,279,479,22626,12441,10185,21451,11504,9947,1175,937,238,1365,797,568,1183,708,475,182,89,93
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",59418,31916,27502,57809,30888,26921,1609,1028,581,18446,7047,11399,17968,6763,11205,478,284,194,38450,23149,15301,37446,22509,14937,1004,640,364,2522,1720,802,2395,1616,779,127,104,23
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,48803,25823,22980,47425,24638,22787,1378,1185,193,16501,8269,8232,16209,8104,8105,292,165,127,30615,16473,14142,29551,15475,14076,1064,998,66,1687,1081,606,1665,1059,606,22,22,0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",27964,11565,16399,24016,8928,15088,3948,2637,1311,5514,1864,3650,5306,1799,3507,208,65,143,18503,7737,10766,16482,6298,10184,2021,1439,582,3947,1964,1983,2228,831,1397,1719,1133,586
11,Livingston & Wyoming Counties PUMA,37259,19828,17431,36415,19249,17166,844,579,265,9181,3876,5305,9106,3876,5230,75,0,75,26538,15118,11420,25956,14697,11259,582,421,161,1540,834,706,1353,676,677,187,158,29
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,46414,20891,25523,44222,19870,24352,2192,1021,1171,35020,15091,19929,34556,15091,19465,464,0,464,9766,5205,4561,8241,4281,3960,1525,924,601,1628,595,1033,1425,498,927,203,97,106
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,30137,15857,14280,28871,14858,14013,1266,999,267,12250,4484,7766,11828,4278,7550,422,206,216,16774,10610,6164,15981,9817,6164,793,793,0,1113,763,350,1062,763,299,51,0,51
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,36888,18221,18667,34655,16799,17856,2233,1422,811,12977,6618,6359,12711,6497,6214,266,121,145,22561,11081,11480,20672,9780,10892,1889,1301,588,1350,522,828,1272,522,750,78,0,78
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,27936,15284,12652,26910,14814,12096,1026,470,556,22042,12083,9959,21295,11767,9528,747,316,431,5519,2998,2521,5240,2844,2396,279,154,125,375,203,172,375,203,172,0,0,0
16,Monroe County (Central)--Rochester City (East) PUMA,36606,18562,18044,33610,16392,17218,2996,2170,826,15876,7903,7973,15535,7687,7848,341,216,125,17471,9361,8110,15348,7608,7740,2123,1753,370,3259,1298,1961,2727,1097,1630,532,201,331
17,Westchester County (Northwest) PUMA,42500,21628,20872,41143,21383,19760,1357,245,1112,27111,12206,14905,26295,12119,14176,816,87,729,14551,9005,5546,14054,8847,5207,497,158,339,838,417,421,794,417,377,44,0,44
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,25389,9855,15534,23718,8397,15321,1671,1458,213,5653,1330,4323,5565,1242,4323,88,88,0,16870,7111,9759,15786,6240,9546,1084,871,213,2866,1414,1452,2367,915,1452,499,499,0
19,Onondaga County (Central)--Syracuse City PUMA,38488,20616,17872,35039,18581,16458,3449,2035,1414,11694,5208,6486,11268,5208,6060,426,0,426,23430,13500,9930,21093,11635,9458,2337,1865,472,3364,1908,1456,2678,1738,940,686,170,516
20,Westchester County (Northeast) PUMA,42566,23318,19248,41497,22708,18789,1069,610,459,31584,16476,15108,30972,16059,14913,612,417,195,10753,6613,4140,10296,6420,3876,457,193,264,229,229,0,229,229,0,0,0,0
21,Madison & Cortland Counties PUMA,42774,22557,20217,41187,21557,19630,1587,1000,587,12441,5139,7302,12186,5014,7172,255,125,130,27626,15115,12511,26631,14530,12101,995,585,410,2707,2303,404,2370,2013,357,337,290,47
22,Erie County (West Central)--Buffalo City (West) PUMA,37546,18341,19205,36210,17663,18547,1336,678,658,20974,8853,12121,20622,8853,11769,352,0,352,15152,8601,6551,14168,7923,6245,984,678,306,1420,887,533,1420,887,533,0,0,0
23,Monroe County (Central)--Rochester City (West) PUMA,25166,11863,13303,22843,9940,12903,2323,1923,400,6553,2770,3783,6360,2577,3783,193,193,0,16238,7558,8680,14587,6088,8499,1651,1470,181,2375,1535,840,1896,1275,621,479,260,219
24,Suffolk County (Central)--Islip Town (East) PUMA,39635,20759,18876,39021,20404,18617,614,355,259,18656,8043,10613,18310,7956,10354,346,87,259,20037,12376,7661,19903,12242,7661,134,134,0,942,340,602,808,206,602,134,134,0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,34777,18187,16590,34311,17933,16378,466,254,212,23113,11493,11620,22647,11239,11408,466,254,212,11153,6368,4785,11153,6368,4785,0,0,0,511,326,185,511,326,185,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",14125,7444,6681,12410,6539,5871,1715,905,810,3507,1559,1948,2982,1418,1564,525,141,384,8982,4739,4243,7931,4020,3911,1051,719,332,1636,1146,490,1497,1101,396,139,45,94
27,St. Lawrence County PUMA,36429,19128,17301,35077,18398,16679,1352,730,622,9939,4170,5769,9747,3978,5769,192,192,0,24905,14123,10782,24006,13823,10183,899,300,599,1585,835,750,1324,597,727,261,238,23
