,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,5693515,2906113,2787402,4778226,2588175,2190051,915289,317938,597351,2696646,1242617,1454029,2357248,1143271,1213977,339398,99346,240052,2753897,1511572,1242325,2245664,1327452,918212,508233,184120,324113,242972,151924,91048,175314,117452,57862,67658,34472,33186
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",30564,16112,14452,26257,13558,12699,4307,2554,1753,20034,9435,10599,17284,8002,9282,2750,1433,1317,10075,6418,3657,8575,5297,3278,1500,1121,379,455,259,196,398,259,139,57,0,57
2,Ulster County (East) PUMA,56944,29739,27205,45595,25528,20067,11349,4211,7138,18781,7605,11176,15402,6842,8560,3379,763,2616,35550,20429,15121,28187,17261,10926,7363,3168,4195,2613,1705,908,2006,1425,581,607,280,327
3,Albany County (East Central)--Albany City PUMA,32452,16239,16213,24909,13721,11188,7543,2518,5025,15851,8008,7843,13251,6712,6539,2600,1296,1304,15031,7706,7325,10975,6484,4491,4056,1222,2834,1570,525,1045,683,525,158,887,0,887
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,37142,19047,18095,30431,15879,14552,6711,3168,3543,11503,6023,5480,10701,5886,4815,802,137,665,23786,11427,12359,19201,9648,9553,4585,1779,2806,1853,1597,256,529,345,184,1324,1252,72
5,Ontario & Yates Counties PUMA,54206,26505,27701,44472,23323,21149,9734,3182,6552,22252,9097,13155,18103,7586,10517,4149,1511,2638,29628,15610,14018,24365,14034,10331,5263,1576,3687,2326,1798,528,2004,1703,301,322,95,227
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,35165,19398,15767,30260,17530,12730,4905,1868,3037,16364,7421,8943,14428,6952,7476,1936,469,1467,18137,11378,6759,15409,10155,5254,2728,1223,1505,664,599,65,423,423,0,241,176,65
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,50271,25057,25214,41154,22469,18685,9117,2588,6529,26525,12154,14371,22528,11631,10897,3997,523,3474,22474,12106,10368,17652,10041,7611,4822,2065,2757,1272,797,475,974,797,177,298,0,298
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",62534,33420,29114,51031,29186,21845,11503,4234,7269,19108,7230,11878,15917,6403,9514,3191,827,2364,40684,24227,16457,33028,21088,11940,7656,3139,4517,2742,1963,779,2086,1695,391,656,268,388
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,51723,28116,23607,42248,24291,17957,9475,3825,5650,16815,8396,8419,14527,7867,6660,2288,529,1759,32573,18053,14520,25961,15176,10785,6612,2877,3735,2335,1667,668,1760,1248,512,575,419,156
