,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,39291.0,18694.0,20597.0,37397.0,18023.0,19374.0,1894.0,671.0,1223.0,23486.0,11221.0,12265.0,22083.0,10757.0,11326.0,1403.0,464.0,939.0,14957.0,6889.0,8068.0,14604.0,6820.0,7784.0,353.0,69.0,284.0,848.0,584.0,264.0,710.0,446.0,264.0,138.0,138.0,0.0
95,Oswego County PUMA,58947.0,30030.0,28917.0,45772.0,23429.0,22343.0,13175.0,6601.0,6574.0,12217.0,5830.0,6387.0,10488.0,4878.0,5610.0,1729.0,952.0,777.0,40544.0,20608.0,19936.0,31979.0,16436.0,15543.0,8565.0,4172.0,4393.0,6186.0,3592.0,2594.0,3305.0,2115.0,1190.0,2881.0,1477.0,1404.0
96,Rensselaer County--Troy City PUMA,78443.0,38533.0,39910.0,52201.0,26117.0,26084.0,26242.0,12416.0,13826.0,24378.0,11243.0,13135.0,18877.0,8297.0,10580.0,5501.0,2946.0,2555.0,46790.0,23008.0,23782.0,30741.0,15803.0,14938.0,16049.0,7205.0,8844.0,7275.0,4282.0,2993.0,2583.0,2017.0,566.0,4692.0,2265.0,2427.0
97,Saratoga County (Outer) PUMA,61828.0,31888.0,29940.0,49331.0,25575.0,23756.0,12497.0,6313.0,6184.0,21546.0,10226.0,11320.0,19031.0,9528.0,9503.0,2515.0,698.0,1817.0,37290.0,19412.0,17878.0,28530.0,14896.0,13634.0,8760.0,4516.0,4244.0,2992.0,2250.0,742.0,1770.0,1151.0,619.0,1222.0,1099.0,123.0
98,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,54854.0,27336.0,27518.0,41940.0,20526.0,21414.0,12914.0,6810.0,6104.0,12602.0,4972.0,7630.0,10287.0,4409.0,5878.0,2315.0,563.0,1752.0,38101.0,20148.0,17953.0,28748.0,14114.0,14634.0,9353.0,6034.0,3319.0,4151.0,2216.0,1935.0,2905.0,2003.0,902.0,1246.0,213.0,1033.0
99,Monroe County (East) PUMA,65761.0,32687.0,33074.0,57051.0,28129.0,28922.0,8710.0,4558.0,4152.0,35306.0,16144.0,19162.0,31336.0,14468.0,16868.0,3970.0,1676.0,2294.0,28984.0,15394.0,13590.0,24819.0,13087.0,11732.0,4165.0,2307.0,1858.0,1471.0,1149.0,322.0,896.0,574.0,322.0,575.0,575.0,0.0
100,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",41698.0,21283.0,20415.0,32201.0,16166.0,16035.0,9497.0,5117.0,4380.0,14908.0,6313.0,8595.0,12598.0,4883.0,7715.0,2310.0,1430.0,880.0,23673.0,13227.0,10446.0,17416.0,10041.0,7375.0,6257.0,3186.0,3071.0,3117.0,1743.0,1374.0,2187.0,1242.0,945.0,930.0,501.0,429.0
101,Erie County (South) PUMA,85126.0,41364.0,43762.0,67278.0,33104.0,34174.0,17848.0,8260.0,9588.0,32096.0,14082.0,18014.0,27857.0,12032.0,15825.0,4239.0,2050.0,2189.0,50005.0,24772.0,25233.0,37546.0,19558.0,17988.0,12459.0,5214.0,7245.0,3025.0,2510.0,515.0,1875.0,1514.0,361.0,1150.0,996.0,154.0
102,Monroe County (Central)--Greece & Gates Towns PUMA,55696.0,25492.0,30204.0,42705.0,20106.0,22599.0,12991.0,5386.0,7605.0,19314.0,8993.0,10321.0,15923.0,7314.0,8609.0,3391.0,1679.0,1712.0,34218.0,15635.0,18583.0,25707.0,12207.0,13500.0,8511.0,3428.0,5083.0,2164.0,864.0,1300.0,1075.0,585.0,490.0,1089.0,279.0,810.0
103,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,71929.0,34451.0,37478.0,26222.0,11948.0,14274.0,45707.0,22503.0,23204.0,61310.0,28444.0,32866.0,24193.0,10763.0,13430.0,37117.0,17681.0,19436.0,8777.0,5053.0,3724.0,1746.0,1185.0,561.0,7031.0,3868.0,3163.0,1842.0,954.0,888.0,283.0,0.0,283.0,1559.0,954.0,605.0
104,NYC-Manhattan Community District 11--East Harlem PUMA,41607.0,19300.0,22307.0,2576.0,839.0,1737.0,39031.0,18461.0,20570.0,16946.0,6943.0,10003.0,1469.0,537.0,932.0,15477.0,6406.0,9071.0,18562.0,7594.0,10968.0,1107.0,302.0,805.0,17455.0,7292.0,10163.0,6099.0,4763.0,1336.0,0.0,0.0,0.0,6099.0,4763.0,1336.0
105,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",38788.0,19216.0,19572.0,24199.0,11914.0,12285.0,14589.0,7302.0,7287.0,16597.0,8070.0,8527.0,11957.0,5836.0,6121.0,4640.0,2234.0,2406.0,18698.0,9992.0,8706.0,10485.0,5382.0,5103.0,8213.0,4610.0,3603.0,3493.0,1154.0,2339.0,1757.0,696.0,1061.0,1736.0,458.0,1278.0
106,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,68186.0,37164.0,31022.0,12214.0,6316.0,5898.0,55972.0,30848.0,25124.0,44547.0,24207.0,20340.0,7954.0,3987.0,3967.0,36593.0,20220.0,16373.0,17395.0,9938.0,7457.0,3859.0,2192.0,1667.0,13536.0,7746.0,5790.0,6244.0,3019.0,3225.0,401.0,137.0,264.0,5843.0,2882.0,2961.0
107,Onondaga County (North) PUMA,61014.0,29834.0,31180.0,48548.0,24138.0,24410.0,12466.0,5696.0,6770.0,25582.0,11405.0,14177.0,21961.0,10199.0,11762.0,3621.0,1206.0,2415.0,32467.0,17009.0,15458.0,25374.0,13508.0,11866.0,7093.0,3501.0,3592.0,2965.0,1420.0,1545.0,1213.0,431.0,782.0,1752.0,989.0,763.0
108,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,37395.0,19899.0,17496.0,13168.0,6495.0,6673.0,24227.0,13404.0,10823.0,18048.0,8224.0,9824.0,7885.0,3660.0,4225.0,10163.0,4564.0,5599.0,16504.0,9207.0,7297.0,4617.0,2169.0,2448.0,11887.0,7038.0,4849.0,2843.0,2468.0,375.0,666.0,666.0,0.0,2177.0,1802.0,375.0
109,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",41157.0,21162.0,19995.0,32497.0,16085.0,16412.0,8660.0,5077.0,3583.0,22650.0,10667.0,11983.0,19142.0,8990.0,10152.0,3508.0,1677.0,1831.0,16919.0,9941.0,6978.0,12160.0,6717.0,5443.0,4759.0,3224.0,1535.0,1588.0,554.0,1034.0,1195.0,378.0,817.0,393.0,176.0,217.0
110,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,17307.0,7407.0,9900.0,4389.0,2128.0,2261.0,12918.0,5279.0,7639.0,5042.0,2845.0,2197.0,1857.0,827.0,1030.0,3185.0,2018.0,1167.0,7931.0,2769.0,5162.0,1943.0,851.0,1092.0,5988.0,1918.0,4070.0,4334.0,1793.0,2541.0,589.0,450.0,139.0,3745.0,1343.0,2402.0
111,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",23996.0,13256.0,10740.0,1519.0,600.0,919.0,22477.0,12656.0,9821.0,4914.0,1873.0,3041.0,891.0,278.0,613.0,4023.0,1595.0,2428.0,13932.0,8252.0,5680.0,628.0,322.0,306.0,13304.0,7930.0,5374.0,5150.0,3131.0,2019.0,0.0,0.0,0.0,5150.0,3131.0,2019.0
112,Erie County (Northeast) PUMA,57456.0,29508.0,27948.0,48824.0,24609.0,24215.0,8632.0,4899.0,3733.0,25240.0,11682.0,13558.0,23573.0,11020.0,12553.0,1667.0,662.0,1005.0,31203.0,16846.0,14357.0,24428.0,12799.0,11629.0,6775.0,4047.0,2728.0,1013.0,980.0,33.0,823.0,790.0,33.0,190.0,190.0,0.0
113,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,52618.0,22581.0,30037.0,12818.0,5815.0,7003.0,39800.0,16766.0,23034.0,31004.0,12305.0,18699.0,8380.0,3344.0,5036.0,22624.0,8961.0,13663.0,18129.0,8675.0,9454.0,4006.0,2232.0,1774.0,14123.0,6443.0,7680.0,3485.0,1601.0,1884.0,432.0,239.0,193.0,3053.0,1362.0,1691.0
114,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,21817.0,12380.0,9437.0,11517.0,5931.0,5586.0,10300.0,6449.0,3851.0,8833.0,4267.0,4566.0,4845.0,2289.0,2556.0,3988.0,1978.0,2010.0,11886.0,7245.0,4641.0,6205.0,3405.0,2800.0,5681.0,3840.0,1841.0,1098.0,868.0,230.0,467.0,237.0,230.0,631.0,631.0,0.0
115,Fulton & Montgomery Counties PUMA,49782.0,24914.0,24868.0,36807.0,18099.0,18708.0,12975.0,6815.0,6160.0,9294.0,4030.0,5264.0,8148.0,3656.0,4492.0,1146.0,374.0,772.0,35329.0,18324.0,17005.0,25526.0,13267.0,12259.0,9803.0,5057.0,4746.0,5159.0,2560.0,2599.0,3133.0,1176.0,1957.0,2026.0,1384.0,642.0
116,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,52428.0,24720.0,27708.0,37195.0,17132.0,20063.0,15233.0,7588.0,7645.0,12270.0,5304.0,6966.0,10021.0,4169.0,5852.0,2249.0,1135.0,1114.0,36352.0,16735.0,19617.0,25477.0,11593.0,13884.0,10875.0,5142.0,5733.0,3806.0,2681.0,1125.0,1697.0,1370.0,327.0,2109.0,1311.0,798.0
117,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",47907.0,24490.0,23417.0,38184.0,19241.0,18943.0,9723.0,5249.0,4474.0,8998.0,3473.0,5525.0,7998.0,3154.0,4844.0,1000.0,319.0,681.0,35259.0,19065.0,16194.0,27230.0,14620.0,12610.0,8029.0,4445.0,3584.0,3650.0,1952.0,1698.0,2956.0,1467.0,1489.0,694.0,485.0,209.0
