,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,189459,103953,85506,184776,102149,82627,4683,1804,2879,51047,24353,26694,49783,23675,26108,1264,678,586,106822,58967,47855,104145,58374,45771,2677,593,2084,31590,20633,10957,30848,20100,10748,742,533,209
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1259,462,797,1259,462,797,0,0,0,797,199,598,797,199,598,0,0,0,462,263,199,462,263,199,0,0,0,0,0,0,0,0,0,0,0,0
2,Ulster County (East) PUMA,587,100,487,587,100,487,0,0,0,117,17,100,117,17,100,0,0,0,77,0,77,77,0,77,0,0,0,393,83,310,393,83,310,0,0,0
3,Albany County (East Central)--Albany City PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,318,0,318,176,0,176,142,0,142,176,0,176,176,0,176,0,0,0,142,0,142,0,0,0,142,0,142,0,0,0,0,0,0,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,375,102,273,375,102,273,0,0,0,102,102,0,102,102,0,0,0,0,273,0,273,273,0,273,0,0,0,0,0,0,0,0,0,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3152,2168,984,3019,2168,851,133,0,133,883,823,60,883,823,60,0,0,0,1823,977,846,1690,977,713,133,0,133,446,368,78,446,368,78,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,46,0,46,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,46,0,46,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",1946,1244,702,1889,1187,702,57,57,0,946,946,0,946,946,0,0,0,0,399,298,101,342,241,101,57,57,0,601,0,601,601,0,601,0,0,0
11,Livingston & Wyoming Counties PUMA,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,21,21,0,0,0,0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,430,430,0,430,430,0,0,0,0,157,157,0,157,157,0,0,0,0,273,273,0,273,273,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,2248,1302,946,2137,1191,946,111,111,0,478,166,312,478,166,312,0,0,0,496,363,133,496,363,133,0,0,0,1274,773,501,1163,662,501,111,111,0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,61,61,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1334,702,632,1334,702,632,0,0,0,347,220,127,347,220,127,0,0,0,561,197,364,561,197,364,0,0,0,426,285,141,426,285,141,0,0,0
16,Monroe County (Central)--Rochester City (East) PUMA,243,0,243,243,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,243,243,0,243,0,0,0
