,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,223158.0,112979.0,110179.0,97923.0,49647.0,48276.0,125235.0,63332.0,61903.0,57970.0,26027.0,31943.0,29193.0,12816.0,16377.0,28777.0,13211.0,15566.0,123434.0,62944.0,60490.0,52299.0,26530.0,25769.0,71135.0,36414.0,34721.0,41754.0,24008.0,17746.0,16431.0,10301.0,6130.0,25323.0,13707.0,11616.0
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1186.0,508.0,678.0,275.0,138.0,137.0,911.0,370.0,541.0,724.0,245.0,479.0,138.0,138.0,0.0,586.0,107.0,479.0,462.0,263.0,199.0,137.0,0.0,137.0,325.0,263.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Ulster County (East) PUMA,674.0,100.0,574.0,281.0,17.0,264.0,393.0,83.0,310.0,204.0,17.0,187.0,204.0,17.0,187.0,0.0,0.0,0.0,77.0,0.0,77.0,77.0,0.0,77.0,0.0,0.0,0.0,393.0,83.0,310.0,0.0,0.0,0.0,393.0,83.0,310.0
3,Albany County (East Central)--Albany City PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,318.0,0.0,318.0,318.0,0.0,318.0,0.0,0.0,0.0,176.0,0.0,176.0,176.0,0.0,176.0,0.0,0.0,0.0,142.0,0.0,142.0,142.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,634.0,102.0,532.0,501.0,102.0,399.0,133.0,0.0,133.0,102.0,102.0,0.0,102.0,102.0,0.0,0.0,0.0,0.0,406.0,0.0,406.0,273.0,0.0,273.0,133.0,0.0,133.0,126.0,0.0,126.0,126.0,0.0,126.0,0.0,0.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3701.0,2377.0,1324.0,2782.0,1743.0,1039.0,919.0,634.0,285.0,883.0,823.0,60.0,613.0,553.0,60.0,270.0,270.0,0.0,2323.0,1186.0,1137.0,1674.0,822.0,852.0,649.0,364.0,285.0,495.0,368.0,127.0,495.0,368.0,127.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,46.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",2504.0,1461.0,1043.0,0.0,0.0,0.0,2504.0,1461.0,1043.0,1265.0,1050.0,215.0,0.0,0.0,0.0,1265.0,1050.0,215.0,638.0,411.0,227.0,0.0,0.0,0.0,638.0,411.0,227.0,601.0,0.0,601.0,0.0,0.0,0.0,601.0,0.0,601.0
11,Livingston & Wyoming Counties PUMA,21.0,21.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,430.0,430.0,0.0,0.0,0.0,0.0,430.0,430.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,157.0,0.0,273.0,273.0,0.0,0.0,0.0,0.0,273.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,2248.0,1302.0,946.0,1999.0,1053.0,946.0,249.0,249.0,0.0,478.0,166.0,312.0,478.0,166.0,312.0,0.0,0.0,0.0,496.0,363.0,133.0,281.0,148.0,133.0,215.0,215.0,0.0,1274.0,773.0,501.0,1240.0,739.0,501.0,34.0,34.0,0.0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,61.0,61.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1393.0,702.0,691.0,932.0,394.0,538.0,461.0,308.0,153.0,347.0,220.0,127.0,347.0,220.0,127.0,0.0,0.0,0.0,561.0,197.0,364.0,538.0,174.0,364.0,23.0,23.0,0.0,485.0,285.0,200.0,47.0,0.0,47.0,438.0,285.0,153.0
16,Monroe County (Central)--Rochester City (East) PUMA,301.0,0.0,301.0,276.0,0.0,276.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,301.0,276.0,0.0,276.0,25.0,0.0,25.0
17,Westchester County (Northwest) PUMA,2433.0,849.0,1584.0,1099.0,287.0,812.0,1334.0,562.0,772.0,380.0,153.0,227.0,224.0,153.0,71.0,156.0,0.0,156.0,1629.0,495.0,1134.0,875.0,134.0,741.0,754.0,361.0,393.0,424.0,201.0,223.0,0.0,0.0,0.0,424.0,201.0,223.0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,989.0,898.0,91.0,131.0,131.0,0.0,858.0,767.0,91.0,570.0,570.0,0.0,131.0,131.0,0.0,439.0,439.0,0.0,277.0,186.0,91.0,0.0,0.0,0.0,277.0,186.0,91.0,142.0,142.0,0.0,0.0,0.0,0.0,142.0,142.0,0.0
19,Onondaga County (Central)--Syracuse City PUMA,175.0,110.0,65.0,65.0,0.0,65.0,110.0,110.0,0.0,65.0,0.0,65.0,65.0,0.0,65.0,0.0,0.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Westchester County (Northeast) PUMA,1161.0,477.0,684.0,929.0,339.0,590.0,232.0,138.0,94.0,295.0,0.0,295.0,201.0,0.0,201.0,94.0,0.0,94.0,414.0,138.0,276.0,276.0,0.0,276.0,138.0,138.0,0.0,452.0,339.0,113.0,452.0,339.0,113.0,0.0,0.0,0.0
21,Madison & Cortland Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
