,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,19140,9387,9753,69826.74179728318,83964,56219,7633,3221,4412,77575.2689637102,93837,65703,10377,5238,5139,67419.01416594391,85384,49107,1130,928,202,39597.0796460177,41686,30000
51,Erie County (North Central) PUMA,31053,16663,14390,83644.63034167391,89359,77026,20127,10145,9982,91034.01977443235,99086,82850,9988,5580,4408,73850.2593111734,81759,63838,938,938,0,29380.170575692962,29380,0
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",37883,19898,17985,76163.91415674577,90787,59984,16592,7423,9169,89889.42864030859,110885,72891,20198,11730,8468,66292.65075750074,80809,46184,1093,745,348,50222.506861848124,47641,55747
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",14344,7519,6825,81594.54029559398,89332,73069,11987,5725,6262,82891.50996913323,95056,71769,2357,1794,563,74998.53882053458,71065,87531,0,0,0,#DIV/0!,0,0
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,48750,24625,24125,168415.2196923077,198968,137228,44528,22432,22096,172020.76693316564,199211,144416,4222,2193,2029,130388.737565135,196486,58948,0,0,0,#DIV/0!,0,0
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",19469,10610,8859,75202.30006677282,86120,62125,8633,4291,4342,97220.02548360941,119309,75390,10204,5998,4206,59031.40925127401,64593,51100,632,321,311,35532.59493670886,44719,26050
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",10579,6220,4359,77388.03799981094,87403,63096,5360,3168,2192,90509.07910447761,104986,69584,5068,2901,2167,64835.12036306235,71035,56534,151,151,0,32947.01986754967,32947,0
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",550,338,212,50101.818181818184,33715,76226,398,186,212,60834.17085427135,43290,76226,152,152,0,22000.0,22000,0,0,0,0,#DIV/0!,0,0
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,26397,15947,10450,99839.82422244952,116780,73988,14180,7969,6211,125528.70310296192,155849,86626,11882,7643,4239,71256.76064635583,80011,55470,335,335,0,26274.626865671642,26274,0
59,Albany County (East Central)--Albany City PUMA,20257,10667,9590,63131.18270227576,65584,60402,10143,4647,5496,74659.94459232969,90253,61475,9791,5827,3964,51901.45541824124,47025,59069,323,193,130,41502.78637770898,31939,55700
