,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
60,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,8445,3153,1251,1902,3908,1934,1974,1384,725,659
61,Schenectady County--Schenectady City PUMA,4081,293,160,133,3115,1719,1396,673,245,428
62,NYC-Queens Community District 1--Astoria & Long Island City PUMA,10938,4675,2419,2256,5424,2769,2655,839,210,629
63,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2640,1506,754,752,1001,323,678,133,133,0
64,Fulton & Montgomery Counties PUMA,4595,360,63,297,3234,1522,1712,1001,929,72
65,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,7906,963,297,666,3803,2063,1740,3140,1086,2054
66,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",2723,1336,968,368,1350,383,967,37,0,37
67,Oswego County PUMA,1735,283,0,283,1260,896,364,192,192,0
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",26886,10565,4889,5676,13875,9134,4741,2446,1630,816
69,Monroe County (Central)--Rochester City (East) PUMA,10288,1139,448,691,6259,3204,3055,2890,945,1945
70,Westchester County (Northeast) PUMA,3713,1922,790,1132,1505,643,862,286,87,199
71,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",28747,2414,696,1718,18046,9440,8606,8287,4125,4162
72,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",8145,1418,698,720,5687,3087,2600,1040,293,747
73,Onondaga County (North) PUMA,1049,361,0,361,627,439,188,61,61,0
74,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,3364,549,0,549,1865,1070,795,950,354,596
75,Monroe County (South) PUMA,2016,534,218,316,1482,649,833,0,0,0
76,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",4254,1816,1297,519,1449,225,1224,989,291,698
77,Rensselaer County--Troy City PUMA,2105,342,230,112,1323,538,785,440,234,206
78,Suffolk County (Central)--Islip Town (East) PUMA,1918,795,358,437,1123,447,676,0,0,0
79,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,5106,2315,941,1374,2646,1050,1596,145,145,0
80,Ontario & Yates Counties PUMA,2045,444,258,186,1181,548,633,420,420,0
81,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,6018,1783,1027,756,3207,2065,1142,1028,627,401
82,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,2641,820,104,716,1821,1184,637,0,0,0
83,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",12499,4105,1523,2582,6131,3039,3092,2263,805,1458
84,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",1069,332,281,51,737,261,476,0,0,0
85,Chautauqua County PUMA,3063,206,0,206,1911,790,1121,946,546,400
86,Orange County (Southeast) PUMA,5820,1740,905,835,3890,2464,1426,190,87,103
87,Monroe County (East) PUMA,3339,287,0,287,2027,1085,942,1025,478,547
88,Broome (Outer West) & Tioga Counties PUMA,1162,124,124,0,625,625,0,413,413,0
89,Suffolk County (East) PUMA,1192,87,26,61,1008,801,207,97,97,0
90,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",8446,839,447,392,5870,2367,3503,1737,1097,640
91,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,4334,587,239,348,1875,714,1161,1872,1140,732
92,Albany County (Outside Albany City) PUMA,2462,1286,330,956,582,118,464,594,258,336
93,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",17510,1607,152,1455,10022,3910,6112,5881,3536,2345
94,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",9303,1893,1061,832,6618,2861,3757,792,423,369
95,Nassau County (West Central)--Hempstead Town (West Central) PUMA,6203,1739,728,1011,3329,1443,1886,1135,935,200
96,Erie County (West Central)--Buffalo City (East) PUMA,3411,803,329,474,1735,729,1006,873,332,541
97,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,4108,2521,1187,1334,1307,721,586,280,204,76
98,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",8342,2577,540,2037,5531,2903,2628,234,172,62
99,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",17880,3965,972,2993,11521,5491,6030,2394,710,1684
100,Madison & Cortland Counties PUMA,598,318,18,300,280,65,215,0,0,0
101,Nassau County (Central)--Hempstead Town (East Central) PUMA,1373,705,401,304,614,286,328,54,54,0
102,Nassau County (West Central)--North Hempstead Town (South) PUMA,3923,1687,1300,387,2236,1019,1217,0,0,0
103,Westchester County (Central)--White Plains City PUMA,7464,3089,1601,1488,3055,2306,749,1320,553,767
104,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",4813,1054,281,773,2951,1575,1376,808,101,707
105,Suffolk County (Northwest)--Huntington Town (South) PUMA,2119,427,0,427,1692,976,716,0,0,0
106,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,15801,3149,883,2266,9065,3654,5411,3587,2263,1324
107,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,4139,82,82,0,2197,996,1201,1860,688,1172
108,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,10110,2117,1090,1027,4303,2359,1944,3690,1378,2312
109,Suffolk County (Northwest)--Huntington Town (North) PUMA,3063,771,566,205,2222,715,1507,70,0,70
110,Suffolk County (Southwest)--Islip Town (South) PUMA,6314,2164,991,1173,3436,2726,710,714,566,148
111,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",1830,231,81,150,1445,645,800,154,137,17
112,Ulster County (East) PUMA,4695,906,569,337,3469,2406,1063,320,178,142
113,NYC-Manhattan Community District 10--Central Harlem PUMA,11808,3624,2312,1312,4507,1807,2700,3677,2629,1048
114,NYC-Brooklyn Community District 4--Bushwick PUMA,15540,2486,906,1580,7368,2286,5082,5686,2324,3362
115,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",2467,1411,693,718,776,189,587,280,241,39
116,Oneida County (Central)--Greater Utica & Rome Cities PUMA,3567,158,29,129,2137,1140,997,1272,426,846
117,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",29846,3452,1455,1997,20792,9284,11508,5602,2404,3198
118,Erie County (Central) PUMA,2407,470,307,163,820,601,219,1117,643,474
119,Livingston & Wyoming Counties PUMA,1188,158,158,0,981,779,202,49,20,29
120,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,2270,577,93,484,1693,823,870,0,0,0
121,Niagara County (North & East) PUMA,1181,337,106,231,722,307,415,122,122,0
122,Westchester County (Southwest)--Yonkers City PUMA,14433,4807,1499,3308,7609,5122,2487,2017,1329,688
123,Sullivan & Ulster (West) Counties PUMA,4158,795,278,517,2372,1710,662,991,581,410
124,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",2160,571,260,311,1479,638,841,110,110,0
125,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,7640,1173,590,583,5110,3074,2036,1357,418,939
126,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",17838,2535,1130,1405,9702,5679,4023,5601,4037,1564
127,NYC-Manhattan Community District 11--East Harlem PUMA,18174,2560,903,1657,11058,4374,6684,4556,1831,2725
128,Westchester County (Southeast) PUMA,2519,735,187,548,1518,1077,441,266,266,0
129,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,1051,57,57,0,986,425,561,8,8,0
130,Erie County (Northeast) PUMA,1611,210,93,117,565,430,135,836,836,0
131,Monroe County (Central)--Greece & Gates Towns PUMA,2802,601,272,329,1489,1004,485,712,588,124
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,5972,1438,616,822,4016,2348,1668,518,419,99
133,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",15786,4135,1657,2478,9743,3508,6235,1908,1219,689
134,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",3049,2459,955,1504,497,0,497,93,0,93
135,Albany County (East Central)--Albany City PUMA,2516,723,100,623,1290,641,649,503,328,175
136,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",7340,1891,1027,864,5233,3386,1847,216,216,0
137,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,7534,1462,625,837,5553,2515,3038,519,176,343
138,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,8170,1917,1344,573,4818,2816,2002,1435,860,575
