,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,267365,158604,108761,82902.59903502703,93638.89496481804,67246.07252599737,154374,81366,73008,105345.17475740734,129290.93459184426,78658.08985316678,96805,64879,31926,51822.86548215485,55561.42701028068,44225.4798596755,16186,12359,3827,54737.7295193377,58811.17323408043,41582.85863600732
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",1224,494,730,95180.22875816993,103663.56275303644,89439.45205479451,1224,494,730,95180.22875816993,103663.56275303644,89439.45205479451,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
2,Tompkins County PUMA,922,520,402,132609.4360086768,205819.23076923078,37910.199004975126,922,520,402,132609.4360086768,205819.23076923078,37910.199004975126,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,2640,2170,470,156517.14772727274,147113.94930875575,199931.914893617,891,569,322,325704.8260381594,354859.40246045694,274186.3354037267,1661,1601,60,71933.9373871162,73280.6183635228,36000.0,88,0,88,40000.0,0.0,40000.0
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",2648,2066,582,50946.525679758306,53662.53630203292,41305.154639175256,826,626,200,67629.53995157385,67006.38977635783,69580.0,1220,924,296,34362.62295081967,37299.5670995671,25194.594594594593,602,516,86,61664.45182724253,66775.19379844962,31000.0
5,Madison & Cortland Counties PUMA,383,173,210,166204.96083550915,341419.0751445087,21861.904761904763,297,173,124,213173.40067340067,341419.0751445087,34250.0,86,0,86,4000.0,0.0,4000.0,0,0,0,#DIV/0!,0.0,0.0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,34,34,0,71000.0,71000.0,0.0,0,0,0,#DIV/0!,0.0,0.0,34,34,0,71000.0,71000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
7,Dutchess County (Southwest) PUMA,354,310,44,31384.18079096045,20935.483870967742,105000.0,44,0,44,105000.0,0.0,105000.0,310,310,0,20935.483870967742,20935.483870967742,0.0,0,0,0,#DIV/0!,0.0,0.0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",853,634,219,54479.484173505276,50173.50157728707,66945.20547945205,117,0,117,73000.0,0.0,73000.0,736,634,102,51535.32608695652,50173.50157728707,60000.0,0,0,0,#DIV/0!,0.0,0.0
9,Dutchess County (North & East) PUMA,795,424,371,73091.82389937107,100297.16981132075,42000.0,62,62,0,57000.0,57000.0,0.0,733,362,371,74452.93315143247,107712.70718232045,42000.0,0,0,0,#DIV/0!,0.0,0.0
10,Erie County (Central) PUMA,1463,507,956,37072.686261107316,25093.88560157791,43425.460251046024,401,0,401,62015.56109725686,0.0,62015.56109725686,935,445,490,26704.919786096256,21623.8202247191,31319.38775510204,127,62,65,34645.669291338585,50000.0,20000.0
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1377,758,619,71405.80973129993,86341.42480211082,53116.31663974152,764,411,353,85994.50261780104,105744.03892944039,63000.0,379,225,154,58168.8654353562,70604.44444444444,40000.0,234,122,112,45213.67521367521,50000.0,40000.0
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",362,170,192,171901.65745856354,55672.94117647059,274812.5,131,47,84,408687.0229007634,90000.0,587000.0,28,28,0,12800.0,12800.0,0.0,203,95,108,41044.33497536946,51326.31578947369,32000.0
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,2804,1836,968,57109.5577746077,61997.05882352941,47839.46280991736,1996,1421,575,60048.947895791585,71076.07318789585,32797.565217391304,808,415,393,49848.39108910891,30909.63855421687,69847.3282442748,0,0,0,#DIV/0!,0.0,0.0
14,Westchester County (Northeast) PUMA,1740,1217,523,108611.6091954023,120641.08463434676,80619.50286806883,1285,762,523,133522.9571984436,169833.33333333334,80619.50286806883,379,379,0,31892.348284960422,31892.348284960422,0.0,76,76,0,70000.0,70000.0,0.0
