,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
19,Dutchess County (Southwest) PUMA,5964,3203,2761,66904.54929577465,66735.90384014985,67100.19268381021,3238,1470,1768,93014.80296479308,98856.19047619047,88157.99321266968,2000,1007,993,35596.95,41503.07845084409,29607.552870090636,726,726,0,36698.20936639119,36698.20936639119,0.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,19321,12051,7270,52203.788520262926,55494.571238901335,46748.87482806052,7872,4473,3399,61380.66056910569,73560.56338028169,45352.209473374525,9441,5879,3562,46253.47929244783,47105.77955434598,44846.77709152162,2008,1699,309,44204.05378486056,36959.27015891701,84038.64077669903
21,Westchester County (Northwest) PUMA,10090,7283,2807,56622.52725470763,56354.29081422491,57318.48949055932,3936,1989,1947,79237.06808943089,89978.48164906989,68263.94453004622,4063,3499,564,42773.270982032984,44565.561589025434,31654.078014184397,2091,1795,296,40964.32329029173,42075.87743732591,34223.64864864865
22,Albany County (Outside Albany City) PUMA,6741,3640,3101,74115.51105177273,95254.13736263737,49302.67655594969,4156,2316,1840,92889.59576515881,122454.47322970639,55676.413043478264,2138,1324,814,48279.700654817585,47674.093655589124,49264.74201474201,447,0,447,23135.346756152125,0.0,23135.346756152125
23,Monroe County (South) PUMA,5168,3067,2101,84250.76431888544,89377.63286599283,76766.65873393622,4286,2383,1903,92882.9328044797,100469.78598405371,83382.42249080399,525,327,198,28661.14285714286,38033.94495412844,13181.818181818182,357,357,0,62365.82633053221,62365.82633053221,0.0
24,Jefferson & Lewis Counties PUMA,1694,1214,480,50999.409681227866,57462.10873146623,34654.166666666664,1393,944,449,57676.95620961953,67784.95762711864,36425.389755011136,301,270,31,20096.345514950168,21370.37037037037,9000.0,0,0,0,#DIV/0!,0.0,0.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",839,358,481,44827.17520858165,49664.804469273746,41226.611226611225,154,0,154,52857.142857142855,0.0,52857.142857142855,644,317,327,44487.57763975155,53501.57728706625,35749.23547400611,41,41,0,20000.0,20000.0,0.0
26,Erie County (Central) PUMA,2315,1665,650,37519.5939524838,40983.81981981982,28645.846153846152,655,390,265,53480.916030534354,65874.35897435897,35241.50943396227,1557,1275,282,32096.249197174053,33370.2431372549,26336.17021276596,103,0,103,18000.0,0.0,18000.0
27,St. Lawrence County PUMA,806,694,112,45945.4094292804,47171.469740634006,38348.21428571428,148,148,0,65027.02702702703,65027.02702702703,0.0,658,546,112,41653.495440729486,42331.50183150183,38348.21428571428,0,0,0,#DIV/0!,0.0,0.0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",16136,8687,7449,50091.38262270699,59045.71773915045,39648.865619546246,8532,3990,4542,68532.23277074542,90758.05764411027,49007.56494936151,4611,2793,1818,38377.67078724789,40798.06659505908,34659.207920792076,2993,1904,1089,15569.027731373204,19357.405462184874,8945.454545454546
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,4100,2776,1324,91272.09268292683,87350.3962536023,99494.62235649547,2624,1792,832,112436.69207317074,104750.22321428571,128992.16346153847,1069,577,492,64445.27595884004,77092.89428076257,49612.60162601626,407,407,0,25281.81818181818,25281.81818181818,0.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,13648,7534,6114,69271.6126905041,66111.54101406955,73165.62315996074,6216,3427,2789,91624.63803088803,93909.93580391012,88816.56507708855,5567,3014,2553,59757.610921501706,49844.724618447246,71460.4857030944,1865,1093,772,23168.686327077747,23808.783165599267,22262.43523316062
31,Cayuga & Onondaga (South) Counties PUMA,974,737,237,41067.35112936345,39037.72048846676,47378.9029535865,608,371,237,38769.07894736842,33269.00269541779,47378.9029535865,366,366,0,44885.24590163935,44885.24590163935,0.0,0,0,0,#DIV/0!,0.0,0.0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,2465,1003,1462,77235.78093306288,117568.49451645065,49565.6634746922,951,582,369,132575.39432176657,157510.6529209622,93246.61246612466,1412,319,1093,41931.30311614731,66300.94043887148,34818.847209515094,102,102,0,50000.0,50000.0,0.0
33,Fulton & Montgomery Counties PUMA,357,43,314,24812.885154061623,35000.0,23417.834394904457,205,0,205,9218.048780487805,0.0,9218.048780487805,152,43,109,45845.39473684211,35000.0,50123.85321100918,0,0,0,#DIV/0!,0.0,0.0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,3035,1939,1096,85511.15650741351,104552.94481691593,51823.175182481755,1599,900,699,117705.79111944966,157971.06666666668,65862.0886981402,1217,878,339,53970.09038619556,63741.45785876993,28662.536873156343,219,161,58,25722.374429223742,28504.347826086956,18000.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,12354,6458,5896,68768.04678646591,74452.03623412822,62542.265943012215,6681,3145,3536,85010.41011824577,93719.66613672496,77264.19683257918,4771,2634,2137,46897.484804024316,51787.357630979495,40870.37903603182,902,679,223,64144.12416851441,73129.60235640648,36784.7533632287
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,844,622,222,25955.68720379147,27176.848874598072,22534.234234234234,158,158,0,50949.36708860759,50949.36708860759,0.0,625,464,161,18910.72,19081.896551724138,18417.391304347828,61,0,61,33400.0,0.0,33400.0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,5969,4069,1900,50825.09633104373,52912.1897272057,46355.42105263158,1375,740,635,62448.218181818185,60750.0,64427.24409448819,2444,1895,549,57105.85106382979,60587.176781002636,45089.253187613846,2150,1434,716,36252.09302325582,38725.24407252441,31298.882681564246
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",10321,5892,4429,34651.27410134677,34138.340122199595,35333.64190562204,2715,1483,1232,43816.16942909761,31354.619015509103,58816.55844155844,5640,3459,2181,35895.62056737589,39981.931193986704,29414.855570839063,1966,950,1016,18425.02543234995,17207.052631578947,19563.877952755905
