,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,7481.0,3210.0,4271.0,2540.0,1203.0,1337.0,4941.0,2007.0,2934.0,930.0,529.0,401.0,329.0,329.0,0.0,601.0,200.0,401.0,4868.0,2344.0,2524.0,2068.0,782.0,1286.0,2800.0,1562.0,1238.0,1683.0,337.0,1346.0,143.0,92.0,51.0,1540.0,245.0,1295.0
14,Rockland County (North)--New City & Congers PUMA,1389.0,545.0,844.0,1000.0,464.0,536.0,389.0,81.0,308.0,69.0,0.0,69.0,69.0,0.0,69.0,0.0,0.0,0.0,518.0,288.0,230.0,421.0,288.0,133.0,97.0,0.0,97.0,802.0,257.0,545.0,510.0,176.0,334.0,292.0,81.0,211.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",102.0,11.0,91.0,102.0,11.0,91.0,0.0,0.0,0.0,84.0,0.0,84.0,84.0,0.0,84.0,0.0,0.0,0.0,7.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,3031.0,1898.0,1133.0,300.0,168.0,132.0,2731.0,1730.0,1001.0,925.0,581.0,344.0,225.0,93.0,132.0,700.0,488.0,212.0,1110.0,429.0,681.0,75.0,75.0,0.0,1035.0,354.0,681.0,996.0,888.0,108.0,0.0,0.0,0.0,996.0,888.0,108.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,1031.0,604.0,427.0,127.0,0.0,127.0,904.0,604.0,300.0,67.0,67.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0,377.0,97.0,280.0,127.0,0.0,127.0,250.0,97.0,153.0,587.0,440.0,147.0,0.0,0.0,0.0,587.0,440.0,147.0
18,Tompkins County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Dutchess County (Southwest) PUMA,506.0,365.0,141.0,506.0,365.0,141.0,0.0,0.0,0.0,33.0,33.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,251.0,110.0,141.0,251.0,110.0,141.0,0.0,0.0,0.0,222.0,222.0,0.0,222.0,222.0,0.0,0.0,0.0,0.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,4937.0,2653.0,2284.0,1713.0,889.0,824.0,3224.0,1764.0,1460.0,1255.0,476.0,779.0,239.0,0.0,239.0,1016.0,476.0,540.0,2967.0,1515.0,1452.0,976.0,444.0,532.0,1991.0,1071.0,920.0,715.0,662.0,53.0,498.0,445.0,53.0,217.0,217.0,0.0
21,Westchester County (Northwest) PUMA,1856.0,1072.0,784.0,1237.0,852.0,385.0,619.0,220.0,399.0,25.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,1283.0,499.0,784.0,689.0,304.0,385.0,594.0,195.0,399.0,548.0,548.0,0.0,548.0,548.0,0.0,0.0,0.0,0.0
22,Albany County (Outside Albany City) PUMA,623.0,304.0,319.0,380.0,196.0,184.0,243.0,108.0,135.0,219.0,219.0,0.0,111.0,111.0,0.0,108.0,108.0,0.0,220.0,85.0,135.0,85.0,85.0,0.0,135.0,0.0,135.0,184.0,0.0,184.0,184.0,0.0,184.0,0.0,0.0,0.0
23,Monroe County (South) PUMA,525.0,260.0,265.0,525.0,260.0,265.0,0.0,0.0,0.0,94.0,0.0,94.0,94.0,0.0,94.0,0.0,0.0,0.0,171.0,0.0,171.0,171.0,0.0,171.0,0.0,0.0,0.0,260.0,260.0,0.0,260.0,260.0,0.0,0.0,0.0,0.0
24,Jefferson & Lewis Counties PUMA,1212.0,687.0,525.0,415.0,184.0,231.0,797.0,503.0,294.0,503.0,503.0,0.0,0.0,0.0,0.0,503.0,503.0,0.0,709.0,184.0,525.0,415.0,184.0,231.0,294.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",64.0,41.0,23.0,23.0,0.0,23.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,23.0,23.0,0.0,23.0,0.0,0.0,0.0,41.0,41.0,0.0,0.0,0.0,0.0,41.0,41.0,0.0
26,Erie County (Central) PUMA,514.0,295.0,219.0,514.0,295.0,219.0,0.0,0.0,0.0,169.0,93.0,76.0,169.0,93.0,76.0,0.0,0.0,0.0,345.0,202.0,143.0,345.0,202.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,St. Lawrence County PUMA,124.0,62.0,62.0,124.0,62.0,62.0,0.0,0.0,0.0,62.0,62.0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,62.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1515.0,347.0,1168.0,187.0,109.0,78.0,1328.0,238.0,1090.0,689.0,347.0,342.0,187.0,109.0,78.0,502.0,238.0,264.0,269.0,0.0,269.0,0.0,0.0,0.0,269.0,0.0,269.0,557.0,0.0,557.0,0.0,0.0,0.0,557.0,0.0,557.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,499.0,222.0,277.0,499.0,222.0,277.0,0.0,0.0,0.0,279.0,178.0,101.0,279.0,178.0,101.0,0.0,0.0,0.0,220.0,44.0,176.0,220.0,44.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,3139.0,1450.0,1689.0,532.0,149.0,383.0,2607.0,1301.0,1306.0,793.0,129.0,664.0,129.0,0.0,129.0,664.0,129.0,535.0,1133.0,455.0,678.0,403.0,149.0,254.0,730.0,306.0,424.0,1213.0,866.0,347.0,0.0,0.0,0.0,1213.0,866.0,347.0
31,Cayuga & Onondaga (South) Counties PUMA,678.0,437.0,241.0,589.0,437.0,152.0,89.0,0.0,89.0,382.0,293.0,89.0,293.0,293.0,0.0,89.0,0.0,89.0,144.0,144.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,152.0,0.0,152.0,152.0,0.0,152.0,0.0,0.0,0.0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1983.0,776.0,1207.0,508.0,412.0,96.0,1475.0,364.0,1111.0,93.0,93.0,0.0,93.0,93.0,0.0,0.0,0.0,0.0,1890.0,683.0,1207.0,415.0,319.0,96.0,1475.0,364.0,1111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Fulton & Montgomery Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,419.0,275.0,144.0,252.0,108.0,144.0,167.0,167.0,0.0,68.0,0.0,68.0,68.0,0.0,68.0,0.0,0.0,0.0,142.0,66.0,76.0,142.0,66.0,76.0,0.0,0.0,0.0,209.0,209.0,0.0,42.0,42.0,0.0,167.0,167.0,0.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1380.0,1084.0,296.0,328.0,198.0,130.0,1052.0,886.0,166.0,125.0,78.0,47.0,125.0,78.0,47.0,0.0,0.0,0.0,1180.0,931.0,249.0,203.0,120.0,83.0,977.0,811.0,166.0,75.0,75.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,4644.0,2211.0,2433.0,3032.0,1549.0,1483.0,1612.0,662.0,950.0,333.0,128.0,205.0,333.0,128.0,205.0,0.0,0.0,0.0,2675.0,1163.0,1512.0,2256.0,1163.0,1093.0,419.0,0.0,419.0,1636.0,920.0,716.0,443.0,258.0,185.0,1193.0,662.0,531.0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",2079.0,1243.0,836.0,0.0,0.0,0.0,2079.0,1243.0,836.0,317.0,317.0,0.0,0.0,0.0,0.0,317.0,317.0,0.0,1180.0,633.0,547.0,0.0,0.0,0.0,1180.0,633.0,547.0,582.0,293.0,289.0,0.0,0.0,0.0,582.0,293.0,289.0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,5682.0,3766.0,1916.0,565.0,426.0,139.0,5117.0,3340.0,1777.0,707.0,369.0,338.0,0.0,0.0,0.0,707.0,369.0,338.0,3070.0,1812.0,1258.0,286.0,286.0,0.0,2784.0,1526.0,1258.0,1905.0,1585.0,320.0,279.0,140.0,139.0,1626.0,1445.0,181.0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",1001.0,427.0,574.0,635.0,427.0,208.0,366.0,0.0,366.0,941.0,427.0,514.0,575.0,427.0,148.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,60.0,60.0,0.0,60.0,0.0,0.0,0.0
