,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",902,347,555,902,347,555,0,0,0,689,347,342,689,347,342,0,0,0,0,0,0,0,0,0,0,0,0,213,0,213,213,0,213,0,0,0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,499,222,277,322,178,144,177,44,133,279,178,101,279,178,101,0,0,0,220,44,176,43,0,43,177,44,133,0,0,0,0,0,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,2574,1450,1124,2443,1450,993,131,0,131,586,129,457,586,129,457,0,0,0,775,455,320,644,455,189,131,0,131,1213,866,347,1213,866,347,0,0,0
31,Cayuga & Onondaga (South) Counties PUMA,526,437,89,526,437,89,0,0,0,382,293,89,382,293,89,0,0,0,144,144,0,144,144,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1341,776,565,1341,776,565,0,0,0,93,93,0,93,93,0,0,0,0,1248,683,565,1248,683,565,0,0,0,0,0,0,0,0,0,0,0,0
33,Fulton & Montgomery Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,351,275,76,351,275,76,0,0,0,0,0,0,0,0,0,0,0,0,142,66,76,142,66,76,0,0,0,209,209,0,209,209,0,0,0,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1163,964,199,1163,964,199,0,0,0,125,78,47,125,78,47,0,0,0,963,811,152,963,811,152,0,0,0,75,75,0,75,75,0,0,0,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,4386,1953,2433,3967,1953,2014,419,0,419,333,128,205,333,128,205,0,0,0,2675,1163,1512,2256,1163,1093,419,0,419,1378,662,716,1378,662,716,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",1809,973,836,1630,794,836,179,179,0,317,317,0,317,317,0,0,0,0,910,363,547,910,363,547,0,0,0,582,293,289,403,114,289,179,179,0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,4826,3540,1286,4723,3437,1286,103,103,0,636,369,267,533,266,267,103,103,0,2605,1767,838,2605,1767,838,0,0,0,1585,1404,181,1585,1404,181,0,0,0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",908,427,481,908,427,481,0,0,0,908,427,481,908,427,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Suffolk County (Central)--Islip Town (East) PUMA,258,70,188,188,0,188,70,70,0,0,0,0,0,0,0,0,0,0,188,0,188,188,0,188,0,0,0,70,70,0,0,0,0,70,70,0
