,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1525,357,1168,873,109,764,652,248,404,689,347,342,451,109,342,238,238,0,269,0,269,269,0,269,0,0,0,567,10,557,153,0,153,414,10,404
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,499,222,277,499,222,277,0,0,0,279,178,101,279,178,101,0,0,0,220,44,176,220,44,176,0,0,0,0,0,0,0,0,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,3139,1450,1689,2228,1144,1084,911,306,605,793,129,664,528,129,399,265,0,265,1133,455,678,487,149,338,646,306,340,1213,866,347,1213,866,347,0,0,0
31,Cayuga & Onondaga (South) Counties PUMA,678,437,241,678,437,241,0,0,0,382,293,89,382,293,89,0,0,0,144,144,0,144,144,0,0,0,0,152,0,152,152,0,152,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1983,776,1207,1983,776,1207,0,0,0,93,93,0,93,93,0,0,0,0,1890,683,1207,1890,683,1207,0,0,0,0,0,0,0,0,0,0,0,0
33,Fulton & Montgomery Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,419,275,144,252,108,144,167,167,0,68,0,68,68,0,68,0,0,0,142,66,76,142,66,76,0,0,0,209,209,0,42,42,0,167,167,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1380,1084,296,685,486,199,695,598,97,125,78,47,125,78,47,0,0,0,1180,931,249,485,333,152,695,598,97,75,75,0,75,75,0,0,0,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,4644,2211,2433,3973,2211,1762,671,0,671,333,128,205,333,128,205,0,0,0,2675,1163,1512,2004,1163,841,671,0,671,1636,920,716,1636,920,716,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",2079,1243,836,921,434,487,1158,809,349,317,317,0,71,71,0,246,246,0,1180,633,547,561,363,198,619,270,349,582,293,289,289,0,289,293,293,0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,5682,3766,1916,3289,2667,622,2393,1099,1294,707,369,338,479,369,110,228,0,228,3070,1812,1258,2098,1767,331,972,45,927,1905,1585,320,712,531,181,1193,1054,139
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",1001,427,574,901,427,474,100,0,100,941,427,514,901,427,474,40,0,40,0,0,0,0,0,0,0,0,0,60,0,60,0,0,0,60,0,60
41,Suffolk County (Central)--Islip Town (East) PUMA,258,70,188,188,0,188,70,70,0,0,0,0,0,0,0,0,0,0,188,0,188,188,0,188,0,0,0,70,70,0,0,0,0,70,70,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",187,105,82,187,105,82,0,0,0,187,105,82,187,105,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",5242,2147,3095,4381,1774,2607,861,373,488,1464,613,851,1376,613,763,88,0,88,3334,1156,2178,2698,854,1844,636,302,334,444,378,66,307,307,0,137,71,66
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,8754,4525,4229,7683,3845,3838,1071,680,391,1131,203,928,943,203,740,188,0,188,5263,2800,2463,4812,2417,2395,451,383,68,2360,1522,838,1928,1225,703,432,297,135
45,Saratoga County (Outer) PUMA,784,294,490,658,294,364,126,0,126,784,294,490,658,294,364,126,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",1559,991,568,509,438,71,1050,553,497,75,75,0,75,75,0,0,0,0,1484,916,568,434,363,71,1050,553,497,0,0,0,0,0,0,0,0,0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",1521,638,883,1475,592,883,46,46,0,103,51,52,103,51,52,0,0,0,1372,541,831,1372,541,831,0,0,0,46,46,0,0,0,0,46,46,0
