,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
26,Erie County (Central) PUMA,1369,692,677,1012,489,523,357,203,154,187,133,54,123,69,54,64,64,0,1182,559,623,889,420,469,293,139,154,0,0,0,0,0,0,0,0,0
27,St. Lawrence County PUMA,431,395,36,431,395,36,0,0,0,114,78,36,114,78,36,0,0,0,100,100,0,100,100,0,0,0,0,217,217,0,217,217,0,0,0,0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",6653,2570,4083,4799,1336,3463,1854,1234,620,3219,1812,1407,2334,927,1407,885,885,0,2654,161,2493,2217,161,2056,437,0,437,780,597,183,248,248,0,532,349,183
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1582,678,904,1582,678,904,0,0,0,664,206,458,664,206,458,0,0,0,918,472,446,918,472,446,0,0,0,0,0,0,0,0,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,8343,4639,3704,7577,4559,3018,766,80,686,4110,2101,2009,3802,2101,1701,308,0,308,3786,2091,1695,3408,2091,1317,378,0,378,447,447,0,367,367,0,80,80,0
31,Cayuga & Onondaga (South) Counties PUMA,463,346,117,215,194,21,248,152,96,0,0,0,0,0,0,0,0,0,463,346,117,215,194,21,248,152,96,0,0,0,0,0,0,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,2290,1259,1031,2093,1259,834,197,0,197,1454,753,701,1363,753,610,91,0,91,740,506,234,634,506,128,106,0,106,96,0,96,96,0,96,0,0,0
33,Fulton & Montgomery Counties PUMA,2622,1038,1584,2159,784,1375,463,254,209,293,64,229,163,64,99,130,0,130,1831,937,894,1535,720,815,296,217,79,498,37,461,461,0,461,37,37,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,1223,400,823,786,400,386,437,0,437,357,241,116,241,241,0,116,0,116,510,145,365,189,145,44,321,0,321,356,14,342,356,14,342,0,0,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,5645,2787,2858,4466,2019,2447,1179,768,411,720,52,668,635,52,583,85,0,85,4644,2544,2100,3640,1776,1864,1004,768,236,281,191,90,191,191,0,90,0,90
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,430,279,151,430,279,151,0,0,0,99,0,99,99,0,99,0,0,0,229,177,52,229,177,52,0,0,0,102,102,0,102,102,0,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,5806,3564,2242,5112,3329,1783,694,235,459,1170,700,470,689,465,224,481,235,246,4338,2566,1772,4125,2566,1559,213,0,213,298,298,0,298,298,0,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",12764,6505,6259,10552,6164,4388,2212,341,1871,2304,929,1375,1932,929,1003,372,0,372,8543,4193,4350,6856,3852,3004,1687,341,1346,1917,1383,534,1764,1383,381,153,0,153
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,3539,1837,1702,3144,1593,1551,395,244,151,1132,633,499,981,633,348,151,0,151,2096,1204,892,1852,960,892,244,244,0,311,0,311,311,0,311,0,0,0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",3859,2394,1465,2539,1704,835,1320,690,630,2261,1194,1067,1232,698,534,1029,496,533,1456,1058,398,1165,864,301,291,194,97,142,142,0,142,142,0,0,0,0
41,Suffolk County (Central)--Islip Town (East) PUMA,2286,971,1315,2011,971,1040,275,0,275,828,386,442,721,386,335,107,0,107,1283,410,873,1115,410,705,168,0,168,175,175,0,175,175,0,0,0,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",2491,1652,839,2175,1479,696,316,173,143,557,312,245,557,312,245,0,0,0,1687,1169,518,1447,996,451,240,173,67,247,171,76,171,171,0,76,0,76
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",3470,1544,1926,2956,1165,1791,514,379,135,1057,585,472,1020,548,472,37,37,0,2143,737,1406,1666,395,1271,477,342,135,270,222,48,270,222,48,0,0,0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,7308,4003,3305,6391,3748,2643,917,255,662,2229,1324,905,2086,1181,905,143,143,0,4359,2061,2298,3585,1949,1636,774,112,662,720,618,102,720,618,102,0,0,0
45,Saratoga County (Outer) PUMA,912,765,147,765,765,0,147,0,147,256,208,48,208,208,0,48,0,48,656,557,99,557,557,0,99,0,99,0,0,0,0,0,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",4851,2347,2504,4348,2181,2167,503,166,337,728,269,459,513,103,410,215,166,49,3581,1784,1797,3293,1784,1509,288,0,288,542,294,248,542,294,248,0,0,0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",2647,1261,1386,2423,1085,1338,224,176,48,801,307,494,577,131,446,224,176,48,1569,767,802,1569,767,802,0,0,0,277,187,90,277,187,90,0,0,0
48,Wayne & Seneca Counties PUMA,1409,708,701,993,527,466,416,181,235,515,281,234,302,100,202,213,181,32,626,159,467,423,159,264,203,0,203,268,268,0,268,268,0,0,0,0
49,Schenectady County--Schenectady City PUMA,1809,1175,634,1222,1077,145,587,98,489,158,158,0,158,158,0,0,0,0,1651,1017,634,1064,919,145,587,98,489,0,0,0,0,0,0,0,0,0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,4809,2221,2588,4228,2113,2115,581,108,473,2508,1132,1376,2422,1132,1290,86,0,86,2045,939,1106,1656,831,825,389,108,281,256,150,106,150,150,0,106,0,106
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,2103,1255,848,1916,1147,769,187,108,79,414,215,199,265,145,120,149,70,79,1582,933,649,1544,895,649,38,38,0,107,107,0,107,107,0,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,6563,4186,2377,4657,2682,1975,1906,1504,402,1626,727,899,1626,727,899,0,0,0,3957,2572,1385,2144,1068,1076,1813,1504,309,980,887,93,887,887,0,93,0,93
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",6440,3506,2934,5073,2706,2367,1367,800,567,3113,1585,1528,2454,1300,1154,659,285,374,2889,1602,1287,2619,1406,1213,270,196,74,438,319,119,0,0,0,438,319,119
54,Columbia & Greene Counties PUMA,282,84,198,216,18,198,66,66,0,0,0,0,0,0,0,0,0,0,282,84,198,216,18,198,66,66,0,0,0,0,0,0,0,0,0,0
55,Rensselaer County--Troy City PUMA,1851,979,872,1604,979,625,247,0,247,118,0,118,118,0,118,0,0,0,1400,893,507,1400,893,507,0,0,0,333,86,247,86,86,0,247,0,247
56,Erie County (West Central)--Buffalo City (West) PUMA,4898,2975,1923,4419,2806,1613,479,169,310,992,439,553,817,439,378,175,0,175,3542,2181,1361,3247,2012,1235,295,169,126,364,355,9,355,355,0,9,0,9
57,Erie County (South) PUMA,494,118,376,239,118,121,255,0,255,164,118,46,164,118,46,0,0,0,284,0,284,75,0,75,209,0,209,46,0,46,0,0,0,46,0,46
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,2577,1429,1148,1181,567,614,1396,862,534,311,115,196,311,115,196,0,0,0,1877,1129,748,685,267,418,1192,862,330,389,185,204,185,185,0,204,0,204
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",21548,10435,11113,16170,8838,7332,5378,1597,3781,6168,2354,3814,5440,2033,3407,728,321,407,12213,7075,5138,9266,5799,3467,2947,1276,1671,3167,1006,2161,1464,1006,458,1703,0,1703
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,4549,2123,2426,4549,2123,2426,0,0,0,1711,515,1196,1711,515,1196,0,0,0,2584,1473,1111,2584,1473,1111,0,0,0,254,135,119,254,135,119,0,0,0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,8033,4865,3168,6631,3740,2891,1402,1125,277,2069,1332,737,1778,1182,596,291,150,141,3908,1618,2290,3451,1297,2154,457,321,136,2056,1915,141,1402,1261,141,654,654,0
