,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
25,"Chenango, Delaware & Broome (East) Counties PUMA",991,755,236,358,160,198,633,595,38,222,112,110,196,86,110,26,26,0,428,340,88,142,54,88,286,286,0,341,303,38,20,20,0,321,283,38
26,Erie County (Central) PUMA,1731,916,815,1014,524,490,717,392,325,434,306,128,187,133,54,247,173,74,1246,559,687,827,391,436,419,168,251,51,51,0,0,0,0,51,51,0
27,St. Lawrence County PUMA,277,208,69,217,148,69,60,60,0,144,108,36,144,108,36,0,0,0,133,100,33,73,40,33,60,60,0,0,0,0,0,0,0,0,0,0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",9106,4029,5077,5346,2520,2826,3760,1509,2251,3219,1812,1407,2412,1137,1275,807,675,132,3951,1319,2632,1954,586,1368,1997,733,1264,1936,898,1038,980,797,183,956,101,855
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2194,984,1210,2065,984,1081,129,0,129,764,206,558,764,206,558,0,0,0,1430,778,652,1301,778,523,129,0,129,0,0,0,0,0,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,11929,6388,5541,8566,4737,3829,3363,1651,1712,4361,2101,2260,4140,2101,2039,221,0,221,6411,3376,3035,4158,2463,1695,2253,913,1340,1157,911,246,268,173,95,889,738,151
31,Cayuga & Onondaga (South) Counties PUMA,588,452,136,484,367,117,104,85,19,19,0,19,0,0,0,19,0,19,484,367,117,484,367,117,0,0,0,85,85,0,0,0,0,85,85,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,2956,1362,1594,2859,1265,1594,97,97,0,1454,753,701,1454,753,701,0,0,0,1406,609,797,1309,512,797,97,97,0,96,0,96,96,0,96,0,0,0
33,Fulton & Montgomery Counties PUMA,3629,1747,1882,1315,954,361,2314,793,1521,293,64,229,163,64,99,130,0,130,2282,1204,1078,603,474,129,1679,730,949,1054,479,575,549,416,133,505,63,442
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,1453,386,1067,1332,386,946,121,0,121,357,241,116,357,241,116,0,0,0,754,145,609,633,145,488,121,0,121,342,0,342,342,0,342,0,0,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,8179,3876,4303,6499,2899,3600,1680,977,703,1117,52,1065,881,52,829,236,0,236,6047,3222,2825,4732,2374,2358,1315,848,467,1015,602,413,886,473,413,129,129,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,845,360,485,430,279,151,415,81,334,99,0,99,99,0,99,0,0,0,550,258,292,229,177,52,321,81,240,196,102,94,102,102,0,94,0,94
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,6909,3705,3204,6463,3564,2899,446,141,305,1170,700,470,1170,700,470,0,0,0,5441,2707,2734,4995,2566,2429,446,141,305,298,298,0,298,298,0,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",19603,8580,11023,11856,6676,5180,7747,1904,5843,2515,929,1586,2109,929,1180,406,0,406,11856,4995,6861,7563,4116,3447,4293,879,3414,5232,2656,2576,2184,1631,553,3048,1025,2023
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,3892,1837,2055,2503,1484,1019,1389,353,1036,1132,633,499,916,633,283,216,0,216,2096,1204,892,1276,851,425,820,353,467,664,0,664,311,0,311,353,0,353
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",5861,2819,3042,4108,2395,1713,1753,424,1329,2483,1298,1185,2379,1194,1185,104,104,0,2766,1172,1594,1243,864,379,1523,308,1215,612,349,263,486,337,149,126,12,114
41,Suffolk County (Central)--Islip Town (East) PUMA,3044,1096,1948,3044,1096,1948,0,0,0,780,386,394,780,386,394,0,0,0,1910,535,1375,1910,535,1375,0,0,0,354,175,179,354,175,179,0,0,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",2870,1827,1043,2569,1742,827,301,85,216,557,312,245,557,312,245,0,0,0,1891,1169,722,1751,1169,582,140,0,140,422,346,76,261,261,0,161,85,76
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",4640,2078,2562,3843,1384,2459,797,694,103,1365,784,581,1169,588,581,196,196,0,2895,980,1915,2406,576,1830,489,404,85,380,314,66,268,220,48,112,94,18
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,8557,4671,3886,6869,4083,2786,1688,588,1100,2424,1519,905,2140,1235,905,284,284,0,5053,2174,2879,3891,2112,1779,1162,62,1100,1080,978,102,838,736,102,242,242,0
45,Saratoga County (Outer) PUMA,912,765,147,912,765,147,0,0,0,256,208,48,256,208,48,0,0,0,656,557,99,656,557,99,0,0,0,0,0,0,0,0,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",8964,3755,5209,4349,1989,2360,4615,1766,2849,1519,577,942,869,269,600,650,308,342,5607,2096,3511,3026,1426,1600,2581,670,1911,1838,1082,756,454,294,160,1384,788,596
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",3606,1473,2133,3033,1148,1885,573,325,248,841,307,534,841,307,534,0,0,0,2078,817,1261,1915,654,1261,163,163,0,687,349,338,277,187,90,410,162,248
48,Wayne & Seneca Counties PUMA,1761,1015,746,982,516,466,779,499,280,529,295,234,483,281,202,46,14,32,986,519,467,389,125,264,597,394,203,246,201,45,110,110,0,136,91,45
49,Schenectady County--Schenectady City PUMA,2359,1510,849,1514,1238,276,845,272,573,158,158,0,158,158,0,0,0,0,1891,1042,849,1220,944,276,671,98,573,310,310,0,136,136,0,174,174,0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,5640,2793,2847,4984,2369,2615,656,424,232,2692,1316,1376,2481,1199,1282,211,117,94,2335,1039,1296,2041,883,1158,294,156,138,613,438,175,462,287,175,151,151,0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,2578,1255,1323,2433,1110,1323,145,145,0,743,215,528,743,215,528,0,0,0,1728,933,795,1690,895,795,38,38,0,107,107,0,0,0,0,107,107,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,8071,5012,3059,6204,3624,2580,1867,1388,479,2392,1267,1125,2392,1267,1125,0,0,0,4536,2695,1841,3040,1664,1376,1496,1031,465,1143,1050,93,772,693,79,371,357,14
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",7817,3796,4021,6050,3384,2666,1767,412,1355,3465,1585,1880,3129,1300,1829,336,285,51,3319,1892,1427,2483,1765,718,836,127,709,1033,319,714,438,319,119,595,0,595
54,Columbia & Greene Counties PUMA,724,134,590,364,84,280,360,50,310,178,0,178,82,0,82,96,0,96,496,84,412,282,84,198,214,0,214,50,50,0,0,0,0,50,50,0
55,Rensselaer County--Troy City PUMA,2710,1073,1637,1890,1047,843,820,26,794,118,0,118,118,0,118,0,0,0,1577,987,590,1379,961,418,198,26,172,1015,86,929,393,86,307,622,0,622
56,Erie County (West Central)--Buffalo City (West) PUMA,8664,4658,4006,4981,3363,1618,3683,1295,2388,1093,540,553,817,439,378,276,101,175,5234,2937,2297,3791,2551,1240,1443,386,1057,2337,1181,1156,373,373,0,1964,808,1156
57,Erie County (South) PUMA,704,190,514,494,118,376,210,72,138,209,118,91,164,118,46,45,0,45,449,72,377,284,0,284,165,72,93,46,0,46,46,0,46,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,3805,2000,1805,603,247,356,3202,1753,1449,786,204,582,115,115,0,671,89,582,1936,917,1019,488,132,356,1448,785,663,1083,879,204,0,0,0,1083,879,204
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",25396,12312,13084,18241,9540,8701,7155,2772,4383,6694,2753,3941,6108,2510,3598,586,243,343,13914,7392,6522,10788,5920,4868,3126,1472,1654,4788,2167,2621,1345,1110,235,3443,1057,2386
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,7267,3728,3539,5802,3101,2701,1465,627,838,2842,968,1874,1866,593,1273,976,375,601,2882,1573,1309,2782,1473,1309,100,100,0,1543,1187,356,1154,1035,119,389,152,237
61,NYC-Manhattan Community District 10--Central Harlem PUMA,11428,6507,4921,7178,3718,3460,4250,2789,1461,2234,1332,902,1911,1009,902,323,323,0,5865,2700,3165,3452,1035,2417,2413,1665,748,3329,2475,854,1815,1674,141,1514,801,713
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,3244,1237,2007,2262,854,1408,982,383,599,896,200,696,832,200,632,64,0,64,2063,943,1120,1145,560,585,918,383,535,285,94,191,285,94,191,0,0,0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,8384,4942,3442,4233,2013,2220,4151,2929,1222,744,402,342,516,174,342,228,228,0,4479,2509,1970,2882,1461,1421,1597,1048,549,3161,2031,1130,835,378,457,2326,1653,673
64,Albany County (East Central)--Albany City PUMA,3300,1949,1351,2410,1496,914,890,453,437,790,325,465,790,325,465,0,0,0,2290,1448,842,1576,1171,405,714,277,437,220,176,44,44,0,44,176,176,0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,3335,2192,1143,3192,2095,1097,143,97,46,1180,481,699,1180,481,699,0,0,0,2155,1711,444,2012,1614,398,143,97,46,0,0,0,0,0,0,0,0,0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1435,710,725,352,352,0,1083,358,725,0,0,0,0,0,0,0,0,0,1074,710,364,352,352,0,722,358,364,361,0,361,0,0,0,361,0,361
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",26553,11225,15328,11546,5749,5797,15007,5476,9531,2403,928,1475,1881,826,1055,522,102,420,14433,6130,8303,7239,3648,3591,7194,2482,4712,9717,4167,5550,2426,1275,1151,7291,2892,4399
